group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,2187653.0,ns,1
add_remove_component,bevy,,,,4391936.0,ns,2
add_remove_component,bevy,,,,6290497.0,ns,3
add_remove_component,bevy,,,,8278185.0,ns,4
add_remove_component,bevy,,,,9852031.0,ns,5
add_remove_component,bevy,,,,11775326.0,ns,6
add_remove_component,bevy,,,,13295706.0,ns,7
add_remove_component,bevy,,,,14724393.0,ns,8
add_remove_component,bevy,,,,16512109.0,ns,9
add_remove_component,bevy,,,,17908682.0,ns,10
add_remove_component,bevy,,,,19754389.0,ns,11
add_remove_component,bevy,,,,21704080.0,ns,12
add_remove_component,bevy,,,,22972557.0,ns,13
add_remove_component,bevy,,,,25178948.0,ns,14
add_remove_component,bevy,,,,26468716.0,ns,15
add_remove_component,bevy,,,,28273414.0,ns,16
add_remove_component,bevy,,,,29905012.0,ns,17
add_remove_component,bevy,,,,31782284.0,ns,18
add_remove_component,bevy,,,,33355197.0,ns,19
add_remove_component,bevy,,,,35170914.0,ns,20
add_remove_component,bevy,,,,36803865.0,ns,21
add_remove_component,bevy,,,,38652336.0,ns,22
add_remove_component,bevy,,,,40231086.0,ns,23
add_remove_component,bevy,,,,42188103.0,ns,24
add_remove_component,bevy,,,,43693346.0,ns,25
add_remove_component,bevy,,,,46950096.0,ns,26
add_remove_component,bevy,,,,48677128.0,ns,27
add_remove_component,bevy,,,,49980175.0,ns,28
add_remove_component,bevy,,,,51814187.0,ns,29
add_remove_component,bevy,,,,53608912.0,ns,30
add_remove_component,bevy,,,,55176564.0,ns,31
add_remove_component,bevy,,,,56952652.0,ns,32
add_remove_component,bevy,,,,58795821.0,ns,33
add_remove_component,bevy,,,,61487552.0,ns,34
add_remove_component,bevy,,,,64028176.0,ns,35
add_remove_component,bevy,,,,65121226.0,ns,36
add_remove_component,bevy,,,,65493495.0,ns,37
add_remove_component,bevy,,,,67087430.0,ns,38
add_remove_component,bevy,,,,71859888.0,ns,39
add_remove_component,bevy,,,,72330371.0,ns,40
add_remove_component,bevy,,,,73883714.0,ns,41
add_remove_component,bevy,,,,75440961.0,ns,42
add_remove_component,bevy,,,,79964920.0,ns,43
add_remove_component,bevy,,,,78520591.0,ns,44
add_remove_component,bevy,,,,81504846.0,ns,45
add_remove_component,bevy,,,,82724330.0,ns,46
add_remove_component,bevy,,,,84860085.0,ns,47
add_remove_component,bevy,,,,85259552.0,ns,48
add_remove_component,bevy,,,,87150038.0,ns,49
add_remove_component,bevy,,,,86818654.0,ns,50
add_remove_component,bevy,,,,89982725.0,ns,51
add_remove_component,bevy,,,,90413344.0,ns,52
add_remove_component,bevy,,,,95227948.0,ns,53
add_remove_component,bevy,,,,98682694.0,ns,54
add_remove_component,bevy,,,,95965405.0,ns,55
add_remove_component,bevy,,,,95997871.0,ns,56
add_remove_component,bevy,,,,98586445.0,ns,57
add_remove_component,bevy,,,,102353061.0,ns,58
add_remove_component,bevy,,,,108562590.0,ns,59
add_remove_component,bevy,,,,110197979.0,ns,60
add_remove_component,bevy,,,,106293461.0,ns,61
add_remove_component,bevy,,,,107602944.0,ns,62
add_remove_component,bevy,,,,112687223.0,ns,63
add_remove_component,bevy,,,,114050920.0,ns,64
add_remove_component,bevy,,,,115800824.0,ns,65
add_remove_component,bevy,,,,116083504.0,ns,66
add_remove_component,bevy,,,,123799467.0,ns,67
add_remove_component,bevy,,,,123472230.0,ns,68
add_remove_component,bevy,,,,118923994.0,ns,69
add_remove_component,bevy,,,,123309185.0,ns,70
add_remove_component,bevy,,,,127558917.0,ns,71
add_remove_component,bevy,,,,125528386.0,ns,72
add_remove_component,bevy,,,,129475602.0,ns,73
add_remove_component,bevy,,,,130436553.0,ns,74
add_remove_component,bevy,,,,129214428.0,ns,75
add_remove_component,bevy,,,,135242800.0,ns,76
add_remove_component,bevy,,,,136013351.0,ns,77
add_remove_component,bevy,,,,134349950.0,ns,78
add_remove_component,bevy,,,,132887736.0,ns,79
add_remove_component,bevy,,,,132956817.0,ns,80
add_remove_component,bevy,,,,132324497.0,ns,81
add_remove_component,bevy,,,,138264676.0,ns,82
add_remove_component,bevy,,,,139044081.0,ns,83
add_remove_component,bevy,,,,136210121.0,ns,84
add_remove_component,bevy,,,,139186908.0,ns,85
add_remove_component,bevy,,,,140873665.0,ns,86
add_remove_component,bevy,,,,147339411.0,ns,87
add_remove_component,bevy,,,,153493687.0,ns,88
add_remove_component,bevy,,,,154290257.0,ns,89
add_remove_component,bevy,,,,159389080.0,ns,90
add_remove_component,bevy,,,,150689519.0,ns,91
add_remove_component,bevy,,,,151253531.0,ns,92
add_remove_component,bevy,,,,153700852.0,ns,93
add_remove_component,bevy,,,,153958481.0,ns,94
add_remove_component,bevy,,,,156985193.0,ns,95
add_remove_component,bevy,,,,157686159.0,ns,96
add_remove_component,bevy,,,,167880623.0,ns,97
add_remove_component,bevy,,,,168085476.0,ns,98
add_remove_component,bevy,,,,172026074.0,ns,99
add_remove_component,bevy,,,,176448380.0,ns,100
