group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,ecstasy,,,,50575574.0,ns,12
add_remove_component,ecstasy,,,,50054751.0,ns,12
add_remove_component,ecstasy,,,,51489277.0,ns,12
add_remove_component,ecstasy,,,,50942920.0,ns,12
add_remove_component,ecstasy,,,,51239341.0,ns,12
add_remove_component,ecstasy,,,,50957908.0,ns,12
add_remove_component,ecstasy,,,,50130349.0,ns,12
add_remove_component,ecstasy,,,,50997223.0,ns,12
add_remove_component,ecstasy,,,,51603091.0,ns,12
add_remove_component,ecstasy,,,,51568774.0,ns,12
add_remove_component,ecstasy,,,,51225893.0,ns,12
add_remove_component,ecstasy,,,,51302469.0,ns,12
add_remove_component,ecstasy,,,,51495597.0,ns,12
add_remove_component,ecstasy,,,,52793231.0,ns,12
add_remove_component,ecstasy,,,,51468541.0,ns,12
add_remove_component,ecstasy,,,,50175375.0,ns,12
add_remove_component,ecstasy,,,,48382154.0,ns,12
add_remove_component,ecstasy,,,,49136918.0,ns,12
add_remove_component,ecstasy,,,,49465938.0,ns,12
add_remove_component,ecstasy,,,,49547047.0,ns,12
add_remove_component,ecstasy,,,,49814818.0,ns,12
add_remove_component,ecstasy,,,,49467741.0,ns,12
add_remove_component,ecstasy,,,,49563868.0,ns,12
add_remove_component,ecstasy,,,,49695234.0,ns,12
add_remove_component,ecstasy,,,,49429618.0,ns,12
add_remove_component,ecstasy,,,,51295414.0,ns,12
add_remove_component,ecstasy,,,,49446915.0,ns,12
add_remove_component,ecstasy,,,,49271522.0,ns,12
add_remove_component,ecstasy,,,,49435960.0,ns,12
add_remove_component,ecstasy,,,,49336088.0,ns,12
add_remove_component,ecstasy,,,,49628601.0,ns,12
add_remove_component,ecstasy,,,,49518448.0,ns,12
add_remove_component,ecstasy,,,,49399099.0,ns,12
add_remove_component,ecstasy,,,,49279495.0,ns,12
add_remove_component,ecstasy,,,,49533681.0,ns,12
add_remove_component,ecstasy,,,,49748370.0,ns,12
add_remove_component,ecstasy,,,,50489450.0,ns,12
add_remove_component,ecstasy,,,,50730814.0,ns,12
add_remove_component,ecstasy,,,,51228608.0,ns,12
add_remove_component,ecstasy,,,,50895722.0,ns,12
add_remove_component,ecstasy,,,,51387557.0,ns,12
add_remove_component,ecstasy,,,,48165610.0,ns,12
add_remove_component,ecstasy,,,,48843654.0,ns,12
add_remove_component,ecstasy,,,,49434577.0,ns,12
add_remove_component,ecstasy,,,,48724398.0,ns,12
add_remove_component,ecstasy,,,,54265344.0,ns,12
add_remove_component,ecstasy,,,,56275986.0,ns,12
add_remove_component,ecstasy,,,,55486081.0,ns,12
add_remove_component,ecstasy,,,,54348324.0,ns,12
add_remove_component,ecstasy,,,,52949961.0,ns,12
add_remove_component,ecstasy,,,,50546700.0,ns,12
add_remove_component,ecstasy,,,,48601471.0,ns,12
add_remove_component,ecstasy,,,,49200915.0,ns,12
add_remove_component,ecstasy,,,,49425030.0,ns,12
add_remove_component,ecstasy,,,,49587352.0,ns,12
add_remove_component,ecstasy,,,,49432064.0,ns,12
add_remove_component,ecstasy,,,,49628974.0,ns,12
add_remove_component,ecstasy,,,,50692252.0,ns,12
add_remove_component,ecstasy,,,,53248296.0,ns,12
add_remove_component,ecstasy,,,,52020283.0,ns,12
add_remove_component,ecstasy,,,,48675606.0,ns,12
add_remove_component,ecstasy,,,,49401410.0,ns,12
add_remove_component,ecstasy,,,,49697293.0,ns,12
add_remove_component,ecstasy,,,,49688946.0,ns,12
add_remove_component,ecstasy,,,,50626565.0,ns,12
add_remove_component,ecstasy,,,,49777403.0,ns,12
add_remove_component,ecstasy,,,,49605908.0,ns,12
add_remove_component,ecstasy,,,,49699102.0,ns,12
add_remove_component,ecstasy,,,,49665343.0,ns,12
add_remove_component,ecstasy,,,,49671433.0,ns,12
add_remove_component,ecstasy,,,,49591064.0,ns,12
add_remove_component,ecstasy,,,,49529278.0,ns,12
add_remove_component,ecstasy,,,,49688147.0,ns,12
add_remove_component,ecstasy,,,,49548658.0,ns,12
add_remove_component,ecstasy,,,,49920456.0,ns,12
add_remove_component,ecstasy,,,,52911659.0,ns,12
add_remove_component,ecstasy,,,,53737764.0,ns,12
add_remove_component,ecstasy,,,,53820130.0,ns,12
add_remove_component,ecstasy,,,,53696282.0,ns,12
add_remove_component,ecstasy,,,,53936288.0,ns,12
add_remove_component,ecstasy,,,,53950253.0,ns,12
add_remove_component,ecstasy,,,,54229409.0,ns,12
add_remove_component,ecstasy,,,,53921823.0,ns,12
add_remove_component,ecstasy,,,,53465095.0,ns,12
add_remove_component,ecstasy,,,,49773821.0,ns,12
add_remove_component,ecstasy,,,,49832090.0,ns,12
add_remove_component,ecstasy,,,,50267505.0,ns,12
add_remove_component,ecstasy,,,,50599072.0,ns,12
add_remove_component,ecstasy,,,,50690622.0,ns,12
add_remove_component,ecstasy,,,,50278728.0,ns,12
add_remove_component,ecstasy,,,,50422394.0,ns,12
add_remove_component,ecstasy,,,,50429962.0,ns,12
add_remove_component,ecstasy,,,,50684385.0,ns,12
add_remove_component,ecstasy,,,,50677931.0,ns,12
add_remove_component,ecstasy,,,,48492758.0,ns,12
add_remove_component,ecstasy,,,,49838419.0,ns,12
add_remove_component,ecstasy,,,,49643127.0,ns,12
add_remove_component,ecstasy,,,,50685798.0,ns,12
add_remove_component,ecstasy,,,,49764023.0,ns,12
add_remove_component,ecstasy,,,,50453337.0,ns,12
