group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,ecstasy,,,,56572908.0,ns,13
add_remove_component,ecstasy,,,,54605690.0,ns,13
add_remove_component,ecstasy,,,,53680314.0,ns,13
add_remove_component,ecstasy,,,,54182154.0,ns,13
add_remove_component,ecstasy,,,,54693685.0,ns,13
add_remove_component,ecstasy,,,,54735189.0,ns,13
add_remove_component,ecstasy,,,,54847618.0,ns,13
add_remove_component,ecstasy,,,,54436663.0,ns,13
add_remove_component,ecstasy,,,,54022067.0,ns,13
add_remove_component,ecstasy,,,,54158848.0,ns,13
add_remove_component,ecstasy,,,,54325018.0,ns,13
add_remove_component,ecstasy,,,,54492366.0,ns,13
add_remove_component,ecstasy,,,,54275429.0,ns,13
add_remove_component,ecstasy,,,,54401615.0,ns,13
add_remove_component,ecstasy,,,,54011702.0,ns,13
add_remove_component,ecstasy,,,,54967148.0,ns,13
add_remove_component,ecstasy,,,,54042269.0,ns,13
add_remove_component,ecstasy,,,,54332614.0,ns,13
add_remove_component,ecstasy,,,,54394411.0,ns,13
add_remove_component,ecstasy,,,,54457381.0,ns,13
add_remove_component,ecstasy,,,,54056481.0,ns,13
add_remove_component,ecstasy,,,,53948660.0,ns,13
add_remove_component,ecstasy,,,,54344268.0,ns,13
add_remove_component,ecstasy,,,,54236001.0,ns,13
add_remove_component,ecstasy,,,,54653511.0,ns,13
add_remove_component,ecstasy,,,,54384295.0,ns,13
add_remove_component,ecstasy,,,,53728338.0,ns,13
add_remove_component,ecstasy,,,,53984714.0,ns,13
add_remove_component,ecstasy,,,,52343779.0,ns,13
add_remove_component,ecstasy,,,,52431076.0,ns,13
add_remove_component,ecstasy,,,,52502618.0,ns,13
add_remove_component,ecstasy,,,,52076576.0,ns,13
add_remove_component,ecstasy,,,,52107091.0,ns,13
add_remove_component,ecstasy,,,,54570842.0,ns,13
add_remove_component,ecstasy,,,,52444872.0,ns,13
add_remove_component,ecstasy,,,,52597956.0,ns,13
add_remove_component,ecstasy,,,,54323957.0,ns,13
add_remove_component,ecstasy,,,,52875128.0,ns,13
add_remove_component,ecstasy,,,,54329805.0,ns,13
add_remove_component,ecstasy,,,,54150193.0,ns,13
add_remove_component,ecstasy,,,,54083836.0,ns,13
add_remove_component,ecstasy,,,,52381008.0,ns,13
add_remove_component,ecstasy,,,,54870838.0,ns,13
add_remove_component,ecstasy,,,,52077105.0,ns,13
add_remove_component,ecstasy,,,,51937429.0,ns,13
add_remove_component,ecstasy,,,,51902438.0,ns,13
add_remove_component,ecstasy,,,,52211604.0,ns,13
add_remove_component,ecstasy,,,,51910079.0,ns,13
add_remove_component,ecstasy,,,,52152569.0,ns,13
add_remove_component,ecstasy,,,,51894792.0,ns,13
add_remove_component,ecstasy,,,,52048891.0,ns,13
add_remove_component,ecstasy,,,,51879076.0,ns,13
add_remove_component,ecstasy,,,,53554800.0,ns,13
add_remove_component,ecstasy,,,,52281887.0,ns,13
add_remove_component,ecstasy,,,,51864750.0,ns,13
add_remove_component,ecstasy,,,,52138562.0,ns,13
add_remove_component,ecstasy,,,,51913852.0,ns,13
add_remove_component,ecstasy,,,,52384265.0,ns,13
add_remove_component,ecstasy,,,,52001282.0,ns,13
add_remove_component,ecstasy,,,,52982774.0,ns,13
add_remove_component,ecstasy,,,,51970196.0,ns,13
add_remove_component,ecstasy,,,,52359474.0,ns,13
add_remove_component,ecstasy,,,,52035150.0,ns,13
add_remove_component,ecstasy,,,,52074934.0,ns,13
add_remove_component,ecstasy,,,,51908905.0,ns,13
add_remove_component,ecstasy,,,,52046740.0,ns,13
add_remove_component,ecstasy,,,,51909944.0,ns,13
add_remove_component,ecstasy,,,,53083000.0,ns,13
add_remove_component,ecstasy,,,,54685242.0,ns,13
add_remove_component,ecstasy,,,,54675035.0,ns,13
add_remove_component,ecstasy,,,,54876002.0,ns,13
add_remove_component,ecstasy,,,,54356128.0,ns,13
add_remove_component,ecstasy,,,,52978159.0,ns,13
add_remove_component,ecstasy,,,,52407407.0,ns,13
add_remove_component,ecstasy,,,,54121386.0,ns,13
add_remove_component,ecstasy,,,,52094569.0,ns,13
add_remove_component,ecstasy,,,,51916439.0,ns,13
add_remove_component,ecstasy,,,,51948389.0,ns,13
add_remove_component,ecstasy,,,,51864458.0,ns,13
add_remove_component,ecstasy,,,,52149595.0,ns,13
add_remove_component,ecstasy,,,,52186837.0,ns,13
add_remove_component,ecstasy,,,,52109647.0,ns,13
add_remove_component,ecstasy,,,,51850795.0,ns,13
add_remove_component,ecstasy,,,,52009845.0,ns,13
add_remove_component,ecstasy,,,,52305177.0,ns,13
add_remove_component,ecstasy,,,,52876076.0,ns,13
add_remove_component,ecstasy,,,,54131002.0,ns,13
add_remove_component,ecstasy,,,,54114043.0,ns,13
add_remove_component,ecstasy,,,,54186201.0,ns,13
add_remove_component,ecstasy,,,,52387899.0,ns,13
add_remove_component,ecstasy,,,,54317809.0,ns,13
add_remove_component,ecstasy,,,,52138202.0,ns,13
add_remove_component,ecstasy,,,,51957212.0,ns,13
add_remove_component,ecstasy,,,,52180548.0,ns,13
add_remove_component,ecstasy,,,,52141312.0,ns,13
add_remove_component,ecstasy,,,,52530144.0,ns,13
add_remove_component,ecstasy,,,,52495856.0,ns,13
add_remove_component,ecstasy,,,,52475459.0,ns,13
add_remove_component,ecstasy,,,,54090413.0,ns,13
add_remove_component,ecstasy,,,,53360374.0,ns,13
