group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,1108835.0,ns,1
add_remove_component,hecs,,,,2336305.0,ns,2
add_remove_component,hecs,,,,4185078.0,ns,3
add_remove_component,hecs,,,,4151784.0,ns,4
add_remove_component,hecs,,,,5801209.0,ns,5
add_remove_component,hecs,,,,6057902.0,ns,6
add_remove_component,hecs,,,,7302874.0,ns,7
add_remove_component,hecs,,,,8145250.0,ns,8
add_remove_component,hecs,,,,9567264.0,ns,9
add_remove_component,hecs,,,,10484634.0,ns,10
add_remove_component,hecs,,,,11964840.0,ns,11
add_remove_component,hecs,,,,12912587.0,ns,12
add_remove_component,hecs,,,,14319493.0,ns,13
add_remove_component,hecs,,,,15011943.0,ns,14
add_remove_component,hecs,,,,16273933.0,ns,15
add_remove_component,hecs,,,,17269965.0,ns,16
add_remove_component,hecs,,,,18489674.0,ns,17
add_remove_component,hecs,,,,19938446.0,ns,18
add_remove_component,hecs,,,,20519629.0,ns,19
add_remove_component,hecs,,,,22378198.0,ns,20
add_remove_component,hecs,,,,22761893.0,ns,21
add_remove_component,hecs,,,,24406898.0,ns,22
add_remove_component,hecs,,,,25075449.0,ns,23
add_remove_component,hecs,,,,25444663.0,ns,24
add_remove_component,hecs,,,,26620159.0,ns,25
add_remove_component,hecs,,,,27670119.0,ns,26
add_remove_component,hecs,,,,28813585.0,ns,27
add_remove_component,hecs,,,,30044090.0,ns,28
add_remove_component,hecs,,,,31506121.0,ns,29
add_remove_component,hecs,,,,31638862.0,ns,30
add_remove_component,hecs,,,,33876191.0,ns,31
add_remove_component,hecs,,,,34184616.0,ns,32
add_remove_component,hecs,,,,35558342.0,ns,33
add_remove_component,hecs,,,,36385260.0,ns,34
add_remove_component,hecs,,,,38187503.0,ns,35
add_remove_component,hecs,,,,38173118.0,ns,36
add_remove_component,hecs,,,,39789458.0,ns,37
add_remove_component,hecs,,,,40499290.0,ns,38
add_remove_component,hecs,,,,42588321.0,ns,39
add_remove_component,hecs,,,,42641988.0,ns,40
add_remove_component,hecs,,,,44686739.0,ns,41
add_remove_component,hecs,,,,44492929.0,ns,42
add_remove_component,hecs,,,,49458613.0,ns,43
add_remove_component,hecs,,,,47978471.0,ns,44
add_remove_component,hecs,,,,51250500.0,ns,45
add_remove_component,hecs,,,,53708949.0,ns,46
add_remove_component,hecs,,,,52043150.0,ns,47
add_remove_component,hecs,,,,51250541.0,ns,48
add_remove_component,hecs,,,,52226157.0,ns,49
add_remove_component,hecs,,,,54405240.0,ns,50
add_remove_component,hecs,,,,54469077.0,ns,51
add_remove_component,hecs,,,,56494230.0,ns,52
add_remove_component,hecs,,,,56430851.0,ns,53
add_remove_component,hecs,,,,55210297.0,ns,54
add_remove_component,hecs,,,,57995570.0,ns,55
add_remove_component,hecs,,,,59725874.0,ns,56
add_remove_component,hecs,,,,61964157.0,ns,57
add_remove_component,hecs,,,,61851484.0,ns,58
add_remove_component,hecs,,,,64341797.0,ns,59
add_remove_component,hecs,,,,63920907.0,ns,60
add_remove_component,hecs,,,,68753448.0,ns,61
add_remove_component,hecs,,,,66341157.0,ns,62
add_remove_component,hecs,,,,68517289.0,ns,63
add_remove_component,hecs,,,,70212850.0,ns,64
add_remove_component,hecs,,,,69826532.0,ns,65
add_remove_component,hecs,,,,69450383.0,ns,66
add_remove_component,hecs,,,,72992321.0,ns,67
add_remove_component,hecs,,,,72192622.0,ns,68
add_remove_component,hecs,,,,72132515.0,ns,69
add_remove_component,hecs,,,,73187051.0,ns,70
add_remove_component,hecs,,,,76523672.0,ns,71
add_remove_component,hecs,,,,75851521.0,ns,72
add_remove_component,hecs,,,,78868235.0,ns,73
add_remove_component,hecs,,,,78066125.0,ns,74
add_remove_component,hecs,,,,83202359.0,ns,75
add_remove_component,hecs,,,,79592678.0,ns,76
add_remove_component,hecs,,,,84869365.0,ns,77
add_remove_component,hecs,,,,89898303.0,ns,78
add_remove_component,hecs,,,,91438733.0,ns,79
add_remove_component,hecs,,,,92361695.0,ns,80
add_remove_component,hecs,,,,93661325.0,ns,81
add_remove_component,hecs,,,,86362354.0,ns,82
add_remove_component,hecs,,,,88381211.0,ns,83
add_remove_component,hecs,,,,89755513.0,ns,84
add_remove_component,hecs,,,,91006662.0,ns,85
add_remove_component,hecs,,,,95201834.0,ns,86
add_remove_component,hecs,,,,96839505.0,ns,87
add_remove_component,hecs,,,,100225275.0,ns,88
add_remove_component,hecs,,,,101638669.0,ns,89
add_remove_component,hecs,,,,102602308.0,ns,90
add_remove_component,hecs,,,,103631805.0,ns,91
add_remove_component,hecs,,,,104587810.0,ns,92
add_remove_component,hecs,,,,98784810.0,ns,93
add_remove_component,hecs,,,,97168722.0,ns,94
add_remove_component,hecs,,,,99554195.0,ns,95
add_remove_component,hecs,,,,99624082.0,ns,96
add_remove_component,hecs,,,,106192167.0,ns,97
add_remove_component,hecs,,,,110531930.0,ns,98
add_remove_component,hecs,,,,112343766.0,ns,99
add_remove_component,hecs,,,,112775690.0,ns,100
