group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1098074.0,ns,9
add_remove_component,shipyard,,,,2211909.0,ns,18
add_remove_component,shipyard,,,,4135649.0,ns,27
add_remove_component,shipyard,,,,5158724.0,ns,36
add_remove_component,shipyard,,,,5446324.0,ns,45
add_remove_component,shipyard,,,,6494445.0,ns,54
add_remove_component,shipyard,,,,7864419.0,ns,63
add_remove_component,shipyard,,,,8817214.0,ns,72
add_remove_component,shipyard,,,,9747458.0,ns,81
add_remove_component,shipyard,,,,10789304.0,ns,90
add_remove_component,shipyard,,,,11860267.0,ns,99
add_remove_component,shipyard,,,,12887190.0,ns,108
add_remove_component,shipyard,,,,13763550.0,ns,117
add_remove_component,shipyard,,,,14801099.0,ns,126
add_remove_component,shipyard,,,,16309045.0,ns,135
add_remove_component,shipyard,,,,17653820.0,ns,144
add_remove_component,shipyard,,,,18802937.0,ns,153
add_remove_component,shipyard,,,,20226968.0,ns,162
add_remove_component,shipyard,,,,21141071.0,ns,171
add_remove_component,shipyard,,,,22266743.0,ns,180
add_remove_component,shipyard,,,,23374475.0,ns,189
add_remove_component,shipyard,,,,24390287.0,ns,198
add_remove_component,shipyard,,,,25432386.0,ns,207
add_remove_component,shipyard,,,,26673528.0,ns,216
add_remove_component,shipyard,,,,27797113.0,ns,225
add_remove_component,shipyard,,,,28863815.0,ns,234
add_remove_component,shipyard,,,,29911599.0,ns,243
add_remove_component,shipyard,,,,31215946.0,ns,252
add_remove_component,shipyard,,,,32178418.0,ns,261
add_remove_component,shipyard,,,,33286361.0,ns,270
add_remove_component,shipyard,,,,34520794.0,ns,279
add_remove_component,shipyard,,,,35389872.0,ns,288
add_remove_component,shipyard,,,,35256125.0,ns,297
add_remove_component,shipyard,,,,36377129.0,ns,306
add_remove_component,shipyard,,,,37545739.0,ns,315
add_remove_component,shipyard,,,,38550703.0,ns,324
add_remove_component,shipyard,,,,39368354.0,ns,333
add_remove_component,shipyard,,,,40819177.0,ns,342
add_remove_component,shipyard,,,,41301134.0,ns,351
add_remove_component,shipyard,,,,41843281.0,ns,360
add_remove_component,shipyard,,,,43112899.0,ns,369
add_remove_component,shipyard,,,,43968020.0,ns,378
add_remove_component,shipyard,,,,44963860.0,ns,387
add_remove_component,shipyard,,,,46762567.0,ns,396
add_remove_component,shipyard,,,,48401450.0,ns,405
add_remove_component,shipyard,,,,47740847.0,ns,414
add_remove_component,shipyard,,,,48565596.0,ns,423
add_remove_component,shipyard,,,,52169072.0,ns,432
add_remove_component,shipyard,,,,53151615.0,ns,441
add_remove_component,shipyard,,,,53754058.0,ns,450
add_remove_component,shipyard,,,,54448354.0,ns,459
add_remove_component,shipyard,,,,55422539.0,ns,468
add_remove_component,shipyard,,,,56504674.0,ns,477
add_remove_component,shipyard,,,,57942251.0,ns,486
add_remove_component,shipyard,,,,61497996.0,ns,495
add_remove_component,shipyard,,,,63396286.0,ns,504
add_remove_component,shipyard,,,,65049986.0,ns,513
add_remove_component,shipyard,,,,65424213.0,ns,522
add_remove_component,shipyard,,,,66679669.0,ns,531
add_remove_component,shipyard,,,,68126805.0,ns,540
add_remove_component,shipyard,,,,68982243.0,ns,549
add_remove_component,shipyard,,,,70443838.0,ns,558
add_remove_component,shipyard,,,,70726031.0,ns,567
add_remove_component,shipyard,,,,72340920.0,ns,576
add_remove_component,shipyard,,,,72317129.0,ns,585
add_remove_component,shipyard,,,,79405808.0,ns,594
add_remove_component,shipyard,,,,79383383.0,ns,603
add_remove_component,shipyard,,,,85016515.0,ns,612
add_remove_component,shipyard,,,,83270497.0,ns,621
add_remove_component,shipyard,,,,83742542.0,ns,630
add_remove_component,shipyard,,,,82126936.0,ns,639
add_remove_component,shipyard,,,,79874950.0,ns,648
add_remove_component,shipyard,,,,80417475.0,ns,657
add_remove_component,shipyard,,,,82676914.0,ns,666
add_remove_component,shipyard,,,,81685776.0,ns,675
add_remove_component,shipyard,,,,91924160.0,ns,684
add_remove_component,shipyard,,,,97988832.0,ns,693
add_remove_component,shipyard,,,,82737985.0,ns,702
add_remove_component,shipyard,,,,85195844.0,ns,711
add_remove_component,shipyard,,,,86946167.0,ns,720
add_remove_component,shipyard,,,,85349985.0,ns,729
add_remove_component,shipyard,,,,86227439.0,ns,738
add_remove_component,shipyard,,,,88994357.0,ns,747
add_remove_component,shipyard,,,,90562759.0,ns,756
add_remove_component,shipyard,,,,90387526.0,ns,765
add_remove_component,shipyard,,,,92665876.0,ns,774
add_remove_component,shipyard,,,,93265578.0,ns,783
add_remove_component,shipyard,,,,92502086.0,ns,792
add_remove_component,shipyard,,,,94153264.0,ns,801
add_remove_component,shipyard,,,,94467230.0,ns,810
add_remove_component,shipyard,,,,97952583.0,ns,819
add_remove_component,shipyard,,,,97882424.0,ns,828
add_remove_component,shipyard,,,,99370795.0,ns,837
add_remove_component,shipyard,,,,101804500.0,ns,846
add_remove_component,shipyard,,,,102791544.0,ns,855
add_remove_component,shipyard,,,,104905516.0,ns,864
add_remove_component,shipyard,,,,107184652.0,ns,873
add_remove_component,shipyard,,,,105763845.0,ns,882
add_remove_component,shipyard,,,,107929392.0,ns,891
add_remove_component,shipyard,,,,108300741.0,ns,900
