group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1069515.0,ns,9
add_remove_component,specs,,,,2258644.0,ns,18
add_remove_component,specs,,,,3374121.0,ns,27
add_remove_component,specs,,,,4253534.0,ns,36
add_remove_component,specs,,,,5430732.0,ns,45
add_remove_component,specs,,,,6423061.0,ns,54
add_remove_component,specs,,,,7535638.0,ns,63
add_remove_component,specs,,,,8639587.0,ns,72
add_remove_component,specs,,,,9721419.0,ns,81
add_remove_component,specs,,,,10620446.0,ns,90
add_remove_component,specs,,,,11677094.0,ns,99
add_remove_component,specs,,,,12810140.0,ns,108
add_remove_component,specs,,,,13815130.0,ns,117
add_remove_component,specs,,,,14987851.0,ns,126
add_remove_component,specs,,,,15921970.0,ns,135
add_remove_component,specs,,,,17065329.0,ns,144
add_remove_component,specs,,,,18220552.0,ns,153
add_remove_component,specs,,,,19259973.0,ns,162
add_remove_component,specs,,,,20323130.0,ns,171
add_remove_component,specs,,,,21342507.0,ns,180
add_remove_component,specs,,,,22380444.0,ns,189
add_remove_component,specs,,,,23376574.0,ns,198
add_remove_component,specs,,,,24582884.0,ns,207
add_remove_component,specs,,,,25519417.0,ns,216
add_remove_component,specs,,,,26662525.0,ns,225
add_remove_component,specs,,,,27582400.0,ns,234
add_remove_component,specs,,,,28667570.0,ns,243
add_remove_component,specs,,,,29711983.0,ns,252
add_remove_component,specs,,,,30794712.0,ns,261
add_remove_component,specs,,,,32290473.0,ns,270
add_remove_component,specs,,,,32207421.0,ns,279
add_remove_component,specs,,,,33073336.0,ns,288
add_remove_component,specs,,,,34100038.0,ns,297
add_remove_component,specs,,,,35138845.0,ns,306
add_remove_component,specs,,,,36184907.0,ns,315
add_remove_component,specs,,,,37353755.0,ns,324
add_remove_component,specs,,,,38246480.0,ns,333
add_remove_component,specs,,,,39303790.0,ns,342
add_remove_component,specs,,,,40351358.0,ns,351
add_remove_component,specs,,,,41346483.0,ns,360
add_remove_component,specs,,,,42465269.0,ns,369
add_remove_component,specs,,,,43725744.0,ns,378
add_remove_component,specs,,,,44470635.0,ns,387
add_remove_component,specs,,,,45547054.0,ns,396
add_remove_component,specs,,,,46611498.0,ns,405
add_remove_component,specs,,,,47671210.0,ns,414
add_remove_component,specs,,,,47904562.0,ns,423
add_remove_component,specs,,,,48437730.0,ns,432
add_remove_component,specs,,,,49335951.0,ns,441
add_remove_component,specs,,,,50402496.0,ns,450
add_remove_component,specs,,,,51391469.0,ns,459
add_remove_component,specs,,,,52362467.0,ns,468
add_remove_component,specs,,,,53416229.0,ns,477
add_remove_component,specs,,,,54567658.0,ns,486
add_remove_component,specs,,,,55598124.0,ns,495
add_remove_component,specs,,,,56503638.0,ns,504
add_remove_component,specs,,,,57394380.0,ns,513
add_remove_component,specs,,,,58440833.0,ns,522
add_remove_component,specs,,,,58722967.0,ns,531
add_remove_component,specs,,,,59114152.0,ns,540
add_remove_component,specs,,,,60341773.0,ns,549
add_remove_component,specs,,,,61051161.0,ns,558
add_remove_component,specs,,,,61964297.0,ns,567
add_remove_component,specs,,,,62801676.0,ns,576
add_remove_component,specs,,,,63783267.0,ns,585
add_remove_component,specs,,,,64831578.0,ns,594
add_remove_component,specs,,,,65778365.0,ns,603
add_remove_component,specs,,,,66762332.0,ns,612
add_remove_component,specs,,,,68049193.0,ns,621
add_remove_component,specs,,,,68800932.0,ns,630
add_remove_component,specs,,,,69800636.0,ns,639
add_remove_component,specs,,,,70713432.0,ns,648
add_remove_component,specs,,,,71823085.0,ns,657
add_remove_component,specs,,,,72363698.0,ns,666
add_remove_component,specs,,,,73672308.0,ns,675
add_remove_component,specs,,,,74273065.0,ns,684
add_remove_component,specs,,,,76774691.0,ns,693
add_remove_component,specs,,,,79168525.0,ns,702
add_remove_component,specs,,,,78936539.0,ns,711
add_remove_component,specs,,,,79682975.0,ns,720
add_remove_component,specs,,,,79112625.0,ns,729
add_remove_component,specs,,,,80178833.0,ns,738
add_remove_component,specs,,,,79656646.0,ns,747
add_remove_component,specs,,,,80653128.0,ns,756
add_remove_component,specs,,,,81597498.0,ns,765
add_remove_component,specs,,,,82721996.0,ns,774
add_remove_component,specs,,,,83449747.0,ns,783
add_remove_component,specs,,,,85953355.0,ns,792
add_remove_component,specs,,,,87377071.0,ns,801
add_remove_component,specs,,,,91120960.0,ns,810
add_remove_component,specs,,,,92327314.0,ns,819
add_remove_component,specs,,,,93301896.0,ns,828
add_remove_component,specs,,,,92834646.0,ns,837
add_remove_component,specs,,,,92629477.0,ns,846
add_remove_component,specs,,,,91376797.0,ns,855
add_remove_component,specs,,,,92631639.0,ns,864
add_remove_component,specs,,,,93097599.0,ns,873
add_remove_component,specs,,,,96466172.0,ns,882
add_remove_component,specs,,,,96854090.0,ns,891
add_remove_component,specs,,,,96027223.0,ns,900
