group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,995766.0,ns,325
fragmented_iter,bevy,,,,1976512.0,ns,650
fragmented_iter,bevy,,,,3429678.0,ns,975
fragmented_iter,bevy,,,,3977693.0,ns,1300
fragmented_iter,bevy,,,,4943720.0,ns,1625
fragmented_iter,bevy,,,,6108942.0,ns,1950
fragmented_iter,bevy,,,,6971057.0,ns,2275
fragmented_iter,bevy,,,,8021204.0,ns,2600
fragmented_iter,bevy,,,,8932062.0,ns,2925
fragmented_iter,bevy,,,,9898098.0,ns,3250
fragmented_iter,bevy,,,,10679051.0,ns,3575
fragmented_iter,bevy,,,,11779051.0,ns,3900
fragmented_iter,bevy,,,,12582220.0,ns,4225
fragmented_iter,bevy,,,,13493894.0,ns,4550
fragmented_iter,bevy,,,,14466955.0,ns,4875
fragmented_iter,bevy,,,,15505003.0,ns,5200
fragmented_iter,bevy,,,,16410793.0,ns,5525
fragmented_iter,bevy,,,,17433261.0,ns,5850
fragmented_iter,bevy,,,,18302814.0,ns,6175
fragmented_iter,bevy,,,,19333327.0,ns,6500
fragmented_iter,bevy,,,,20266828.0,ns,6825
fragmented_iter,bevy,,,,21261338.0,ns,7150
fragmented_iter,bevy,,,,22234358.0,ns,7475
fragmented_iter,bevy,,,,23130127.0,ns,7800
fragmented_iter,bevy,,,,24209498.0,ns,8125
fragmented_iter,bevy,,,,25126406.0,ns,8450
fragmented_iter,bevy,,,,26062781.0,ns,8775
fragmented_iter,bevy,,,,27080554.0,ns,9100
fragmented_iter,bevy,,,,27942170.0,ns,9425
fragmented_iter,bevy,,,,28943579.0,ns,9750
fragmented_iter,bevy,,,,29899203.0,ns,10075
fragmented_iter,bevy,,,,31434082.0,ns,10400
fragmented_iter,bevy,,,,31946548.0,ns,10725
fragmented_iter,bevy,,,,34316401.0,ns,11050
fragmented_iter,bevy,,,,36178765.0,ns,11375
fragmented_iter,bevy,,,,47041395.0,ns,11700
fragmented_iter,bevy,,,,43227058.0,ns,12025
fragmented_iter,bevy,,,,42097379.0,ns,12350
fragmented_iter,bevy,,,,39516823.0,ns,12675
fragmented_iter,bevy,,,,39620628.0,ns,13000
fragmented_iter,bevy,,,,39760867.0,ns,13325
fragmented_iter,bevy,,,,40635293.0,ns,13650
fragmented_iter,bevy,,,,41438409.0,ns,13975
fragmented_iter,bevy,,,,42520090.0,ns,14300
fragmented_iter,bevy,,,,43738770.0,ns,14625
fragmented_iter,bevy,,,,45748730.0,ns,14950
fragmented_iter,bevy,,,,46664152.0,ns,15275
fragmented_iter,bevy,,,,47560040.0,ns,15600
fragmented_iter,bevy,,,,48416953.0,ns,15925
fragmented_iter,bevy,,,,49410910.0,ns,16250
fragmented_iter,bevy,,,,50834402.0,ns,16575
fragmented_iter,bevy,,,,52082394.0,ns,16900
fragmented_iter,bevy,,,,52639712.0,ns,17225
fragmented_iter,bevy,,,,53728091.0,ns,17550
fragmented_iter,bevy,,,,53987805.0,ns,17875
fragmented_iter,bevy,,,,55665936.0,ns,18200
fragmented_iter,bevy,,,,56035378.0,ns,18525
fragmented_iter,bevy,,,,56525150.0,ns,18850
fragmented_iter,bevy,,,,57092267.0,ns,19175
fragmented_iter,bevy,,,,58458416.0,ns,19500
fragmented_iter,bevy,,,,59531264.0,ns,19825
fragmented_iter,bevy,,,,60071220.0,ns,20150
fragmented_iter,bevy,,,,61348045.0,ns,20475
fragmented_iter,bevy,,,,62710834.0,ns,20800
fragmented_iter,bevy,,,,63691577.0,ns,21125
fragmented_iter,bevy,,,,65569771.0,ns,21450
fragmented_iter,bevy,,,,66118389.0,ns,21775
fragmented_iter,bevy,,,,67394459.0,ns,22100
fragmented_iter,bevy,,,,68055524.0,ns,22425
fragmented_iter,bevy,,,,67948889.0,ns,22750
fragmented_iter,bevy,,,,71351855.0,ns,23075
fragmented_iter,bevy,,,,74083641.0,ns,23400
fragmented_iter,bevy,,,,71094266.0,ns,23725
fragmented_iter,bevy,,,,73488481.0,ns,24050
fragmented_iter,bevy,,,,74705111.0,ns,24375
fragmented_iter,bevy,,,,75582213.0,ns,24700
fragmented_iter,bevy,,,,76446952.0,ns,25025
fragmented_iter,bevy,,,,77896623.0,ns,25350
fragmented_iter,bevy,,,,77600558.0,ns,25675
fragmented_iter,bevy,,,,78644964.0,ns,26000
fragmented_iter,bevy,,,,80232070.0,ns,26325
fragmented_iter,bevy,,,,79672090.0,ns,26650
fragmented_iter,bevy,,,,80417786.0,ns,26975
fragmented_iter,bevy,,,,81376742.0,ns,27300
fragmented_iter,bevy,,,,85329369.0,ns,27625
fragmented_iter,bevy,,,,85700942.0,ns,27950
fragmented_iter,bevy,,,,87000048.0,ns,28275
fragmented_iter,bevy,,,,86226846.0,ns,28600
fragmented_iter,bevy,,,,88748173.0,ns,28925
fragmented_iter,bevy,,,,88975796.0,ns,29250
fragmented_iter,bevy,,,,89670208.0,ns,29575
fragmented_iter,bevy,,,,84520503.0,ns,29900
fragmented_iter,bevy,,,,85401727.0,ns,30225
fragmented_iter,bevy,,,,87537217.0,ns,30550
fragmented_iter,bevy,,,,87727530.0,ns,30875
fragmented_iter,bevy,,,,89598681.0,ns,31200
fragmented_iter,bevy,,,,94707743.0,ns,31525
fragmented_iter,bevy,,,,97172163.0,ns,31850
fragmented_iter,bevy,,,,98478485.0,ns,32175
fragmented_iter,bevy,,,,99712762.0,ns,32500
