group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,ecstasy,,,,1323978.0,ns,1629
fragmented_iter,ecstasy,,,,2304199.0,ns,3258
fragmented_iter,ecstasy,,,,3709091.0,ns,4887
fragmented_iter,ecstasy,,,,4191690.0,ns,6516
fragmented_iter,ecstasy,,,,4971141.0,ns,8145
fragmented_iter,ecstasy,,,,6380575.0,ns,9774
fragmented_iter,ecstasy,,,,6787134.0,ns,11403
fragmented_iter,ecstasy,,,,7873575.0,ns,13032
fragmented_iter,ecstasy,,,,8650885.0,ns,14661
fragmented_iter,ecstasy,,,,9685916.0,ns,16290
fragmented_iter,ecstasy,,,,10723734.0,ns,17919
fragmented_iter,ecstasy,,,,12075509.0,ns,19548
fragmented_iter,ecstasy,,,,12726996.0,ns,21177
fragmented_iter,ecstasy,,,,13918377.0,ns,22806
fragmented_iter,ecstasy,,,,15154653.0,ns,24435
fragmented_iter,ecstasy,,,,15978862.0,ns,26064
fragmented_iter,ecstasy,,,,17212037.0,ns,27693
fragmented_iter,ecstasy,,,,17874595.0,ns,29322
fragmented_iter,ecstasy,,,,18937445.0,ns,30951
fragmented_iter,ecstasy,,,,19864804.0,ns,32580
fragmented_iter,ecstasy,,,,20752419.0,ns,34209
fragmented_iter,ecstasy,,,,21468415.0,ns,35838
fragmented_iter,ecstasy,,,,22559980.0,ns,37467
fragmented_iter,ecstasy,,,,23794915.0,ns,39096
fragmented_iter,ecstasy,,,,25485646.0,ns,40725
fragmented_iter,ecstasy,,,,26052753.0,ns,42354
fragmented_iter,ecstasy,,,,27510861.0,ns,43983
fragmented_iter,ecstasy,,,,28592764.0,ns,45612
fragmented_iter,ecstasy,,,,29625743.0,ns,47241
fragmented_iter,ecstasy,,,,30602361.0,ns,48870
fragmented_iter,ecstasy,,,,31863229.0,ns,50499
fragmented_iter,ecstasy,,,,32975513.0,ns,52128
fragmented_iter,ecstasy,,,,34215754.0,ns,53757
fragmented_iter,ecstasy,,,,35215058.0,ns,55386
fragmented_iter,ecstasy,,,,34452213.0,ns,57015
fragmented_iter,ecstasy,,,,35749333.0,ns,58644
fragmented_iter,ecstasy,,,,36589101.0,ns,60273
