group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,ecstasy,,,,1034018.0,ns,1419
fragmented_iter,ecstasy,,,,2145732.0,ns,2838
fragmented_iter,ecstasy,,,,3701881.0,ns,4257
fragmented_iter,ecstasy,,,,4356189.0,ns,5676
fragmented_iter,ecstasy,,,,4885844.0,ns,7095
fragmented_iter,ecstasy,,,,5778855.0,ns,8514
fragmented_iter,ecstasy,,,,6957970.0,ns,9933
fragmented_iter,ecstasy,,,,7662504.0,ns,11352
fragmented_iter,ecstasy,,,,8778025.0,ns,12771
fragmented_iter,ecstasy,,,,9790993.0,ns,14190
fragmented_iter,ecstasy,,,,10782648.0,ns,15609
fragmented_iter,ecstasy,,,,11700970.0,ns,17028
fragmented_iter,ecstasy,,,,12756580.0,ns,18447
fragmented_iter,ecstasy,,,,13825456.0,ns,19866
fragmented_iter,ecstasy,,,,14739705.0,ns,21285
fragmented_iter,ecstasy,,,,15684530.0,ns,22704
fragmented_iter,ecstasy,,,,16700776.0,ns,24123
fragmented_iter,ecstasy,,,,17697110.0,ns,25542
fragmented_iter,ecstasy,,,,18596936.0,ns,26961
fragmented_iter,ecstasy,,,,19648295.0,ns,28380
fragmented_iter,ecstasy,,,,20598726.0,ns,29799
fragmented_iter,ecstasy,,,,21512559.0,ns,31218
fragmented_iter,ecstasy,,,,22604096.0,ns,32637
fragmented_iter,ecstasy,,,,23512528.0,ns,34056
fragmented_iter,ecstasy,,,,24880758.0,ns,35475
fragmented_iter,ecstasy,,,,26030872.0,ns,36894
fragmented_iter,ecstasy,,,,26642013.0,ns,38313
fragmented_iter,ecstasy,,,,27718231.0,ns,39732
fragmented_iter,ecstasy,,,,28532950.0,ns,41151
fragmented_iter,ecstasy,,,,29457710.0,ns,42570
fragmented_iter,ecstasy,,,,30540277.0,ns,43989
fragmented_iter,ecstasy,,,,31297357.0,ns,45408
fragmented_iter,ecstasy,,,,32256729.0,ns,46827
fragmented_iter,ecstasy,,,,34282611.0,ns,48246
fragmented_iter,ecstasy,,,,34396459.0,ns,49665
fragmented_iter,ecstasy,,,,35375951.0,ns,51084
fragmented_iter,ecstasy,,,,36052588.0,ns,52503
fragmented_iter,ecstasy,,,,37189414.0,ns,53922
fragmented_iter,ecstasy,,,,38124331.0,ns,55341
fragmented_iter,ecstasy,,,,40429635.0,ns,56760
fragmented_iter,ecstasy,,,,40140739.0,ns,58179
fragmented_iter,ecstasy,,,,42087458.0,ns,59598
fragmented_iter,ecstasy,,,,43033539.0,ns,61017
fragmented_iter,ecstasy,,,,44323662.0,ns,62436
fragmented_iter,ecstasy,,,,45062130.0,ns,63855
fragmented_iter,ecstasy,,,,46350836.0,ns,65274
fragmented_iter,ecstasy,,,,46926867.0,ns,66693
fragmented_iter,ecstasy,,,,48550928.0,ns,68112
fragmented_iter,ecstasy,,,,49120682.0,ns,69531
fragmented_iter,ecstasy,,,,49688057.0,ns,70950
fragmented_iter,ecstasy,,,,49584704.0,ns,72369
fragmented_iter,ecstasy,,,,49769244.0,ns,73788
fragmented_iter,ecstasy,,,,50535838.0,ns,75207
fragmented_iter,ecstasy,,,,52220425.0,ns,76626
fragmented_iter,ecstasy,,,,52585300.0,ns,78045
fragmented_iter,ecstasy,,,,53518511.0,ns,79464
fragmented_iter,ecstasy,,,,54541191.0,ns,80883
fragmented_iter,ecstasy,,,,55469642.0,ns,82302
fragmented_iter,ecstasy,,,,56333421.0,ns,83721
fragmented_iter,ecstasy,,,,59159569.0,ns,85140
fragmented_iter,ecstasy,,,,59690360.0,ns,86559
fragmented_iter,ecstasy,,,,61520626.0,ns,87978
fragmented_iter,ecstasy,,,,62708267.0,ns,89397
fragmented_iter,ecstasy,,,,64722737.0,ns,90816
fragmented_iter,ecstasy,,,,64931848.0,ns,92235
fragmented_iter,ecstasy,,,,65929962.0,ns,93654
fragmented_iter,ecstasy,,,,67245988.0,ns,95073
fragmented_iter,ecstasy,,,,68360548.0,ns,96492
fragmented_iter,ecstasy,,,,68241256.0,ns,97911
fragmented_iter,ecstasy,,,,68176562.0,ns,99330
fragmented_iter,ecstasy,,,,69508179.0,ns,100749
fragmented_iter,ecstasy,,,,70774055.0,ns,102168
fragmented_iter,ecstasy,,,,73470251.0,ns,103587
fragmented_iter,ecstasy,,,,72228563.0,ns,105006
fragmented_iter,ecstasy,,,,74641602.0,ns,106425
fragmented_iter,ecstasy,,,,74402098.0,ns,107844
fragmented_iter,ecstasy,,,,75603208.0,ns,109263
fragmented_iter,ecstasy,,,,76952755.0,ns,110682
fragmented_iter,ecstasy,,,,77682150.0,ns,112101
fragmented_iter,ecstasy,,,,79537700.0,ns,113520
fragmented_iter,ecstasy,,,,79754208.0,ns,114939
fragmented_iter,ecstasy,,,,82063827.0,ns,116358
fragmented_iter,ecstasy,,,,81853860.0,ns,117777
fragmented_iter,ecstasy,,,,82595230.0,ns,119196
fragmented_iter,ecstasy,,,,83815464.0,ns,120615
fragmented_iter,ecstasy,,,,83049926.0,ns,122034
fragmented_iter,ecstasy,,,,83601487.0,ns,123453
fragmented_iter,ecstasy,,,,100369914.0,ns,124872
fragmented_iter,ecstasy,,,,92048515.0,ns,126291
fragmented_iter,ecstasy,,,,89906516.0,ns,127710
fragmented_iter,ecstasy,,,,91183430.0,ns,129129
fragmented_iter,ecstasy,,,,92258422.0,ns,130548
fragmented_iter,ecstasy,,,,91258204.0,ns,131967
fragmented_iter,ecstasy,,,,92321484.0,ns,133386
fragmented_iter,ecstasy,,,,93614555.0,ns,134805
fragmented_iter,ecstasy,,,,93607257.0,ns,136224
fragmented_iter,ecstasy,,,,95568384.0,ns,137643
fragmented_iter,ecstasy,,,,94452531.0,ns,139062
fragmented_iter,ecstasy,,,,98748306.0,ns,140481
fragmented_iter,ecstasy,,,,100069926.0,ns,141900
