group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,1019825.0,ns,2484
fragmented_iter,hecs,,,,2074661.0,ns,4968
fragmented_iter,hecs,,,,3432786.0,ns,7452
fragmented_iter,hecs,,,,4153353.0,ns,9936
fragmented_iter,hecs,,,,4839712.0,ns,12420
fragmented_iter,hecs,,,,5699981.0,ns,14904
fragmented_iter,hecs,,,,7340511.0,ns,17388
fragmented_iter,hecs,,,,7540287.0,ns,19872
fragmented_iter,hecs,,,,8555137.0,ns,22356
fragmented_iter,hecs,,,,9420260.0,ns,24840
fragmented_iter,hecs,,,,10429007.0,ns,27324
fragmented_iter,hecs,,,,11385618.0,ns,29808
fragmented_iter,hecs,,,,12533457.0,ns,32292
fragmented_iter,hecs,,,,13480462.0,ns,34776
fragmented_iter,hecs,,,,14451439.0,ns,37260
fragmented_iter,hecs,,,,15412391.0,ns,39744
fragmented_iter,hecs,,,,16596105.0,ns,42228
fragmented_iter,hecs,,,,17467338.0,ns,44712
fragmented_iter,hecs,,,,18173293.0,ns,47196
fragmented_iter,hecs,,,,19089014.0,ns,49680
fragmented_iter,hecs,,,,19920704.0,ns,52164
fragmented_iter,hecs,,,,20844021.0,ns,54648
fragmented_iter,hecs,,,,21787346.0,ns,57132
fragmented_iter,hecs,,,,22736283.0,ns,59616
fragmented_iter,hecs,,,,23751789.0,ns,62100
fragmented_iter,hecs,,,,24648976.0,ns,64584
fragmented_iter,hecs,,,,25589061.0,ns,67068
fragmented_iter,hecs,,,,26696192.0,ns,69552
fragmented_iter,hecs,,,,27477294.0,ns,72036
fragmented_iter,hecs,,,,28534720.0,ns,74520
fragmented_iter,hecs,,,,29382855.0,ns,77004
fragmented_iter,hecs,,,,30344274.0,ns,79488
fragmented_iter,hecs,,,,31314348.0,ns,81972
fragmented_iter,hecs,,,,32279128.0,ns,84456
fragmented_iter,hecs,,,,33295771.0,ns,86940
fragmented_iter,hecs,,,,34195026.0,ns,89424
fragmented_iter,hecs,,,,36313895.0,ns,91908
fragmented_iter,hecs,,,,36124895.0,ns,94392
fragmented_iter,hecs,,,,37087649.0,ns,96876
fragmented_iter,hecs,,,,37932680.0,ns,99360
fragmented_iter,hecs,,,,39287743.0,ns,101844
fragmented_iter,hecs,,,,39792857.0,ns,104328
fragmented_iter,hecs,,,,40830356.0,ns,106812
fragmented_iter,hecs,,,,41802507.0,ns,109296
fragmented_iter,hecs,,,,42647913.0,ns,111780
fragmented_iter,hecs,,,,43586088.0,ns,114264
fragmented_iter,hecs,,,,45031882.0,ns,116748
fragmented_iter,hecs,,,,45518329.0,ns,119232
fragmented_iter,hecs,,,,46819395.0,ns,121716
fragmented_iter,hecs,,,,47564780.0,ns,124200
fragmented_iter,hecs,,,,48320626.0,ns,126684
fragmented_iter,hecs,,,,49347671.0,ns,129168
fragmented_iter,hecs,,,,50246867.0,ns,131652
fragmented_iter,hecs,,,,51326815.0,ns,134136
fragmented_iter,hecs,,,,52218117.0,ns,136620
fragmented_iter,hecs,,,,53139988.0,ns,139104
fragmented_iter,hecs,,,,54180264.0,ns,141588
fragmented_iter,hecs,,,,55406835.0,ns,144072
fragmented_iter,hecs,,,,58033433.0,ns,146556
fragmented_iter,hecs,,,,58389588.0,ns,149040
fragmented_iter,hecs,,,,58444656.0,ns,151524
fragmented_iter,hecs,,,,60162908.0,ns,154008
fragmented_iter,hecs,,,,63005724.0,ns,156492
fragmented_iter,hecs,,,,61256477.0,ns,158976
fragmented_iter,hecs,,,,63216614.0,ns,161460
fragmented_iter,hecs,,,,62610494.0,ns,163944
fragmented_iter,hecs,,,,63487962.0,ns,166428
fragmented_iter,hecs,,,,65355883.0,ns,168912
fragmented_iter,hecs,,,,65611493.0,ns,171396
fragmented_iter,hecs,,,,66464678.0,ns,173880
fragmented_iter,hecs,,,,67440042.0,ns,176364
fragmented_iter,hecs,,,,68254423.0,ns,178848
fragmented_iter,hecs,,,,69264523.0,ns,181332
fragmented_iter,hecs,,,,70660647.0,ns,183816
fragmented_iter,hecs,,,,71990382.0,ns,186300
fragmented_iter,hecs,,,,71942392.0,ns,188784
fragmented_iter,hecs,,,,72824513.0,ns,191268
fragmented_iter,hecs,,,,73603965.0,ns,193752
fragmented_iter,hecs,,,,74513568.0,ns,196236
fragmented_iter,hecs,,,,75411449.0,ns,198720
fragmented_iter,hecs,,,,76552477.0,ns,201204
fragmented_iter,hecs,,,,77338042.0,ns,203688
fragmented_iter,hecs,,,,78233041.0,ns,206172
fragmented_iter,hecs,,,,79575988.0,ns,208656
fragmented_iter,hecs,,,,80202973.0,ns,211140
fragmented_iter,hecs,,,,81176652.0,ns,213624
fragmented_iter,hecs,,,,82403060.0,ns,216108
fragmented_iter,hecs,,,,84029822.0,ns,218592
fragmented_iter,hecs,,,,84984273.0,ns,221076
fragmented_iter,hecs,,,,85261044.0,ns,223560
fragmented_iter,hecs,,,,86321591.0,ns,226044
fragmented_iter,hecs,,,,87281955.0,ns,228528
fragmented_iter,hecs,,,,88655553.0,ns,231012
fragmented_iter,hecs,,,,89333507.0,ns,233496
fragmented_iter,hecs,,,,90626692.0,ns,235980
fragmented_iter,hecs,,,,91405029.0,ns,238464
fragmented_iter,hecs,,,,93256078.0,ns,240948
fragmented_iter,hecs,,,,92860251.0,ns,243432
fragmented_iter,hecs,,,,94990439.0,ns,245916
fragmented_iter,hecs,,,,94958791.0,ns,248400
