group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,1077143.0,ns,2282
fragmented_iter,legion,,,,2215331.0,ns,4564
fragmented_iter,legion,,,,3962321.0,ns,6846
fragmented_iter,legion,,,,3949100.0,ns,9128
fragmented_iter,legion,,,,4839747.0,ns,11410
fragmented_iter,legion,,,,6264752.0,ns,13692
fragmented_iter,legion,,,,7036737.0,ns,15974
fragmented_iter,legion,,,,7828160.0,ns,18256
fragmented_iter,legion,,,,8735877.0,ns,20538
fragmented_iter,legion,,,,9745824.0,ns,22820
fragmented_iter,legion,,,,10881963.0,ns,25102
fragmented_iter,legion,,,,11903741.0,ns,27384
fragmented_iter,legion,,,,12885328.0,ns,29666
fragmented_iter,legion,,,,13870829.0,ns,31948
fragmented_iter,legion,,,,14923584.0,ns,34230
fragmented_iter,legion,,,,15854446.0,ns,36512
fragmented_iter,legion,,,,16827989.0,ns,38794
fragmented_iter,legion,,,,17392925.0,ns,41076
fragmented_iter,legion,,,,18399447.0,ns,43358
fragmented_iter,legion,,,,19478715.0,ns,45640
fragmented_iter,legion,,,,20523857.0,ns,47922
fragmented_iter,legion,,,,21619591.0,ns,50204
fragmented_iter,legion,,,,22437881.0,ns,52486
fragmented_iter,legion,,,,23530872.0,ns,54768
fragmented_iter,legion,,,,24585343.0,ns,57050
fragmented_iter,legion,,,,26059542.0,ns,59332
fragmented_iter,legion,,,,26972667.0,ns,61614
fragmented_iter,legion,,,,28714988.0,ns,63896
fragmented_iter,legion,,,,29874524.0,ns,66178
fragmented_iter,legion,,,,31124908.0,ns,68460
fragmented_iter,legion,,,,32084470.0,ns,70742
fragmented_iter,legion,,,,33156575.0,ns,73024
fragmented_iter,legion,,,,34087433.0,ns,75306
fragmented_iter,legion,,,,35311206.0,ns,77588
fragmented_iter,legion,,,,36306789.0,ns,79870
fragmented_iter,legion,,,,37311052.0,ns,82152
fragmented_iter,legion,,,,38352284.0,ns,84434
fragmented_iter,legion,,,,39266351.0,ns,86716
fragmented_iter,legion,,,,40388279.0,ns,88998
fragmented_iter,legion,,,,40531301.0,ns,91280
fragmented_iter,legion,,,,39874307.0,ns,93562
fragmented_iter,legion,,,,40679105.0,ns,95844
fragmented_iter,legion,,,,41809571.0,ns,98126
fragmented_iter,legion,,,,43026992.0,ns,100408
fragmented_iter,legion,,,,44095575.0,ns,102690
fragmented_iter,legion,,,,45660406.0,ns,104972
fragmented_iter,legion,,,,48226503.0,ns,107254
fragmented_iter,legion,,,,49670990.0,ns,109536
fragmented_iter,legion,,,,50655564.0,ns,111818
fragmented_iter,legion,,,,51813638.0,ns,114100
fragmented_iter,legion,,,,53622064.0,ns,116382
fragmented_iter,legion,,,,51305072.0,ns,118664
fragmented_iter,legion,,,,52481932.0,ns,120946
fragmented_iter,legion,,,,52329232.0,ns,123228
fragmented_iter,legion,,,,53017816.0,ns,125510
fragmented_iter,legion,,,,54470187.0,ns,127792
fragmented_iter,legion,,,,57882148.0,ns,130074
fragmented_iter,legion,,,,59576365.0,ns,132356
fragmented_iter,legion,,,,60974906.0,ns,134638
fragmented_iter,legion,,,,62190305.0,ns,136920
fragmented_iter,legion,,,,63175661.0,ns,139202
fragmented_iter,legion,,,,64158130.0,ns,141484
fragmented_iter,legion,,,,65261007.0,ns,143766
fragmented_iter,legion,,,,66431978.0,ns,146048
fragmented_iter,legion,,,,65876505.0,ns,148330
fragmented_iter,legion,,,,63869073.0,ns,150612
fragmented_iter,legion,,,,64871540.0,ns,152894
fragmented_iter,legion,,,,66988377.0,ns,155176
fragmented_iter,legion,,,,66856354.0,ns,157458
fragmented_iter,legion,,,,67812152.0,ns,159740
fragmented_iter,legion,,,,69008546.0,ns,162022
fragmented_iter,legion,,,,69977352.0,ns,164304
fragmented_iter,legion,,,,71115333.0,ns,166586
fragmented_iter,legion,,,,74606969.0,ns,168868
fragmented_iter,legion,,,,74857900.0,ns,171150
fragmented_iter,legion,,,,74020287.0,ns,173432
fragmented_iter,legion,,,,75855429.0,ns,175714
fragmented_iter,legion,,,,77050639.0,ns,177996
fragmented_iter,legion,,,,78231715.0,ns,180278
fragmented_iter,legion,,,,79177163.0,ns,182560
fragmented_iter,legion,,,,80374570.0,ns,184842
fragmented_iter,legion,,,,80347986.0,ns,187124
fragmented_iter,legion,,,,81356395.0,ns,189406
fragmented_iter,legion,,,,82621236.0,ns,191688
fragmented_iter,legion,,,,83742026.0,ns,193970
fragmented_iter,legion,,,,84865185.0,ns,196252
fragmented_iter,legion,,,,85943987.0,ns,198534
fragmented_iter,legion,,,,84903886.0,ns,200816
fragmented_iter,legion,,,,86976371.0,ns,203098
fragmented_iter,legion,,,,89043523.0,ns,205380
fragmented_iter,legion,,,,90032533.0,ns,207662
fragmented_iter,legion,,,,91037670.0,ns,209944
fragmented_iter,legion,,,,92225241.0,ns,212226
fragmented_iter,legion,,,,90974906.0,ns,214508
fragmented_iter,legion,,,,92333276.0,ns,216790
fragmented_iter,legion,,,,93129353.0,ns,219072
fragmented_iter,legion,,,,93811278.0,ns,221354
fragmented_iter,legion,,,,95160340.0,ns,223636
fragmented_iter,legion,,,,95714217.0,ns,225918
fragmented_iter,legion,,,,96853883.0,ns,228200
