group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,1318193.0,ns,1568
fragmented_iter,planck_ecs,,,,1966270.0,ns,3136
fragmented_iter,planck_ecs,,,,3498637.0,ns,4704
fragmented_iter,planck_ecs,,,,4045436.0,ns,6272
fragmented_iter,planck_ecs,,,,4916767.0,ns,7840
fragmented_iter,planck_ecs,,,,6335464.0,ns,9408
fragmented_iter,planck_ecs,,,,7068558.0,ns,10976
fragmented_iter,planck_ecs,,,,7987450.0,ns,12544
fragmented_iter,planck_ecs,,,,8844982.0,ns,14112
fragmented_iter,planck_ecs,,,,9825866.0,ns,15680
fragmented_iter,planck_ecs,,,,10809648.0,ns,17248
fragmented_iter,planck_ecs,,,,11790850.0,ns,18816
fragmented_iter,planck_ecs,,,,12942954.0,ns,20384
fragmented_iter,planck_ecs,,,,14156038.0,ns,21952
fragmented_iter,planck_ecs,,,,15162350.0,ns,23520
fragmented_iter,planck_ecs,,,,16106995.0,ns,25088
fragmented_iter,planck_ecs,,,,17117533.0,ns,26656
fragmented_iter,planck_ecs,,,,18126297.0,ns,28224
fragmented_iter,planck_ecs,,,,18950823.0,ns,29792
fragmented_iter,planck_ecs,,,,19762722.0,ns,31360
fragmented_iter,planck_ecs,,,,21233648.0,ns,32928
fragmented_iter,planck_ecs,,,,21719117.0,ns,34496
fragmented_iter,planck_ecs,,,,22614058.0,ns,36064
fragmented_iter,planck_ecs,,,,23603039.0,ns,37632
fragmented_iter,planck_ecs,,,,24591797.0,ns,39200
fragmented_iter,planck_ecs,,,,25567234.0,ns,40768
fragmented_iter,planck_ecs,,,,26600775.0,ns,42336
fragmented_iter,planck_ecs,,,,27511225.0,ns,43904
fragmented_iter,planck_ecs,,,,28490225.0,ns,45472
fragmented_iter,planck_ecs,,,,29855189.0,ns,47040
fragmented_iter,planck_ecs,,,,30651132.0,ns,48608
fragmented_iter,planck_ecs,,,,31536798.0,ns,50176
fragmented_iter,planck_ecs,,,,32451103.0,ns,51744
fragmented_iter,planck_ecs,,,,33440019.0,ns,53312
fragmented_iter,planck_ecs,,,,34451873.0,ns,54880
fragmented_iter,planck_ecs,,,,35397637.0,ns,56448
fragmented_iter,planck_ecs,,,,36380912.0,ns,58016
fragmented_iter,planck_ecs,,,,37538847.0,ns,59584
fragmented_iter,planck_ecs,,,,38441761.0,ns,61152
fragmented_iter,planck_ecs,,,,39613460.0,ns,62720
fragmented_iter,planck_ecs,,,,40397997.0,ns,64288
fragmented_iter,planck_ecs,,,,41339349.0,ns,65856
fragmented_iter,planck_ecs,,,,43105245.0,ns,67424
fragmented_iter,planck_ecs,,,,48336762.0,ns,68992
fragmented_iter,planck_ecs,,,,46620784.0,ns,70560
fragmented_iter,planck_ecs,,,,47251432.0,ns,72128
fragmented_iter,planck_ecs,,,,48459776.0,ns,73696
fragmented_iter,planck_ecs,,,,49615362.0,ns,75264
fragmented_iter,planck_ecs,,,,50524339.0,ns,76832
fragmented_iter,planck_ecs,,,,51393009.0,ns,78400
fragmented_iter,planck_ecs,,,,50380080.0,ns,79968
fragmented_iter,planck_ecs,,,,51187221.0,ns,81536
fragmented_iter,planck_ecs,,,,52112791.0,ns,83104
fragmented_iter,planck_ecs,,,,53526556.0,ns,84672
fragmented_iter,planck_ecs,,,,54075960.0,ns,86240
fragmented_iter,planck_ecs,,,,55059204.0,ns,87808
fragmented_iter,planck_ecs,,,,56440047.0,ns,89376
fragmented_iter,planck_ecs,,,,57149660.0,ns,90944
fragmented_iter,planck_ecs,,,,58066203.0,ns,92512
fragmented_iter,planck_ecs,,,,58949715.0,ns,94080
fragmented_iter,planck_ecs,,,,59978493.0,ns,95648
fragmented_iter,planck_ecs,,,,61160434.0,ns,97216
fragmented_iter,planck_ecs,,,,64752212.0,ns,98784
fragmented_iter,planck_ecs,,,,64325022.0,ns,100352
fragmented_iter,planck_ecs,,,,64374629.0,ns,101920
fragmented_iter,planck_ecs,,,,64889289.0,ns,103488
fragmented_iter,planck_ecs,,,,65967258.0,ns,105056
fragmented_iter,planck_ecs,,,,66862629.0,ns,106624
fragmented_iter,planck_ecs,,,,67927197.0,ns,108192
fragmented_iter,planck_ecs,,,,69144701.0,ns,109760
fragmented_iter,planck_ecs,,,,69910481.0,ns,111328
fragmented_iter,planck_ecs,,,,70847873.0,ns,112896
fragmented_iter,planck_ecs,,,,71775577.0,ns,114464
fragmented_iter,planck_ecs,,,,72986045.0,ns,116032
fragmented_iter,planck_ecs,,,,73733786.0,ns,117600
fragmented_iter,planck_ecs,,,,74809705.0,ns,119168
fragmented_iter,planck_ecs,,,,76849105.0,ns,120736
fragmented_iter,planck_ecs,,,,77473861.0,ns,122304
fragmented_iter,planck_ecs,,,,79949707.0,ns,123872
fragmented_iter,planck_ecs,,,,80930942.0,ns,125440
fragmented_iter,planck_ecs,,,,82067199.0,ns,127008
fragmented_iter,planck_ecs,,,,82745481.0,ns,128576
fragmented_iter,planck_ecs,,,,83278075.0,ns,130144
fragmented_iter,planck_ecs,,,,82628804.0,ns,131712
