group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,shipyard,,,,1227936.0,ns,13181
fragmented_iter,shipyard,,,,2015032.0,ns,26362
fragmented_iter,shipyard,,,,4061318.0,ns,39543
fragmented_iter,shipyard,,,,3941666.0,ns,52724
fragmented_iter,shipyard,,,,5329753.0,ns,65905
fragmented_iter,shipyard,,,,6201541.0,ns,79086
fragmented_iter,shipyard,,,,6974742.0,ns,92267
fragmented_iter,shipyard,,,,7884108.0,ns,105448
fragmented_iter,shipyard,,,,8876634.0,ns,118629
fragmented_iter,shipyard,,,,9840333.0,ns,131810
fragmented_iter,shipyard,,,,10931404.0,ns,144991
fragmented_iter,shipyard,,,,11803098.0,ns,158172
fragmented_iter,shipyard,,,,12784698.0,ns,171353
fragmented_iter,shipyard,,,,13945631.0,ns,184534
fragmented_iter,shipyard,,,,15097188.0,ns,197715
fragmented_iter,shipyard,,,,16166562.0,ns,210896
fragmented_iter,shipyard,,,,17122178.0,ns,224077
fragmented_iter,shipyard,,,,18156789.0,ns,237258
fragmented_iter,shipyard,,,,19212607.0,ns,250439
fragmented_iter,shipyard,,,,19829122.0,ns,263620
fragmented_iter,shipyard,,,,21225527.0,ns,276801
fragmented_iter,shipyard,,,,21757636.0,ns,289982
fragmented_iter,shipyard,,,,23038963.0,ns,303163
fragmented_iter,shipyard,,,,24827144.0,ns,316344
fragmented_iter,shipyard,,,,24695004.0,ns,329525
fragmented_iter,shipyard,,,,25868662.0,ns,342706
fragmented_iter,shipyard,,,,30824053.0,ns,355887
fragmented_iter,shipyard,,,,39362141.0,ns,369068
fragmented_iter,shipyard,,,,33234580.0,ns,382249
fragmented_iter,shipyard,,,,31738569.0,ns,395430
fragmented_iter,shipyard,,,,32479949.0,ns,408611
fragmented_iter,shipyard,,,,32373336.0,ns,421792
fragmented_iter,shipyard,,,,33425652.0,ns,434973
fragmented_iter,shipyard,,,,34272686.0,ns,448154
fragmented_iter,shipyard,,,,35280673.0,ns,461335
fragmented_iter,shipyard,,,,36366880.0,ns,474516
fragmented_iter,shipyard,,,,36527935.0,ns,487697
fragmented_iter,shipyard,,,,37781373.0,ns,500878
fragmented_iter,shipyard,,,,38392267.0,ns,514059
fragmented_iter,shipyard,,,,39409359.0,ns,527240
fragmented_iter,shipyard,,,,40383160.0,ns,540421
