group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,1202383.0,ns,805
fragmented_iter,specs,,,,2148357.0,ns,1610
fragmented_iter,specs,,,,4176531.0,ns,2415
fragmented_iter,specs,,,,4985698.0,ns,3220
fragmented_iter,specs,,,,4996906.0,ns,4025
fragmented_iter,specs,,,,5866240.0,ns,4830
fragmented_iter,specs,,,,7084839.0,ns,5635
fragmented_iter,specs,,,,7891028.0,ns,6440
fragmented_iter,specs,,,,8857599.0,ns,7245
fragmented_iter,specs,,,,10003051.0,ns,8050
fragmented_iter,specs,,,,10986467.0,ns,8855
fragmented_iter,specs,,,,11983345.0,ns,9660
fragmented_iter,specs,,,,12961584.0,ns,10465
fragmented_iter,specs,,,,13917017.0,ns,11270
fragmented_iter,specs,,,,14923459.0,ns,12075
fragmented_iter,specs,,,,15927414.0,ns,12880
fragmented_iter,specs,,,,16583564.0,ns,13685
fragmented_iter,specs,,,,17542804.0,ns,14490
fragmented_iter,specs,,,,18590441.0,ns,15295
fragmented_iter,specs,,,,19600896.0,ns,16100
fragmented_iter,specs,,,,20459239.0,ns,16905
fragmented_iter,specs,,,,21412818.0,ns,17710
fragmented_iter,specs,,,,22970841.0,ns,18515
fragmented_iter,specs,,,,23460703.0,ns,19320
fragmented_iter,specs,,,,24380483.0,ns,20125
fragmented_iter,specs,,,,26095648.0,ns,20930
fragmented_iter,specs,,,,26556218.0,ns,21735
fragmented_iter,specs,,,,28062329.0,ns,22540
fragmented_iter,specs,,,,28728943.0,ns,23345
fragmented_iter,specs,,,,30011993.0,ns,24150
fragmented_iter,specs,,,,31150739.0,ns,24955
fragmented_iter,specs,,,,32882276.0,ns,25760
fragmented_iter,specs,,,,32404152.0,ns,26565
fragmented_iter,specs,,,,33306990.0,ns,27370
fragmented_iter,specs,,,,34016756.0,ns,28175
fragmented_iter,specs,,,,35314358.0,ns,28980
fragmented_iter,specs,,,,36056097.0,ns,29785
fragmented_iter,specs,,,,37070438.0,ns,30590
fragmented_iter,specs,,,,38316233.0,ns,31395
fragmented_iter,specs,,,,39351909.0,ns,32200
fragmented_iter,specs,,,,39946011.0,ns,33005
fragmented_iter,specs,,,,41024267.0,ns,33810
fragmented_iter,specs,,,,42382826.0,ns,34615
fragmented_iter,specs,,,,42786645.0,ns,35420
fragmented_iter,specs,,,,44286786.0,ns,36225
fragmented_iter,specs,,,,45165175.0,ns,37030
fragmented_iter,specs,,,,45920083.0,ns,37835
fragmented_iter,specs,,,,46690494.0,ns,38640
fragmented_iter,specs,,,,47779345.0,ns,39445
fragmented_iter,specs,,,,48675551.0,ns,40250
fragmented_iter,specs,,,,50036093.0,ns,41055
fragmented_iter,specs,,,,52136676.0,ns,41860
fragmented_iter,specs,,,,51667366.0,ns,42665
fragmented_iter,specs,,,,52737967.0,ns,43470
fragmented_iter,specs,,,,53751068.0,ns,44275
fragmented_iter,specs,,,,55498114.0,ns,45080
fragmented_iter,specs,,,,55447239.0,ns,45885
fragmented_iter,specs,,,,56499878.0,ns,46690
fragmented_iter,specs,,,,57545629.0,ns,47495
fragmented_iter,specs,,,,58608081.0,ns,48300
fragmented_iter,specs,,,,59530851.0,ns,49105
fragmented_iter,specs,,,,60455451.0,ns,49910
fragmented_iter,specs,,,,61694594.0,ns,50715
fragmented_iter,specs,,,,63329791.0,ns,51520
fragmented_iter,specs,,,,65275409.0,ns,52325
fragmented_iter,specs,,,,66399369.0,ns,53130
fragmented_iter,specs,,,,67891980.0,ns,53935
fragmented_iter,specs,,,,69147876.0,ns,54740
fragmented_iter,specs,,,,69789582.0,ns,55545
fragmented_iter,specs,,,,71139743.0,ns,56350
fragmented_iter,specs,,,,72502180.0,ns,57155
fragmented_iter,specs,,,,70473617.0,ns,57960
fragmented_iter,specs,,,,71237152.0,ns,58765
fragmented_iter,specs,,,,72185294.0,ns,59570
fragmented_iter,specs,,,,73392704.0,ns,60375
fragmented_iter,specs,,,,74091553.0,ns,61180
fragmented_iter,specs,,,,75788766.0,ns,61985
fragmented_iter,specs,,,,76588359.0,ns,62790
fragmented_iter,specs,,,,77094656.0,ns,63595
fragmented_iter,specs,,,,77925375.0,ns,64400
fragmented_iter,specs,,,,79267335.0,ns,65205
fragmented_iter,specs,,,,79902528.0,ns,66010
fragmented_iter,specs,,,,80909213.0,ns,66815
fragmented_iter,specs,,,,82566861.0,ns,67620
fragmented_iter,specs,,,,86455630.0,ns,68425
fragmented_iter,specs,,,,85517511.0,ns,69230
fragmented_iter,specs,,,,87070306.0,ns,70035
fragmented_iter,specs,,,,85702638.0,ns,70840
fragmented_iter,specs,,,,86740237.0,ns,71645
fragmented_iter,specs,,,,88157531.0,ns,72450
fragmented_iter,specs,,,,89283666.0,ns,73255
fragmented_iter,specs,,,,89530383.0,ns,74060
fragmented_iter,specs,,,,90572152.0,ns,74865
fragmented_iter,specs,,,,91754933.0,ns,75670
fragmented_iter,specs,,,,92716025.0,ns,76475
fragmented_iter,specs,,,,94518435.0,ns,77280
fragmented_iter,specs,,,,94919435.0,ns,78085
fragmented_iter,specs,,,,95410438.0,ns,78890
fragmented_iter,specs,,,,96421536.0,ns,79695
fragmented_iter,specs,,,,97897421.0,ns,80500
