group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1130803.0,ns,1
heavy_compute,bevy,,,,2148863.0,ns,2
heavy_compute,bevy,,,,3408437.0,ns,3
heavy_compute,bevy,,,,4684322.0,ns,4
heavy_compute,bevy,,,,5560483.0,ns,5
heavy_compute,bevy,,,,6469990.0,ns,6
heavy_compute,bevy,,,,7443940.0,ns,7
heavy_compute,bevy,,,,8509079.0,ns,8
heavy_compute,bevy,,,,9541137.0,ns,9
heavy_compute,bevy,,,,10616638.0,ns,10
heavy_compute,bevy,,,,11705264.0,ns,11
heavy_compute,bevy,,,,12682100.0,ns,12
heavy_compute,bevy,,,,13791597.0,ns,13
heavy_compute,bevy,,,,15081734.0,ns,14
heavy_compute,bevy,,,,16290909.0,ns,15
heavy_compute,bevy,,,,16997075.0,ns,16
heavy_compute,bevy,,,,18001206.0,ns,17
heavy_compute,bevy,,,,19046678.0,ns,18
heavy_compute,bevy,,,,20412884.0,ns,19
heavy_compute,bevy,,,,21265155.0,ns,20
heavy_compute,bevy,,,,22298622.0,ns,21
heavy_compute,bevy,,,,23356534.0,ns,22
heavy_compute,bevy,,,,24489758.0,ns,23
heavy_compute,bevy,,,,25566476.0,ns,24
heavy_compute,bevy,,,,26527667.0,ns,25
heavy_compute,bevy,,,,27755660.0,ns,26
heavy_compute,bevy,,,,28710460.0,ns,27
heavy_compute,bevy,,,,29786619.0,ns,28
heavy_compute,bevy,,,,30867062.0,ns,29
heavy_compute,bevy,,,,31727010.0,ns,30
heavy_compute,bevy,,,,32956170.0,ns,31
heavy_compute,bevy,,,,34007392.0,ns,32
heavy_compute,bevy,,,,35198331.0,ns,33
heavy_compute,bevy,,,,36317494.0,ns,34
heavy_compute,bevy,,,,37125944.0,ns,35
heavy_compute,bevy,,,,38586910.0,ns,36
heavy_compute,bevy,,,,40437838.0,ns,37
heavy_compute,bevy,,,,41565726.0,ns,38
heavy_compute,bevy,,,,42689995.0,ns,39
heavy_compute,bevy,,,,43962124.0,ns,40
heavy_compute,bevy,,,,44885868.0,ns,41
heavy_compute,bevy,,,,46042479.0,ns,42
heavy_compute,bevy,,,,46973011.0,ns,43
heavy_compute,bevy,,,,48219908.0,ns,44
heavy_compute,bevy,,,,49393728.0,ns,45
heavy_compute,bevy,,,,50239627.0,ns,46
heavy_compute,bevy,,,,51505937.0,ns,47
heavy_compute,bevy,,,,52592935.0,ns,48
heavy_compute,bevy,,,,54470219.0,ns,49
heavy_compute,bevy,,,,57237179.0,ns,50
heavy_compute,bevy,,,,56818562.0,ns,51
heavy_compute,bevy,,,,57010454.0,ns,52
heavy_compute,bevy,,,,58011523.0,ns,53
heavy_compute,bevy,,,,59455896.0,ns,54
heavy_compute,bevy,,,,60526449.0,ns,55
heavy_compute,bevy,,,,61328791.0,ns,56
heavy_compute,bevy,,,,62341809.0,ns,57
heavy_compute,bevy,,,,63540620.0,ns,58
heavy_compute,bevy,,,,64665684.0,ns,59
heavy_compute,bevy,,,,65591855.0,ns,60
heavy_compute,bevy,,,,66761849.0,ns,61
heavy_compute,bevy,,,,68275144.0,ns,62
heavy_compute,bevy,,,,69274140.0,ns,63
heavy_compute,bevy,,,,70372781.0,ns,64
heavy_compute,bevy,,,,71517452.0,ns,65
heavy_compute,bevy,,,,72220634.0,ns,66
heavy_compute,bevy,,,,73594064.0,ns,67
heavy_compute,bevy,,,,76370892.0,ns,68
heavy_compute,bevy,,,,76441573.0,ns,69
heavy_compute,bevy,,,,78266698.0,ns,70
heavy_compute,bevy,,,,79761797.0,ns,71
heavy_compute,bevy,,,,80016893.0,ns,72
heavy_compute,bevy,,,,80318616.0,ns,73
heavy_compute,bevy,,,,81698835.0,ns,74
heavy_compute,bevy,,,,85376405.0,ns,75
heavy_compute,bevy,,,,86272073.0,ns,76
heavy_compute,bevy,,,,86901466.0,ns,77
heavy_compute,bevy,,,,88639065.0,ns,78
heavy_compute,bevy,,,,89502739.0,ns,79
heavy_compute,bevy,,,,91220246.0,ns,80
heavy_compute,bevy,,,,92529988.0,ns,81
heavy_compute,bevy,,,,97911876.0,ns,82
heavy_compute,bevy,,,,94578737.0,ns,83
heavy_compute,bevy,,,,95721366.0,ns,84
heavy_compute,bevy,,,,97100263.0,ns,85
heavy_compute,bevy,,,,98675227.0,ns,86
heavy_compute,bevy,,,,99200003.0,ns,87
heavy_compute,bevy,,,,100610326.0,ns,88
heavy_compute,bevy,,,,101105412.0,ns,89
heavy_compute,bevy,,,,102361413.0,ns,90
heavy_compute,bevy,,,,104813056.0,ns,91
heavy_compute,bevy,,,,105058137.0,ns,92
heavy_compute,bevy,,,,106161164.0,ns,93
heavy_compute,bevy,,,,107206055.0,ns,94
heavy_compute,bevy,,,,108726570.0,ns,95
heavy_compute,bevy,,,,109923376.0,ns,96
heavy_compute,bevy,,,,110281058.0,ns,97
heavy_compute,bevy,,,,115813411.0,ns,98
heavy_compute,bevy,,,,113216753.0,ns,99
heavy_compute,bevy,,,,114026186.0,ns,100
