group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1625657.0,ns,2
heavy_compute,legion (packed),,,,3020227.0,ns,4
heavy_compute,legion (packed),,,,4734656.0,ns,6
heavy_compute,legion (packed),,,,5692693.0,ns,8
heavy_compute,legion (packed),,,,7123474.0,ns,10
heavy_compute,legion (packed),,,,8971612.0,ns,12
heavy_compute,legion (packed),,,,10038068.0,ns,14
heavy_compute,legion (packed),,,,11379406.0,ns,16
heavy_compute,legion (packed),,,,12886298.0,ns,18
heavy_compute,legion (packed),,,,14587405.0,ns,20
heavy_compute,legion (packed),,,,15846366.0,ns,22
heavy_compute,legion (packed),,,,17314503.0,ns,24
heavy_compute,legion (packed),,,,18769958.0,ns,26
heavy_compute,legion (packed),,,,19865183.0,ns,28
heavy_compute,legion (packed),,,,21262453.0,ns,30
heavy_compute,legion (packed),,,,23008424.0,ns,32
heavy_compute,legion (packed),,,,24075799.0,ns,34
heavy_compute,legion (packed),,,,25641172.0,ns,36
heavy_compute,legion (packed),,,,27416796.0,ns,38
heavy_compute,legion (packed),,,,28788711.0,ns,40
heavy_compute,legion (packed),,,,30149131.0,ns,42
heavy_compute,legion (packed),,,,31203899.0,ns,44
heavy_compute,legion (packed),,,,32696972.0,ns,46
heavy_compute,legion (packed),,,,33950405.0,ns,48
heavy_compute,legion (packed),,,,35746829.0,ns,50
heavy_compute,legion (packed),,,,37153504.0,ns,52
heavy_compute,legion (packed),,,,38903057.0,ns,54
heavy_compute,legion (packed),,,,40259492.0,ns,56
heavy_compute,legion (packed),,,,41415613.0,ns,58
heavy_compute,legion (packed),,,,43007047.0,ns,60
heavy_compute,legion (packed),,,,44096448.0,ns,62
heavy_compute,legion (packed),,,,45454265.0,ns,64
heavy_compute,legion (packed),,,,46863638.0,ns,66
heavy_compute,legion (packed),,,,48797054.0,ns,68
heavy_compute,legion (packed),,,,49837439.0,ns,70
heavy_compute,legion (packed),,,,51130936.0,ns,72
heavy_compute,legion (packed),,,,53138116.0,ns,74
heavy_compute,legion (packed),,,,54723251.0,ns,76
heavy_compute,legion (packed),,,,56213467.0,ns,78
heavy_compute,legion (packed),,,,56769297.0,ns,80
heavy_compute,legion (packed),,,,58559296.0,ns,82
heavy_compute,legion (packed),,,,60776683.0,ns,84
heavy_compute,legion (packed),,,,60743994.0,ns,86
heavy_compute,legion (packed),,,,63038381.0,ns,88
heavy_compute,legion (packed),,,,64105869.0,ns,90
heavy_compute,legion (packed),,,,65417994.0,ns,92
heavy_compute,legion (packed),,,,66741861.0,ns,94
heavy_compute,legion (packed),,,,67831697.0,ns,96
heavy_compute,legion (packed),,,,69665331.0,ns,98
heavy_compute,legion (packed),,,,71138061.0,ns,100
heavy_compute,legion (packed),,,,72841602.0,ns,102
heavy_compute,legion (packed),,,,73974448.0,ns,104
heavy_compute,legion (packed),,,,75620039.0,ns,106
heavy_compute,legion (packed),,,,77238965.0,ns,108
heavy_compute,legion (packed),,,,78358065.0,ns,110
heavy_compute,legion (packed),,,,80041928.0,ns,112
heavy_compute,legion (packed),,,,80879329.0,ns,114
heavy_compute,legion (packed),,,,82738843.0,ns,116
heavy_compute,legion (packed),,,,83588699.0,ns,118
heavy_compute,legion (packed),,,,85511389.0,ns,120
heavy_compute,legion (packed),,,,86741378.0,ns,122
heavy_compute,legion (packed),,,,88240939.0,ns,124
heavy_compute,legion (packed),,,,89561237.0,ns,126
heavy_compute,legion (packed),,,,90823320.0,ns,128
heavy_compute,legion (packed),,,,91922580.0,ns,130
heavy_compute,legion (packed),,,,94854294.0,ns,132
heavy_compute,legion (packed),,,,95278996.0,ns,134
heavy_compute,legion (packed),,,,96915024.0,ns,136
heavy_compute,legion (packed),,,,98526500.0,ns,138
heavy_compute,legion (packed),,,,102354444.0,ns,140
heavy_compute,legion (packed),,,,100901000.0,ns,142
heavy_compute,legion (packed),,,,102366708.0,ns,144
heavy_compute,legion (packed),,,,103311909.0,ns,146
heavy_compute,legion (packed),,,,104539801.0,ns,148
heavy_compute,legion (packed),,,,107413874.0,ns,150
heavy_compute,legion (packed),,,,107405103.0,ns,152
heavy_compute,legion (packed),,,,108446878.0,ns,154
heavy_compute,legion (packed),,,,112172536.0,ns,156
heavy_compute,legion (packed),,,,112329563.0,ns,158
heavy_compute,legion (packed),,,,112994307.0,ns,160
heavy_compute,legion (packed),,,,115422486.0,ns,162
heavy_compute,legion (packed),,,,116648961.0,ns,164
heavy_compute,legion (packed),,,,117715753.0,ns,166
heavy_compute,legion (packed),,,,119691788.0,ns,168
heavy_compute,legion (packed),,,,120655162.0,ns,170
heavy_compute,legion (packed),,,,122826450.0,ns,172
heavy_compute,legion (packed),,,,123202360.0,ns,174
heavy_compute,legion (packed),,,,125515306.0,ns,176
heavy_compute,legion (packed),,,,126798314.0,ns,178
heavy_compute,legion (packed),,,,126772146.0,ns,180
heavy_compute,legion (packed),,,,129651543.0,ns,182
heavy_compute,legion (packed),,,,134776684.0,ns,184
heavy_compute,legion (packed),,,,134058655.0,ns,186
heavy_compute,legion (packed),,,,134101811.0,ns,188
heavy_compute,legion (packed),,,,134849125.0,ns,190
heavy_compute,legion (packed),,,,137278435.0,ns,192
heavy_compute,legion (packed),,,,137351978.0,ns,194
heavy_compute,legion (packed),,,,139153412.0,ns,196
heavy_compute,legion (packed),,,,141312303.0,ns,198
heavy_compute,legion (packed),,,,142686805.0,ns,200
