group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,1957301.0,ns,2
heavy_compute,legion,,,,3608565.0,ns,4
heavy_compute,legion,,,,5627247.0,ns,6
heavy_compute,legion,,,,6986843.0,ns,8
heavy_compute,legion,,,,9248516.0,ns,10
heavy_compute,legion,,,,10487584.0,ns,12
heavy_compute,legion,,,,12299790.0,ns,14
heavy_compute,legion,,,,14005031.0,ns,16
heavy_compute,legion,,,,15786517.0,ns,18
heavy_compute,legion,,,,17509876.0,ns,20
heavy_compute,legion,,,,19226721.0,ns,22
heavy_compute,legion,,,,21011200.0,ns,24
heavy_compute,legion,,,,22775494.0,ns,26
heavy_compute,legion,,,,24485746.0,ns,28
heavy_compute,legion,,,,26186836.0,ns,30
heavy_compute,legion,,,,28070303.0,ns,32
heavy_compute,legion,,,,29623514.0,ns,34
heavy_compute,legion,,,,31529122.0,ns,36
heavy_compute,legion,,,,33282738.0,ns,38
heavy_compute,legion,,,,34947840.0,ns,40
heavy_compute,legion,,,,36669024.0,ns,42
heavy_compute,legion,,,,38696655.0,ns,44
heavy_compute,legion,,,,40112808.0,ns,46
heavy_compute,legion,,,,41811219.0,ns,48
heavy_compute,legion,,,,43499253.0,ns,50
heavy_compute,legion,,,,45565859.0,ns,52
heavy_compute,legion,,,,47393418.0,ns,54
heavy_compute,legion,,,,49411831.0,ns,56
heavy_compute,legion,,,,56977366.0,ns,58
heavy_compute,legion,,,,57088839.0,ns,60
heavy_compute,legion,,,,54319778.0,ns,62
heavy_compute,legion,,,,55915143.0,ns,64
heavy_compute,legion,,,,57706935.0,ns,66
heavy_compute,legion,,,,59441962.0,ns,68
heavy_compute,legion,,,,61410242.0,ns,70
heavy_compute,legion,,,,63016469.0,ns,72
heavy_compute,legion,,,,64653063.0,ns,74
heavy_compute,legion,,,,67477622.0,ns,76
heavy_compute,legion,,,,68519818.0,ns,78
heavy_compute,legion,,,,69739980.0,ns,80
heavy_compute,legion,,,,71631524.0,ns,82
heavy_compute,legion,,,,73231784.0,ns,84
heavy_compute,legion,,,,75665099.0,ns,86
heavy_compute,legion,,,,77203073.0,ns,88
heavy_compute,legion,,,,78423745.0,ns,90
heavy_compute,legion,,,,80333980.0,ns,92
heavy_compute,legion,,,,82218632.0,ns,94
heavy_compute,legion,,,,84197605.0,ns,96
heavy_compute,legion,,,,86052456.0,ns,98
heavy_compute,legion,,,,87703149.0,ns,100
heavy_compute,legion,,,,89255685.0,ns,102
heavy_compute,legion,,,,90364640.0,ns,104
heavy_compute,legion,,,,92612845.0,ns,106
heavy_compute,legion,,,,102435354.0,ns,108
heavy_compute,legion,,,,91271801.0,ns,110
heavy_compute,legion,,,,91798041.0,ns,112
heavy_compute,legion,,,,92756046.0,ns,114
heavy_compute,legion,,,,94848356.0,ns,116
heavy_compute,legion,,,,95850217.0,ns,118
heavy_compute,legion,,,,97942238.0,ns,120
heavy_compute,legion,,,,99110833.0,ns,122
heavy_compute,legion,,,,100184597.0,ns,124
heavy_compute,legion,,,,102520086.0,ns,126
heavy_compute,legion,,,,103123558.0,ns,128
heavy_compute,legion,,,,106136343.0,ns,130
heavy_compute,legion,,,,105186965.0,ns,132
heavy_compute,legion,,,,106812008.0,ns,134
heavy_compute,legion,,,,109002807.0,ns,136
heavy_compute,legion,,,,109806735.0,ns,138
heavy_compute,legion,,,,111969450.0,ns,140
heavy_compute,legion,,,,109876628.0,ns,142
heavy_compute,legion,,,,110435546.0,ns,144
heavy_compute,legion,,,,111231473.0,ns,146
heavy_compute,legion,,,,113120686.0,ns,148
heavy_compute,legion,,,,115234200.0,ns,150
heavy_compute,legion,,,,115865000.0,ns,152
heavy_compute,legion,,,,119837033.0,ns,154
heavy_compute,legion,,,,119714131.0,ns,156
heavy_compute,legion,,,,120419716.0,ns,158
heavy_compute,legion,,,,118000943.0,ns,160
heavy_compute,legion,,,,120457345.0,ns,162
heavy_compute,legion,,,,120898908.0,ns,164
heavy_compute,legion,,,,122622000.0,ns,166
heavy_compute,legion,,,,124458032.0,ns,168
heavy_compute,legion,,,,124565973.0,ns,170
heavy_compute,legion,,,,126628514.0,ns,172
heavy_compute,legion,,,,128666547.0,ns,174
heavy_compute,legion,,,,130736377.0,ns,176
heavy_compute,legion,,,,132116806.0,ns,178
heavy_compute,legion,,,,131598443.0,ns,180
heavy_compute,legion,,,,129754459.0,ns,182
heavy_compute,legion,,,,130969018.0,ns,184
heavy_compute,legion,,,,132536344.0,ns,186
heavy_compute,legion,,,,134919171.0,ns,188
heavy_compute,legion,,,,134924767.0,ns,190
heavy_compute,legion,,,,137193158.0,ns,192
heavy_compute,legion,,,,139134281.0,ns,194
heavy_compute,legion,,,,139605715.0,ns,196
heavy_compute,legion,,,,142469010.0,ns,198
heavy_compute,legion,,,,142337728.0,ns,200
