group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1711413.0,ns,2
heavy_compute,shipyard,,,,2969583.0,ns,4
heavy_compute,shipyard,,,,4718227.0,ns,6
heavy_compute,shipyard,,,,5971398.0,ns,8
heavy_compute,shipyard,,,,7465372.0,ns,10
heavy_compute,shipyard,,,,8675727.0,ns,12
heavy_compute,shipyard,,,,11028821.0,ns,14
heavy_compute,shipyard,,,,11642091.0,ns,16
heavy_compute,shipyard,,,,12868454.0,ns,18
heavy_compute,shipyard,,,,14686384.0,ns,20
heavy_compute,shipyard,,,,16676360.0,ns,22
heavy_compute,shipyard,,,,17414947.0,ns,24
heavy_compute,shipyard,,,,19088215.0,ns,26
heavy_compute,shipyard,,,,21267328.0,ns,28
heavy_compute,shipyard,,,,21514949.0,ns,30
heavy_compute,shipyard,,,,23511138.0,ns,32
heavy_compute,shipyard,,,,24523457.0,ns,34
heavy_compute,shipyard,,,,26036013.0,ns,36
heavy_compute,shipyard,,,,27181993.0,ns,38
heavy_compute,shipyard,,,,29189872.0,ns,40
heavy_compute,shipyard,,,,30600436.0,ns,42
heavy_compute,shipyard,,,,31891148.0,ns,44
heavy_compute,shipyard,,,,33848079.0,ns,46
heavy_compute,shipyard,,,,35470175.0,ns,48
heavy_compute,shipyard,,,,35889559.0,ns,50
heavy_compute,shipyard,,,,37326042.0,ns,52
heavy_compute,shipyard,,,,40427248.0,ns,54
heavy_compute,shipyard,,,,40609898.0,ns,56
heavy_compute,shipyard,,,,41457240.0,ns,58
heavy_compute,shipyard,,,,43276170.0,ns,60
heavy_compute,shipyard,,,,45332973.0,ns,62
heavy_compute,shipyard,,,,47480773.0,ns,64
heavy_compute,shipyard,,,,48583585.0,ns,66
heavy_compute,shipyard,,,,49347936.0,ns,68
heavy_compute,shipyard,,,,50536417.0,ns,70
heavy_compute,shipyard,,,,52106468.0,ns,72
heavy_compute,shipyard,,,,54004456.0,ns,74
heavy_compute,shipyard,,,,56540981.0,ns,76
heavy_compute,shipyard,,,,57247712.0,ns,78
heavy_compute,shipyard,,,,58169654.0,ns,80
heavy_compute,shipyard,,,,59494866.0,ns,82
heavy_compute,shipyard,,,,60934848.0,ns,84
heavy_compute,shipyard,,,,62461373.0,ns,86
heavy_compute,shipyard,,,,64201199.0,ns,88
heavy_compute,shipyard,,,,64980878.0,ns,90
heavy_compute,shipyard,,,,67364790.0,ns,92
heavy_compute,shipyard,,,,68459330.0,ns,94
heavy_compute,shipyard,,,,69396751.0,ns,96
heavy_compute,shipyard,,,,71836046.0,ns,98
heavy_compute,shipyard,,,,71966975.0,ns,100
heavy_compute,shipyard,,,,74226537.0,ns,102
heavy_compute,shipyard,,,,75876272.0,ns,104
heavy_compute,shipyard,,,,77423368.0,ns,106
heavy_compute,shipyard,,,,78893214.0,ns,108
heavy_compute,shipyard,,,,80152936.0,ns,110
heavy_compute,shipyard,,,,80679537.0,ns,112
heavy_compute,shipyard,,,,85077509.0,ns,114
heavy_compute,shipyard,,,,87317785.0,ns,116
heavy_compute,shipyard,,,,89572119.0,ns,118
heavy_compute,shipyard,,,,90089572.0,ns,120
heavy_compute,shipyard,,,,91690869.0,ns,122
heavy_compute,shipyard,,,,93750821.0,ns,124
heavy_compute,shipyard,,,,95730548.0,ns,126
heavy_compute,shipyard,,,,95767722.0,ns,128
heavy_compute,shipyard,,,,98513937.0,ns,130
heavy_compute,shipyard,,,,99248344.0,ns,132
heavy_compute,shipyard,,,,100875760.0,ns,134
heavy_compute,shipyard,,,,102116350.0,ns,136
heavy_compute,shipyard,,,,103975498.0,ns,138
heavy_compute,shipyard,,,,105378077.0,ns,140
heavy_compute,shipyard,,,,107076741.0,ns,142
heavy_compute,shipyard,,,,108719356.0,ns,144
heavy_compute,shipyard,,,,109113198.0,ns,146
heavy_compute,shipyard,,,,111591057.0,ns,148
heavy_compute,shipyard,,,,112967119.0,ns,150
heavy_compute,shipyard,,,,114605147.0,ns,152
heavy_compute,shipyard,,,,115814293.0,ns,154
heavy_compute,shipyard,,,,117538665.0,ns,156
heavy_compute,shipyard,,,,118817677.0,ns,158
heavy_compute,shipyard,,,,120793290.0,ns,160
heavy_compute,shipyard,,,,121608642.0,ns,162
heavy_compute,shipyard,,,,124058127.0,ns,164
heavy_compute,shipyard,,,,124909113.0,ns,166
heavy_compute,shipyard,,,,126466891.0,ns,168
heavy_compute,shipyard,,,,128233553.0,ns,170
heavy_compute,shipyard,,,,129915427.0,ns,172
heavy_compute,shipyard,,,,132449969.0,ns,174
heavy_compute,shipyard,,,,132708196.0,ns,176
heavy_compute,shipyard,,,,134518147.0,ns,178
heavy_compute,shipyard,,,,135799767.0,ns,180
heavy_compute,shipyard,,,,135080144.0,ns,182
heavy_compute,shipyard,,,,134389735.0,ns,184
heavy_compute,shipyard,,,,135977819.0,ns,186
heavy_compute,shipyard,,,,138187695.0,ns,188
heavy_compute,shipyard,,,,137551845.0,ns,190
heavy_compute,shipyard,,,,139244643.0,ns,192
heavy_compute,shipyard,,,,140800677.0,ns,194
heavy_compute,shipyard,,,,141297943.0,ns,196
heavy_compute,shipyard,,,,142679992.0,ns,198
heavy_compute,shipyard,,,,144769792.0,ns,200
