group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1949872.0,ns,2
heavy_compute,specs,,,,3660679.0,ns,4
heavy_compute,specs,,,,5421045.0,ns,6
heavy_compute,specs,,,,6895367.0,ns,8
heavy_compute,specs,,,,8605136.0,ns,10
heavy_compute,specs,,,,10182244.0,ns,12
heavy_compute,specs,,,,12078552.0,ns,14
heavy_compute,specs,,,,14141675.0,ns,16
heavy_compute,specs,,,,15177669.0,ns,18
heavy_compute,specs,,,,17034184.0,ns,20
heavy_compute,specs,,,,19200124.0,ns,22
heavy_compute,specs,,,,20569866.0,ns,24
heavy_compute,specs,,,,22403975.0,ns,26
heavy_compute,specs,,,,23777883.0,ns,28
heavy_compute,specs,,,,25924030.0,ns,30
heavy_compute,specs,,,,27169960.0,ns,32
heavy_compute,specs,,,,29351277.0,ns,34
heavy_compute,specs,,,,30655361.0,ns,36
heavy_compute,specs,,,,32690230.0,ns,38
heavy_compute,specs,,,,34428269.0,ns,40
heavy_compute,specs,,,,36045267.0,ns,42
heavy_compute,specs,,,,37585610.0,ns,44
heavy_compute,specs,,,,39162853.0,ns,46
heavy_compute,specs,,,,40780926.0,ns,48
heavy_compute,specs,,,,43265476.0,ns,50
heavy_compute,specs,,,,44527983.0,ns,52
heavy_compute,specs,,,,46629999.0,ns,54
heavy_compute,specs,,,,47506280.0,ns,56
heavy_compute,specs,,,,49188115.0,ns,58
heavy_compute,specs,,,,51510555.0,ns,60
heavy_compute,specs,,,,52891770.0,ns,62
heavy_compute,specs,,,,54654570.0,ns,64
heavy_compute,specs,,,,56240822.0,ns,66
heavy_compute,specs,,,,58222778.0,ns,68
heavy_compute,specs,,,,59694258.0,ns,70
heavy_compute,specs,,,,62062253.0,ns,72
heavy_compute,specs,,,,63583293.0,ns,74
heavy_compute,specs,,,,64860506.0,ns,76
heavy_compute,specs,,,,67507388.0,ns,78
heavy_compute,specs,,,,69356697.0,ns,80
heavy_compute,specs,,,,70055481.0,ns,82
heavy_compute,specs,,,,72440970.0,ns,84
heavy_compute,specs,,,,73440823.0,ns,86
heavy_compute,specs,,,,76869152.0,ns,88
heavy_compute,specs,,,,76778453.0,ns,90
heavy_compute,specs,,,,79611642.0,ns,92
heavy_compute,specs,,,,80338716.0,ns,94
heavy_compute,specs,,,,82548969.0,ns,96
heavy_compute,specs,,,,84003152.0,ns,98
heavy_compute,specs,,,,88570783.0,ns,100
heavy_compute,specs,,,,90010395.0,ns,102
heavy_compute,specs,,,,91808690.0,ns,104
heavy_compute,specs,,,,93963974.0,ns,106
heavy_compute,specs,,,,95942715.0,ns,108
heavy_compute,specs,,,,97589361.0,ns,110
heavy_compute,specs,,,,99442016.0,ns,112
heavy_compute,specs,,,,100325449.0,ns,114
heavy_compute,specs,,,,102562311.0,ns,116
heavy_compute,specs,,,,104422023.0,ns,118
heavy_compute,specs,,,,106174349.0,ns,120
heavy_compute,specs,,,,107833532.0,ns,122
heavy_compute,specs,,,,110439242.0,ns,124
heavy_compute,specs,,,,111140049.0,ns,126
heavy_compute,specs,,,,112073833.0,ns,128
heavy_compute,specs,,,,115328705.0,ns,130
heavy_compute,specs,,,,117073216.0,ns,132
heavy_compute,specs,,,,117749124.0,ns,134
heavy_compute,specs,,,,120899365.0,ns,136
heavy_compute,specs,,,,121690150.0,ns,138
heavy_compute,specs,,,,127524622.0,ns,140
heavy_compute,specs,,,,129654141.0,ns,142
heavy_compute,specs,,,,132331555.0,ns,144
heavy_compute,specs,,,,133307485.0,ns,146
heavy_compute,specs,,,,135844604.0,ns,148
heavy_compute,specs,,,,136966140.0,ns,150
heavy_compute,specs,,,,138459951.0,ns,152
heavy_compute,specs,,,,140487274.0,ns,154
heavy_compute,specs,,,,142815147.0,ns,156
heavy_compute,specs,,,,145076989.0,ns,158
heavy_compute,specs,,,,146996445.0,ns,160
heavy_compute,specs,,,,147832182.0,ns,162
heavy_compute,specs,,,,149106925.0,ns,164
heavy_compute,specs,,,,151891742.0,ns,166
heavy_compute,specs,,,,153642605.0,ns,168
heavy_compute,specs,,,,155703459.0,ns,170
heavy_compute,specs,,,,158513829.0,ns,172
heavy_compute,specs,,,,159747300.0,ns,174
heavy_compute,specs,,,,162497969.0,ns,176
heavy_compute,specs,,,,162461174.0,ns,178
heavy_compute,specs,,,,165697551.0,ns,180
heavy_compute,specs,,,,166850529.0,ns,182
heavy_compute,specs,,,,169294696.0,ns,184
heavy_compute,specs,,,,170367418.0,ns,186
heavy_compute,specs,,,,172087884.0,ns,188
heavy_compute,specs,,,,174442565.0,ns,190
heavy_compute,specs,,,,175708905.0,ns,192
heavy_compute,specs,,,,173287720.0,ns,194
heavy_compute,specs,,,,172481861.0,ns,196
heavy_compute,specs,,,,176185777.0,ns,198
heavy_compute,specs,,,,177070979.0,ns,200
