group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1374892.0,ns,13
schedule,bevy,,,,2155500.0,ns,26
schedule,bevy,,,,3565225.0,ns,39
schedule,bevy,,,,4624027.0,ns,52
schedule,bevy,,,,5370788.0,ns,65
schedule,bevy,,,,6717833.0,ns,78
schedule,bevy,,,,7272071.0,ns,91
schedule,bevy,,,,8091064.0,ns,104
schedule,bevy,,,,9483750.0,ns,117
schedule,bevy,,,,10388733.0,ns,130
schedule,bevy,,,,11426353.0,ns,143
schedule,bevy,,,,12392376.0,ns,156
schedule,bevy,,,,13243019.0,ns,169
schedule,bevy,,,,15074562.0,ns,182
schedule,bevy,,,,15440387.0,ns,195
schedule,bevy,,,,16466150.0,ns,208
schedule,bevy,,,,17072122.0,ns,221
schedule,bevy,,,,18615624.0,ns,234
schedule,bevy,,,,19154892.0,ns,247
schedule,bevy,,,,20732054.0,ns,260
schedule,bevy,,,,21470559.0,ns,273
schedule,bevy,,,,23157688.0,ns,286
schedule,bevy,,,,23874453.0,ns,299
schedule,bevy,,,,24300982.0,ns,312
schedule,bevy,,,,24796372.0,ns,325
schedule,bevy,,,,26226501.0,ns,338
schedule,bevy,,,,28454017.0,ns,351
schedule,bevy,,,,28091308.0,ns,364
schedule,bevy,,,,29067950.0,ns,377
schedule,bevy,,,,31512071.0,ns,390
schedule,bevy,,,,32610242.0,ns,403
schedule,bevy,,,,31877171.0,ns,416
schedule,bevy,,,,32495027.0,ns,429
schedule,bevy,,,,35378236.0,ns,442
schedule,bevy,,,,35303428.0,ns,455
schedule,bevy,,,,38299522.0,ns,468
schedule,bevy,,,,37075578.0,ns,481
schedule,bevy,,,,39795739.0,ns,494
schedule,bevy,,,,38628162.0,ns,507
schedule,bevy,,,,39766023.0,ns,520
schedule,bevy,,,,43023606.0,ns,533
schedule,bevy,,,,41687506.0,ns,546
schedule,bevy,,,,42897862.0,ns,559
schedule,bevy,,,,44057172.0,ns,572
schedule,bevy,,,,45341850.0,ns,585
schedule,bevy,,,,46422599.0,ns,598
schedule,bevy,,,,47276879.0,ns,611
schedule,bevy,,,,47709242.0,ns,624
schedule,bevy,,,,48851299.0,ns,637
schedule,bevy,,,,54094482.0,ns,650
schedule,bevy,,,,51716309.0,ns,663
schedule,bevy,,,,53062992.0,ns,676
schedule,bevy,,,,52770817.0,ns,689
schedule,bevy,,,,55614648.0,ns,702
schedule,bevy,,,,53659668.0,ns,715
schedule,bevy,,,,55728283.0,ns,728
schedule,bevy,,,,59287391.0,ns,741
schedule,bevy,,,,56796790.0,ns,754
schedule,bevy,,,,58755520.0,ns,767
schedule,bevy,,,,59169519.0,ns,780
schedule,bevy,,,,60316436.0,ns,793
schedule,bevy,,,,62201212.0,ns,806
schedule,bevy,,,,62166973.0,ns,819
schedule,bevy,,,,67366267.0,ns,832
schedule,bevy,,,,67353749.0,ns,845
schedule,bevy,,,,68327351.0,ns,858
schedule,bevy,,,,66382642.0,ns,871
schedule,bevy,,,,67150203.0,ns,884
schedule,bevy,,,,68992328.0,ns,897
schedule,bevy,,,,69976013.0,ns,910
schedule,bevy,,,,70696810.0,ns,923
schedule,bevy,,,,71115326.0,ns,936
schedule,bevy,,,,73822305.0,ns,949
schedule,bevy,,,,72694087.0,ns,962
schedule,bevy,,,,74891770.0,ns,975
schedule,bevy,,,,75628493.0,ns,988
schedule,bevy,,,,75133092.0,ns,1001
schedule,bevy,,,,77255525.0,ns,1014
schedule,bevy,,,,78261779.0,ns,1027
schedule,bevy,,,,82852007.0,ns,1040
schedule,bevy,,,,80733141.0,ns,1053
schedule,bevy,,,,80611261.0,ns,1066
schedule,bevy,,,,86490653.0,ns,1079
schedule,bevy,,,,84009895.0,ns,1092
schedule,bevy,,,,84229902.0,ns,1105
schedule,bevy,,,,89598607.0,ns,1118
schedule,bevy,,,,84825229.0,ns,1131
schedule,bevy,,,,86431491.0,ns,1144
schedule,bevy,,,,88479413.0,ns,1157
schedule,bevy,,,,89056020.0,ns,1170
schedule,bevy,,,,94785347.0,ns,1183
schedule,bevy,,,,96083197.0,ns,1196
schedule,bevy,,,,96816720.0,ns,1209
schedule,bevy,,,,93134000.0,ns,1222
schedule,bevy,,,,95443000.0,ns,1235
schedule,bevy,,,,95788429.0,ns,1248
schedule,bevy,,,,100907182.0,ns,1261
schedule,bevy,,,,96247772.0,ns,1274
schedule,bevy,,,,103969819.0,ns,1287
schedule,bevy,,,,103902080.0,ns,1300
