group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,956030.0,ns,14
schedule,legion (packed),,,,2281331.0,ns,28
schedule,legion (packed),,,,2999960.0,ns,42
schedule,legion (packed),,,,3483703.0,ns,56
schedule,legion (packed),,,,4868772.0,ns,70
schedule,legion (packed),,,,6418318.0,ns,84
schedule,legion (packed),,,,6968173.0,ns,98
schedule,legion (packed),,,,8068561.0,ns,112
schedule,legion (packed),,,,9170495.0,ns,126
schedule,legion (packed),,,,10004201.0,ns,140
schedule,legion (packed),,,,11819953.0,ns,154
schedule,legion (packed),,,,12586067.0,ns,168
schedule,legion (packed),,,,13696248.0,ns,182
schedule,legion (packed),,,,15035048.0,ns,196
schedule,legion (packed),,,,15583875.0,ns,210
schedule,legion (packed),,,,16374521.0,ns,224
schedule,legion (packed),,,,17845232.0,ns,238
schedule,legion (packed),,,,19718170.0,ns,252
schedule,legion (packed),,,,20263497.0,ns,266
schedule,legion (packed),,,,19398166.0,ns,280
schedule,legion (packed),,,,22070766.0,ns,294
schedule,legion (packed),,,,22883438.0,ns,308
schedule,legion (packed),,,,22898344.0,ns,322
schedule,legion (packed),,,,24745793.0,ns,336
schedule,legion (packed),,,,26102893.0,ns,350
schedule,legion (packed),,,,26791454.0,ns,364
schedule,legion (packed),,,,27909594.0,ns,378
schedule,legion (packed),,,,29190412.0,ns,392
schedule,legion (packed),,,,30158884.0,ns,406
schedule,legion (packed),,,,31833601.0,ns,420
schedule,legion (packed),,,,31808326.0,ns,434
schedule,legion (packed),,,,33794044.0,ns,448
schedule,legion (packed),,,,34192138.0,ns,462
schedule,legion (packed),,,,36467726.0,ns,476
schedule,legion (packed),,,,37665931.0,ns,490
schedule,legion (packed),,,,38236727.0,ns,504
schedule,legion (packed),,,,38092002.0,ns,518
schedule,legion (packed),,,,40047327.0,ns,532
schedule,legion (packed),,,,40055760.0,ns,546
schedule,legion (packed),,,,42630932.0,ns,560
schedule,legion (packed),,,,43161610.0,ns,574
schedule,legion (packed),,,,43185696.0,ns,588
schedule,legion (packed),,,,44103782.0,ns,602
schedule,legion (packed),,,,45360687.0,ns,616
schedule,legion (packed),,,,46899889.0,ns,630
schedule,legion (packed),,,,46720378.0,ns,644
schedule,legion (packed),,,,48614052.0,ns,658
schedule,legion (packed),,,,49430074.0,ns,672
schedule,legion (packed),,,,52013879.0,ns,686
schedule,legion (packed),,,,52544100.0,ns,700
schedule,legion (packed),,,,53553420.0,ns,714
schedule,legion (packed),,,,53916013.0,ns,728
schedule,legion (packed),,,,55292621.0,ns,742
schedule,legion (packed),,,,55435371.0,ns,756
schedule,legion (packed),,,,57004052.0,ns,770
schedule,legion (packed),,,,57262572.0,ns,784
schedule,legion (packed),,,,58675086.0,ns,798
schedule,legion (packed),,,,59083883.0,ns,812
schedule,legion (packed),,,,59202964.0,ns,826
schedule,legion (packed),,,,60304375.0,ns,840
schedule,legion (packed),,,,60446052.0,ns,854
schedule,legion (packed),,,,62676255.0,ns,868
schedule,legion (packed),,,,62724571.0,ns,882
schedule,legion (packed),,,,63872647.0,ns,896
schedule,legion (packed),,,,66365184.0,ns,910
schedule,legion (packed),,,,67181789.0,ns,924
schedule,legion (packed),,,,67556726.0,ns,938
schedule,legion (packed),,,,67939966.0,ns,952
schedule,legion (packed),,,,68314047.0,ns,966
schedule,legion (packed),,,,70601108.0,ns,980
schedule,legion (packed),,,,71875078.0,ns,994
schedule,legion (packed),,,,73611696.0,ns,1008
schedule,legion (packed),,,,74105062.0,ns,1022
schedule,legion (packed),,,,74198402.0,ns,1036
schedule,legion (packed),,,,76283125.0,ns,1050
schedule,legion (packed),,,,76235087.0,ns,1064
schedule,legion (packed),,,,77247281.0,ns,1078
schedule,legion (packed),,,,78452507.0,ns,1092
schedule,legion (packed),,,,79205403.0,ns,1106
schedule,legion (packed),,,,82437178.0,ns,1120
schedule,legion (packed),,,,81759380.0,ns,1134
schedule,legion (packed),,,,81222875.0,ns,1148
schedule,legion (packed),,,,85270700.0,ns,1162
schedule,legion (packed),,,,85294171.0,ns,1176
schedule,legion (packed),,,,84140768.0,ns,1190
schedule,legion (packed),,,,86562799.0,ns,1204
schedule,legion (packed),,,,87459943.0,ns,1218
schedule,legion (packed),,,,85521060.0,ns,1232
schedule,legion (packed),,,,87194610.0,ns,1246
schedule,legion (packed),,,,90926591.0,ns,1260
schedule,legion (packed),,,,91672680.0,ns,1274
schedule,legion (packed),,,,93555440.0,ns,1288
schedule,legion (packed),,,,93725378.0,ns,1302
schedule,legion (packed),,,,92232158.0,ns,1316
schedule,legion (packed),,,,95903140.0,ns,1330
schedule,legion (packed),,,,96740547.0,ns,1344
schedule,legion (packed),,,,97654590.0,ns,1358
schedule,legion (packed),,,,97231465.0,ns,1372
schedule,legion (packed),,,,99664863.0,ns,1386
schedule,legion (packed),,,,101589523.0,ns,1400
