group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1263092.0,ns,14
schedule,legion,,,,2676220.0,ns,28
schedule,legion,,,,3676547.0,ns,42
schedule,legion,,,,4430189.0,ns,56
schedule,legion,,,,6191839.0,ns,70
schedule,legion,,,,7220323.0,ns,84
schedule,legion,,,,8895020.0,ns,98
schedule,legion,,,,10060577.0,ns,112
schedule,legion,,,,11336064.0,ns,126
schedule,legion,,,,12436282.0,ns,140
schedule,legion,,,,13890279.0,ns,154
schedule,legion,,,,14870898.0,ns,168
schedule,legion,,,,15936707.0,ns,182
schedule,legion,,,,17967225.0,ns,196
schedule,legion,,,,18483290.0,ns,210
schedule,legion,,,,19763936.0,ns,224
schedule,legion,,,,21868358.0,ns,238
schedule,legion,,,,22209024.0,ns,252
schedule,legion,,,,22772898.0,ns,266
schedule,legion,,,,24846439.0,ns,280
schedule,legion,,,,25454854.0,ns,294
schedule,legion,,,,28279823.0,ns,308
schedule,legion,,,,29368771.0,ns,322
schedule,legion,,,,29193224.0,ns,336
schedule,legion,,,,31235618.0,ns,350
schedule,legion,,,,31706862.0,ns,364
schedule,legion,,,,33493361.0,ns,378
schedule,legion,,,,34187778.0,ns,392
schedule,legion,,,,36380915.0,ns,406
schedule,legion,,,,37872570.0,ns,420
schedule,legion,,,,38653245.0,ns,434
schedule,legion,,,,40946225.0,ns,448
schedule,legion,,,,41605588.0,ns,462
schedule,legion,,,,42659126.0,ns,476
schedule,legion,,,,43456055.0,ns,490
schedule,legion,,,,43824498.0,ns,504
schedule,legion,,,,46226327.0,ns,518
schedule,legion,,,,47014201.0,ns,532
schedule,legion,,,,48461108.0,ns,546
schedule,legion,,,,49824021.0,ns,560
schedule,legion,,,,50643056.0,ns,574
schedule,legion,,,,52531955.0,ns,588
schedule,legion,,,,53816620.0,ns,602
schedule,legion,,,,54087729.0,ns,616
schedule,legion,,,,55772064.0,ns,630
schedule,legion,,,,56618699.0,ns,644
schedule,legion,,,,57351808.0,ns,658
schedule,legion,,,,57072578.0,ns,672
schedule,legion,,,,58664196.0,ns,686
schedule,legion,,,,58529444.0,ns,700
schedule,legion,,,,63859624.0,ns,714
schedule,legion,,,,62592628.0,ns,728
schedule,legion,,,,61385002.0,ns,742
schedule,legion,,,,65662972.0,ns,756
schedule,legion,,,,66208482.0,ns,770
schedule,legion,,,,67027421.0,ns,784
schedule,legion,,,,69082963.0,ns,798
schedule,legion,,,,71608426.0,ns,812
schedule,legion,,,,71324313.0,ns,826
schedule,legion,,,,69587205.0,ns,840
schedule,legion,,,,69528328.0,ns,854
schedule,legion,,,,69216642.0,ns,868
schedule,legion,,,,70258455.0,ns,882
schedule,legion,,,,72153587.0,ns,896
schedule,legion,,,,72664496.0,ns,910
schedule,legion,,,,73002338.0,ns,924
schedule,legion,,,,75420396.0,ns,938
schedule,legion,,,,75666143.0,ns,952
schedule,legion,,,,77427569.0,ns,966
schedule,legion,,,,79078437.0,ns,980
schedule,legion,,,,80354572.0,ns,994
schedule,legion,,,,80707591.0,ns,1008
schedule,legion,,,,81938920.0,ns,1022
schedule,legion,,,,78871966.0,ns,1036
schedule,legion,,,,80262875.0,ns,1050
schedule,legion,,,,82390337.0,ns,1064
schedule,legion,,,,82768283.0,ns,1078
schedule,legion,,,,81402906.0,ns,1092
schedule,legion,,,,86196497.0,ns,1106
schedule,legion,,,,85220478.0,ns,1120
schedule,legion,,,,87314406.0,ns,1134
schedule,legion,,,,88467887.0,ns,1148
schedule,legion,,,,88515218.0,ns,1162
schedule,legion,,,,91315394.0,ns,1176
schedule,legion,,,,89192693.0,ns,1190
schedule,legion,,,,89825911.0,ns,1204
schedule,legion,,,,91606905.0,ns,1218
schedule,legion,,,,93397644.0,ns,1232
schedule,legion,,,,92734775.0,ns,1246
schedule,legion,,,,94504738.0,ns,1260
schedule,legion,,,,96486349.0,ns,1274
schedule,legion,,,,95882663.0,ns,1288
schedule,legion,,,,97632380.0,ns,1302
schedule,legion,,,,98859367.0,ns,1316
schedule,legion,,,,99329472.0,ns,1330
schedule,legion,,,,99754049.0,ns,1344
schedule,legion,,,,100306206.0,ns,1358
schedule,legion,,,,102921837.0,ns,1372
schedule,legion,,,,101579285.0,ns,1386
schedule,legion,,,,102585515.0,ns,1400
