group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1228886.0,ns,4
schedule,planck_ecs,,,,2686154.0,ns,8
schedule,planck_ecs,,,,4014109.0,ns,12
schedule,planck_ecs,,,,5426233.0,ns,16
schedule,planck_ecs,,,,6736557.0,ns,20
schedule,planck_ecs,,,,8106351.0,ns,24
schedule,planck_ecs,,,,9500082.0,ns,28
schedule,planck_ecs,,,,10565938.0,ns,32
schedule,planck_ecs,,,,11855456.0,ns,36
schedule,planck_ecs,,,,13131962.0,ns,40
schedule,planck_ecs,,,,14285474.0,ns,44
schedule,planck_ecs,,,,15627713.0,ns,48
schedule,planck_ecs,,,,17073428.0,ns,52
schedule,planck_ecs,,,,18106614.0,ns,56
schedule,planck_ecs,,,,19818208.0,ns,60
schedule,planck_ecs,,,,20327418.0,ns,64
schedule,planck_ecs,,,,20603177.0,ns,68
schedule,planck_ecs,,,,22046698.0,ns,72
schedule,planck_ecs,,,,23500129.0,ns,76
schedule,planck_ecs,,,,24185678.0,ns,80
schedule,planck_ecs,,,,25447125.0,ns,84
schedule,planck_ecs,,,,26713816.0,ns,88
schedule,planck_ecs,,,,28318731.0,ns,92
schedule,planck_ecs,,,,29167470.0,ns,96
schedule,planck_ecs,,,,31973145.0,ns,100
schedule,planck_ecs,,,,31595558.0,ns,104
schedule,planck_ecs,,,,32323866.0,ns,108
schedule,planck_ecs,,,,33958214.0,ns,112
schedule,planck_ecs,,,,36272452.0,ns,116
schedule,planck_ecs,,,,38117249.0,ns,120
schedule,planck_ecs,,,,38010262.0,ns,124
schedule,planck_ecs,,,,40258214.0,ns,128
schedule,planck_ecs,,,,39741078.0,ns,132
schedule,planck_ecs,,,,42265358.0,ns,136
schedule,planck_ecs,,,,42471979.0,ns,140
schedule,planck_ecs,,,,43580905.0,ns,144
schedule,planck_ecs,,,,46859159.0,ns,148
schedule,planck_ecs,,,,45780381.0,ns,152
schedule,planck_ecs,,,,46634095.0,ns,156
schedule,planck_ecs,,,,49326516.0,ns,160
schedule,planck_ecs,,,,51664261.0,ns,164
schedule,planck_ecs,,,,50574081.0,ns,168
schedule,planck_ecs,,,,54324473.0,ns,172
schedule,planck_ecs,,,,54484913.0,ns,176
schedule,planck_ecs,,,,54567286.0,ns,180
schedule,planck_ecs,,,,54934612.0,ns,184
schedule,planck_ecs,,,,56580446.0,ns,188
schedule,planck_ecs,,,,59286429.0,ns,192
schedule,planck_ecs,,,,61273383.0,ns,196
schedule,planck_ecs,,,,61859942.0,ns,200
schedule,planck_ecs,,,,61983548.0,ns,204
schedule,planck_ecs,,,,63859584.0,ns,208
schedule,planck_ecs,,,,68062510.0,ns,212
schedule,planck_ecs,,,,69953277.0,ns,216
schedule,planck_ecs,,,,66385635.0,ns,220
schedule,planck_ecs,,,,71176886.0,ns,224
schedule,planck_ecs,,,,68074612.0,ns,228
schedule,planck_ecs,,,,71669854.0,ns,232
schedule,planck_ecs,,,,70626577.0,ns,236
schedule,planck_ecs,,,,71853661.0,ns,240
schedule,planck_ecs,,,,74625722.0,ns,244
schedule,planck_ecs,,,,76123211.0,ns,248
schedule,planck_ecs,,,,76261074.0,ns,252
schedule,planck_ecs,,,,76958121.0,ns,256
schedule,planck_ecs,,,,82742578.0,ns,260
schedule,planck_ecs,,,,82382162.0,ns,264
schedule,planck_ecs,,,,85514116.0,ns,268
schedule,planck_ecs,,,,83660394.0,ns,272
schedule,planck_ecs,,,,81987818.0,ns,276
schedule,planck_ecs,,,,88583203.0,ns,280
schedule,planck_ecs,,,,85008857.0,ns,284
schedule,planck_ecs,,,,89403911.0,ns,288
schedule,planck_ecs,,,,90981259.0,ns,292
schedule,planck_ecs,,,,90513648.0,ns,296
schedule,planck_ecs,,,,93003967.0,ns,300
schedule,planck_ecs,,,,92829125.0,ns,304
schedule,planck_ecs,,,,96793589.0,ns,308
schedule,planck_ecs,,,,97056360.0,ns,312
schedule,planck_ecs,,,,95034543.0,ns,316
schedule,planck_ecs,,,,95668407.0,ns,320
schedule,planck_ecs,,,,100042336.0,ns,324
schedule,planck_ecs,,,,116098879.0,ns,328
schedule,planck_ecs,,,,103976783.0,ns,332
schedule,planck_ecs,,,,103542745.0,ns,336
schedule,planck_ecs,,,,102381238.0,ns,340
schedule,planck_ecs,,,,110430271.0,ns,344
schedule,planck_ecs,,,,109021454.0,ns,348
schedule,planck_ecs,,,,108067779.0,ns,352
schedule,planck_ecs,,,,108683278.0,ns,356
schedule,planck_ecs,,,,109282727.0,ns,360
schedule,planck_ecs,,,,111298599.0,ns,364
schedule,planck_ecs,,,,119721946.0,ns,368
schedule,planck_ecs,,,,116888406.0,ns,372
schedule,planck_ecs,,,,114687402.0,ns,376
schedule,planck_ecs,,,,114874625.0,ns,380
schedule,planck_ecs,,,,120749300.0,ns,384
schedule,planck_ecs,,,,121442560.0,ns,388
schedule,planck_ecs,,,,119814771.0,ns,392
schedule,planck_ecs,,,,118144013.0,ns,396
schedule,planck_ecs,,,,121220600.0,ns,400
