group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1014978.0,ns,8
serialize_binary,hecs,,,,2395139.0,ns,16
serialize_binary,hecs,,,,3786916.0,ns,24
serialize_binary,hecs,,,,3969698.0,ns,32
serialize_binary,hecs,,,,4959530.0,ns,40
serialize_binary,hecs,,,,6129502.0,ns,48
serialize_binary,hecs,,,,7750093.0,ns,56
serialize_binary,hecs,,,,8007690.0,ns,64
serialize_binary,hecs,,,,9034062.0,ns,72
serialize_binary,hecs,,,,9903267.0,ns,80
serialize_binary,hecs,,,,10891993.0,ns,88
serialize_binary,hecs,,,,11878329.0,ns,96
serialize_binary,hecs,,,,14213644.0,ns,104
serialize_binary,hecs,,,,14478004.0,ns,112
serialize_binary,hecs,,,,15307028.0,ns,120
serialize_binary,hecs,,,,16339048.0,ns,128
serialize_binary,hecs,,,,17309274.0,ns,136
serialize_binary,hecs,,,,18286042.0,ns,144
serialize_binary,hecs,,,,19300242.0,ns,152
serialize_binary,hecs,,,,20058508.0,ns,160
serialize_binary,hecs,,,,20827456.0,ns,168
serialize_binary,hecs,,,,21958005.0,ns,176
serialize_binary,hecs,,,,22810737.0,ns,184
serialize_binary,hecs,,,,23851042.0,ns,192
serialize_binary,hecs,,,,24788436.0,ns,200
serialize_binary,hecs,,,,25851018.0,ns,208
serialize_binary,hecs,,,,26887622.0,ns,216
serialize_binary,hecs,,,,27912428.0,ns,224
serialize_binary,hecs,,,,28931076.0,ns,232
serialize_binary,hecs,,,,29891010.0,ns,240
serialize_binary,hecs,,,,30851792.0,ns,248
serialize_binary,hecs,,,,31894355.0,ns,256
serialize_binary,hecs,,,,32957726.0,ns,264
serialize_binary,hecs,,,,34208564.0,ns,272
serialize_binary,hecs,,,,34956800.0,ns,280
serialize_binary,hecs,,,,35983531.0,ns,288
serialize_binary,hecs,,,,36959726.0,ns,296
serialize_binary,hecs,,,,38134625.0,ns,304
serialize_binary,hecs,,,,38934828.0,ns,312
serialize_binary,hecs,,,,39982764.0,ns,320
serialize_binary,hecs,,,,41023228.0,ns,328
serialize_binary,hecs,,,,42106712.0,ns,336
serialize_binary,hecs,,,,42871047.0,ns,344
serialize_binary,hecs,,,,43885935.0,ns,352
serialize_binary,hecs,,,,45604526.0,ns,360
serialize_binary,hecs,,,,46382516.0,ns,368
serialize_binary,hecs,,,,50059311.0,ns,376
serialize_binary,hecs,,,,51213062.0,ns,384
serialize_binary,hecs,,,,52633581.0,ns,392
serialize_binary,hecs,,,,54359232.0,ns,400
serialize_binary,hecs,,,,68030847.0,ns,408
serialize_binary,hecs,,,,55726354.0,ns,416
serialize_binary,hecs,,,,53840327.0,ns,424
serialize_binary,hecs,,,,54704690.0,ns,432
serialize_binary,hecs,,,,54594060.0,ns,440
serialize_binary,hecs,,,,56233729.0,ns,448
serialize_binary,hecs,,,,57084594.0,ns,456
serialize_binary,hecs,,,,57851980.0,ns,464
serialize_binary,hecs,,,,58849296.0,ns,472
serialize_binary,hecs,,,,60390760.0,ns,480
serialize_binary,hecs,,,,60322413.0,ns,488
serialize_binary,hecs,,,,61893540.0,ns,496
serialize_binary,hecs,,,,62447085.0,ns,504
serialize_binary,hecs,,,,64540098.0,ns,512
serialize_binary,hecs,,,,64839547.0,ns,520
serialize_binary,hecs,,,,65412498.0,ns,528
serialize_binary,hecs,,,,66932269.0,ns,536
serialize_binary,hecs,,,,70233647.0,ns,544
serialize_binary,hecs,,,,73795720.0,ns,552
serialize_binary,hecs,,,,74949066.0,ns,560
serialize_binary,hecs,,,,74077148.0,ns,568
serialize_binary,hecs,,,,71846548.0,ns,576
serialize_binary,hecs,,,,73966182.0,ns,584
serialize_binary,hecs,,,,74969097.0,ns,592
serialize_binary,hecs,,,,75853367.0,ns,600
serialize_binary,hecs,,,,79932764.0,ns,608
serialize_binary,hecs,,,,78526038.0,ns,616
serialize_binary,hecs,,,,80061672.0,ns,624
serialize_binary,hecs,,,,79639453.0,ns,632
serialize_binary,hecs,,,,79514979.0,ns,640
serialize_binary,hecs,,,,82803383.0,ns,648
serialize_binary,hecs,,,,82638678.0,ns,656
serialize_binary,hecs,,,,84415836.0,ns,664
serialize_binary,hecs,,,,85717799.0,ns,672
serialize_binary,hecs,,,,86308821.0,ns,680
serialize_binary,hecs,,,,87491184.0,ns,688
serialize_binary,hecs,,,,88619864.0,ns,696
serialize_binary,hecs,,,,89567602.0,ns,704
serialize_binary,hecs,,,,90899009.0,ns,712
serialize_binary,hecs,,,,90056243.0,ns,720
serialize_binary,hecs,,,,91824688.0,ns,728
serialize_binary,hecs,,,,93094003.0,ns,736
serialize_binary,hecs,,,,94306486.0,ns,744
serialize_binary,hecs,,,,95226774.0,ns,752
serialize_binary,hecs,,,,96551379.0,ns,760
serialize_binary,hecs,,,,97192619.0,ns,768
serialize_binary,hecs,,,,100284624.0,ns,776
serialize_binary,hecs,,,,101479648.0,ns,784
serialize_binary,hecs,,,,102949930.0,ns,792
serialize_binary,hecs,,,,103057804.0,ns,800
