group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,55821115.0,ns,24
serialize_binary,legion,,,,53410319.0,ns,24
serialize_binary,legion,,,,54226831.0,ns,24
serialize_binary,legion,,,,53071844.0,ns,24
serialize_binary,legion,,,,51062058.0,ns,24
serialize_binary,legion,,,,50677685.0,ns,24
serialize_binary,legion,,,,50713769.0,ns,24
serialize_binary,legion,,,,51414608.0,ns,24
serialize_binary,legion,,,,52476121.0,ns,24
serialize_binary,legion,,,,51155427.0,ns,24
serialize_binary,legion,,,,50392574.0,ns,24
serialize_binary,legion,,,,51477762.0,ns,24
serialize_binary,legion,,,,51708406.0,ns,24
serialize_binary,legion,,,,51758680.0,ns,24
serialize_binary,legion,,,,51992101.0,ns,24
serialize_binary,legion,,,,53016497.0,ns,24
serialize_binary,legion,,,,52095264.0,ns,24
serialize_binary,legion,,,,52246917.0,ns,24
serialize_binary,legion,,,,54678631.0,ns,24
serialize_binary,legion,,,,50796980.0,ns,24
serialize_binary,legion,,,,51323381.0,ns,24
serialize_binary,legion,,,,53611439.0,ns,24
serialize_binary,legion,,,,52418294.0,ns,24
serialize_binary,legion,,,,50386908.0,ns,24
serialize_binary,legion,,,,53591326.0,ns,24
serialize_binary,legion,,,,52260757.0,ns,24
serialize_binary,legion,,,,51470667.0,ns,24
serialize_binary,legion,,,,50853084.0,ns,24
serialize_binary,legion,,,,50762715.0,ns,24
serialize_binary,legion,,,,50400371.0,ns,24
serialize_binary,legion,,,,50461923.0,ns,24
serialize_binary,legion,,,,50649483.0,ns,24
serialize_binary,legion,,,,50564304.0,ns,24
serialize_binary,legion,,,,49824074.0,ns,24
serialize_binary,legion,,,,49799717.0,ns,24
serialize_binary,legion,,,,51204825.0,ns,24
serialize_binary,legion,,,,51461740.0,ns,24
serialize_binary,legion,,,,51078855.0,ns,24
serialize_binary,legion,,,,46956411.0,ns,24
serialize_binary,legion,,,,48006440.0,ns,24
serialize_binary,legion,,,,48179600.0,ns,24
serialize_binary,legion,,,,48333885.0,ns,24
serialize_binary,legion,,,,48240219.0,ns,24
serialize_binary,legion,,,,48396258.0,ns,24
serialize_binary,legion,,,,48305252.0,ns,24
serialize_binary,legion,,,,48110911.0,ns,24
serialize_binary,legion,,,,48600799.0,ns,24
serialize_binary,legion,,,,48431383.0,ns,24
serialize_binary,legion,,,,48368208.0,ns,24
serialize_binary,legion,,,,48315894.0,ns,24
serialize_binary,legion,,,,48182181.0,ns,24
serialize_binary,legion,,,,48672681.0,ns,24
serialize_binary,legion,,,,48112510.0,ns,24
serialize_binary,legion,,,,48544793.0,ns,24
serialize_binary,legion,,,,48205541.0,ns,24
serialize_binary,legion,,,,48343544.0,ns,24
serialize_binary,legion,,,,48950488.0,ns,24
serialize_binary,legion,,,,48008218.0,ns,24
serialize_binary,legion,,,,48520455.0,ns,24
serialize_binary,legion,,,,46919645.0,ns,24
serialize_binary,legion,,,,47266268.0,ns,24
serialize_binary,legion,,,,47613463.0,ns,24
serialize_binary,legion,,,,47591036.0,ns,24
serialize_binary,legion,,,,47743453.0,ns,24
serialize_binary,legion,,,,47740989.0,ns,24
serialize_binary,legion,,,,47732116.0,ns,24
serialize_binary,legion,,,,47978869.0,ns,24
serialize_binary,legion,,,,48757005.0,ns,24
serialize_binary,legion,,,,50042373.0,ns,24
serialize_binary,legion,,,,47299193.0,ns,24
serialize_binary,legion,,,,48031510.0,ns,24
serialize_binary,legion,,,,48467686.0,ns,24
serialize_binary,legion,,,,48205900.0,ns,24
serialize_binary,legion,,,,48086246.0,ns,24
serialize_binary,legion,,,,48416431.0,ns,24
serialize_binary,legion,,,,48526452.0,ns,24
serialize_binary,legion,,,,48186062.0,ns,24
serialize_binary,legion,,,,48527828.0,ns,24
serialize_binary,legion,,,,48171365.0,ns,24
serialize_binary,legion,,,,50369586.0,ns,24
serialize_binary,legion,,,,50536224.0,ns,24
serialize_binary,legion,,,,47251260.0,ns,24
serialize_binary,legion,,,,46980931.0,ns,24
serialize_binary,legion,,,,47497532.0,ns,24
serialize_binary,legion,,,,47778382.0,ns,24
serialize_binary,legion,,,,47741136.0,ns,24
serialize_binary,legion,,,,47732001.0,ns,24
serialize_binary,legion,,,,48134250.0,ns,24
serialize_binary,legion,,,,47704365.0,ns,24
serialize_binary,legion,,,,47748523.0,ns,24
serialize_binary,legion,,,,47558177.0,ns,24
serialize_binary,legion,,,,47981329.0,ns,24
serialize_binary,legion,,,,48237264.0,ns,24
serialize_binary,legion,,,,48065161.0,ns,24
serialize_binary,legion,,,,48210534.0,ns,24
serialize_binary,legion,,,,48347525.0,ns,24
serialize_binary,legion,,,,48279887.0,ns,24
serialize_binary,legion,,,,48180922.0,ns,24
serialize_binary,legion,,,,48368838.0,ns,24
serialize_binary,legion,,,,48936888.0,ns,24
