group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,53194962.0,ns,16
serialize_text,hecs,,,,51445588.0,ns,16
serialize_text,hecs,,,,51930388.0,ns,16
serialize_text,hecs,,,,51756939.0,ns,16
serialize_text,hecs,,,,51833479.0,ns,16
serialize_text,hecs,,,,51764587.0,ns,16
serialize_text,hecs,,,,51889580.0,ns,16
serialize_text,hecs,,,,51883872.0,ns,16
serialize_text,hecs,,,,51878326.0,ns,16
serialize_text,hecs,,,,52347028.0,ns,16
serialize_text,hecs,,,,51634093.0,ns,16
serialize_text,hecs,,,,51410086.0,ns,16
serialize_text,hecs,,,,51867755.0,ns,16
serialize_text,hecs,,,,51931598.0,ns,16
serialize_text,hecs,,,,51949310.0,ns,16
serialize_text,hecs,,,,51909117.0,ns,16
serialize_text,hecs,,,,51969684.0,ns,16
serialize_text,hecs,,,,52076665.0,ns,16
serialize_text,hecs,,,,53033642.0,ns,16
serialize_text,hecs,,,,52579821.0,ns,16
serialize_text,hecs,,,,52040947.0,ns,16
serialize_text,hecs,,,,51927097.0,ns,16
serialize_text,hecs,,,,53296071.0,ns,16
serialize_text,hecs,,,,53525497.0,ns,16
serialize_text,hecs,,,,51931270.0,ns,16
serialize_text,hecs,,,,51752656.0,ns,16
serialize_text,hecs,,,,52323395.0,ns,16
serialize_text,hecs,,,,52044248.0,ns,16
serialize_text,hecs,,,,52296897.0,ns,16
serialize_text,hecs,,,,52058809.0,ns,16
serialize_text,hecs,,,,51909540.0,ns,16
serialize_text,hecs,,,,51898135.0,ns,16
serialize_text,hecs,,,,52039014.0,ns,16
serialize_text,hecs,,,,52057021.0,ns,16
serialize_text,hecs,,,,51517486.0,ns,16
serialize_text,hecs,,,,50609864.0,ns,16
serialize_text,hecs,,,,51116185.0,ns,16
serialize_text,hecs,,,,51955717.0,ns,16
serialize_text,hecs,,,,54137135.0,ns,16
serialize_text,hecs,,,,52583160.0,ns,16
serialize_text,hecs,,,,50874790.0,ns,16
serialize_text,hecs,,,,50558812.0,ns,16
serialize_text,hecs,,,,51849957.0,ns,16
serialize_text,hecs,,,,53324119.0,ns,16
serialize_text,hecs,,,,51779324.0,ns,16
serialize_text,hecs,,,,51259942.0,ns,16
serialize_text,hecs,,,,51126508.0,ns,16
serialize_text,hecs,,,,51796840.0,ns,16
serialize_text,hecs,,,,51792540.0,ns,16
serialize_text,hecs,,,,51632086.0,ns,16
serialize_text,hecs,,,,51298611.0,ns,16
serialize_text,hecs,,,,51890764.0,ns,16
serialize_text,hecs,,,,51859880.0,ns,16
serialize_text,hecs,,,,51819275.0,ns,16
serialize_text,hecs,,,,51797905.0,ns,16
serialize_text,hecs,,,,51937230.0,ns,16
serialize_text,hecs,,,,51854968.0,ns,16
serialize_text,hecs,,,,53596680.0,ns,16
serialize_text,hecs,,,,51924645.0,ns,16
serialize_text,hecs,,,,51941589.0,ns,16
serialize_text,hecs,,,,51931687.0,ns,16
serialize_text,hecs,,,,52020427.0,ns,16
serialize_text,hecs,,,,51958897.0,ns,16
serialize_text,hecs,,,,51944025.0,ns,16
serialize_text,hecs,,,,52052338.0,ns,16
serialize_text,hecs,,,,51945170.0,ns,16
serialize_text,hecs,,,,52107373.0,ns,16
serialize_text,hecs,,,,51772905.0,ns,16
serialize_text,hecs,,,,51670921.0,ns,16
serialize_text,hecs,,,,51691102.0,ns,16
serialize_text,hecs,,,,51813237.0,ns,16
serialize_text,hecs,,,,51412949.0,ns,16
serialize_text,hecs,,,,51814805.0,ns,16
serialize_text,hecs,,,,51443257.0,ns,16
serialize_text,hecs,,,,51323547.0,ns,16
serialize_text,hecs,,,,51382415.0,ns,16
serialize_text,hecs,,,,52765221.0,ns,16
serialize_text,hecs,,,,51042218.0,ns,16
serialize_text,hecs,,,,53667417.0,ns,16
serialize_text,hecs,,,,54820219.0,ns,16
serialize_text,hecs,,,,54995245.0,ns,16
serialize_text,hecs,,,,55112307.0,ns,16
serialize_text,hecs,,,,53185743.0,ns,16
serialize_text,hecs,,,,51975786.0,ns,16
serialize_text,hecs,,,,51896807.0,ns,16
serialize_text,hecs,,,,52174548.0,ns,16
serialize_text,hecs,,,,52027354.0,ns,16
serialize_text,hecs,,,,54046426.0,ns,16
serialize_text,hecs,,,,54520959.0,ns,16
serialize_text,hecs,,,,54740091.0,ns,16
serialize_text,hecs,,,,54721517.0,ns,16
serialize_text,hecs,,,,53765583.0,ns,16
serialize_text,hecs,,,,51785766.0,ns,16
serialize_text,hecs,,,,52647734.0,ns,16
serialize_text,hecs,,,,53721578.0,ns,16
serialize_text,hecs,,,,53204931.0,ns,16
serialize_text,hecs,,,,51994432.0,ns,16
serialize_text,hecs,,,,51629153.0,ns,16
serialize_text,hecs,,,,51540596.0,ns,16
serialize_text,hecs,,,,54188578.0,ns,16
