group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,62938780.0,ns,6
serialize_text,legion,,,,57050713.0,ns,6
serialize_text,legion,,,,51318099.0,ns,6
serialize_text,legion,,,,50995543.0,ns,6
serialize_text,legion,,,,50961789.0,ns,6
serialize_text,legion,,,,51146764.0,ns,6
serialize_text,legion,,,,51146849.0,ns,6
serialize_text,legion,,,,50202381.0,ns,6
serialize_text,legion,,,,49903610.0,ns,6
serialize_text,legion,,,,49980628.0,ns,6
serialize_text,legion,,,,49938165.0,ns,6
serialize_text,legion,,,,49795976.0,ns,6
serialize_text,legion,,,,49840782.0,ns,6
serialize_text,legion,,,,50026546.0,ns,6
serialize_text,legion,,,,50022387.0,ns,6
serialize_text,legion,,,,51046129.0,ns,6
serialize_text,legion,,,,50024563.0,ns,6
serialize_text,legion,,,,49990401.0,ns,6
serialize_text,legion,,,,49932582.0,ns,6
serialize_text,legion,,,,49878101.0,ns,6
serialize_text,legion,,,,49918720.0,ns,6
serialize_text,legion,,,,49796699.0,ns,6
serialize_text,legion,,,,49838335.0,ns,6
serialize_text,legion,,,,49810736.0,ns,6
serialize_text,legion,,,,48775853.0,ns,6
serialize_text,legion,,,,48628845.0,ns,6
serialize_text,legion,,,,48511074.0,ns,6
serialize_text,legion,,,,48554843.0,ns,6
serialize_text,legion,,,,48936877.0,ns,6
serialize_text,legion,,,,48475418.0,ns,6
serialize_text,legion,,,,49051639.0,ns,6
serialize_text,legion,,,,48720872.0,ns,6
serialize_text,legion,,,,48518504.0,ns,6
serialize_text,legion,,,,48512879.0,ns,6
serialize_text,legion,,,,48492560.0,ns,6
serialize_text,legion,,,,49304906.0,ns,6
serialize_text,legion,,,,49496587.0,ns,6
serialize_text,legion,,,,48583608.0,ns,6
serialize_text,legion,,,,49718735.0,ns,6
serialize_text,legion,,,,50274444.0,ns,6
serialize_text,legion,,,,49843366.0,ns,6
serialize_text,legion,,,,48883173.0,ns,6
serialize_text,legion,,,,48743555.0,ns,6
serialize_text,legion,,,,48482644.0,ns,6
serialize_text,legion,,,,48558039.0,ns,6
serialize_text,legion,,,,48633851.0,ns,6
serialize_text,legion,,,,48545253.0,ns,6
serialize_text,legion,,,,48486895.0,ns,6
serialize_text,legion,,,,48782560.0,ns,6
serialize_text,legion,,,,48732289.0,ns,6
serialize_text,legion,,,,49189263.0,ns,6
serialize_text,legion,,,,50183644.0,ns,6
serialize_text,legion,,,,50405545.0,ns,6
serialize_text,legion,,,,50456649.0,ns,6
serialize_text,legion,,,,50325483.0,ns,6
serialize_text,legion,,,,50393651.0,ns,6
serialize_text,legion,,,,49575145.0,ns,6
serialize_text,legion,,,,49168653.0,ns,6
serialize_text,legion,,,,48695074.0,ns,6
serialize_text,legion,,,,48661139.0,ns,6
serialize_text,legion,,,,48698968.0,ns,6
serialize_text,legion,,,,48734535.0,ns,6
serialize_text,legion,,,,48661621.0,ns,6
serialize_text,legion,,,,48639843.0,ns,6
serialize_text,legion,,,,48532519.0,ns,6
serialize_text,legion,,,,48508730.0,ns,6
serialize_text,legion,,,,48764594.0,ns,6
serialize_text,legion,,,,48630011.0,ns,6
serialize_text,legion,,,,48928605.0,ns,6
serialize_text,legion,,,,48808190.0,ns,6
serialize_text,legion,,,,48759590.0,ns,6
serialize_text,legion,,,,48842490.0,ns,6
serialize_text,legion,,,,48994176.0,ns,6
serialize_text,legion,,,,48777483.0,ns,6
serialize_text,legion,,,,49052107.0,ns,6
serialize_text,legion,,,,48589607.0,ns,6
serialize_text,legion,,,,50716366.0,ns,6
serialize_text,legion,,,,48480713.0,ns,6
serialize_text,legion,,,,49506532.0,ns,6
serialize_text,legion,,,,48470297.0,ns,6
serialize_text,legion,,,,48474355.0,ns,6
serialize_text,legion,,,,48483231.0,ns,6
serialize_text,legion,,,,48427348.0,ns,6
serialize_text,legion,,,,48427079.0,ns,6
serialize_text,legion,,,,48527344.0,ns,6
serialize_text,legion,,,,48925556.0,ns,6
serialize_text,legion,,,,48822371.0,ns,6
serialize_text,legion,,,,48518255.0,ns,6
serialize_text,legion,,,,48554685.0,ns,6
serialize_text,legion,,,,48430826.0,ns,6
serialize_text,legion,,,,48766753.0,ns,6
serialize_text,legion,,,,48756297.0,ns,6
serialize_text,legion,,,,50271270.0,ns,6
serialize_text,legion,,,,50264925.0,ns,6
serialize_text,legion,,,,50318282.0,ns,6
serialize_text,legion,,,,50166466.0,ns,6
serialize_text,legion,,,,50323432.0,ns,6
serialize_text,legion,,,,49743871.0,ns,6
serialize_text,legion,,,,49206534.0,ns,6
serialize_text,legion,,,,49992829.0,ns,6
