group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1503180.0,ns,2
simple_insert,bevy,,,,3271526.0,ns,4
simple_insert,bevy,,,,5536498.0,ns,6
simple_insert,bevy,,,,5803775.0,ns,8
simple_insert,bevy,,,,7112930.0,ns,10
simple_insert,bevy,,,,8437688.0,ns,12
simple_insert,bevy,,,,9848335.0,ns,14
simple_insert,bevy,,,,11491352.0,ns,16
simple_insert,bevy,,,,13051887.0,ns,18
simple_insert,bevy,,,,14411011.0,ns,20
simple_insert,bevy,,,,15803762.0,ns,22
simple_insert,bevy,,,,17234518.0,ns,24
simple_insert,bevy,,,,18663823.0,ns,26
simple_insert,bevy,,,,20000524.0,ns,28
simple_insert,bevy,,,,21131498.0,ns,30
simple_insert,bevy,,,,22830657.0,ns,32
simple_insert,bevy,,,,24348102.0,ns,34
simple_insert,bevy,,,,25640414.0,ns,36
simple_insert,bevy,,,,27150793.0,ns,38
simple_insert,bevy,,,,28740007.0,ns,40
simple_insert,bevy,,,,30082831.0,ns,42
simple_insert,bevy,,,,31383078.0,ns,44
simple_insert,bevy,,,,32885915.0,ns,46
simple_insert,bevy,,,,35445615.0,ns,48
simple_insert,bevy,,,,37991798.0,ns,50
simple_insert,bevy,,,,40155213.0,ns,52
simple_insert,bevy,,,,41849463.0,ns,54
simple_insert,bevy,,,,43341019.0,ns,56
simple_insert,bevy,,,,44908121.0,ns,58
simple_insert,bevy,,,,46499746.0,ns,60
simple_insert,bevy,,,,47967428.0,ns,62
simple_insert,bevy,,,,49516634.0,ns,64
simple_insert,bevy,,,,51020264.0,ns,66
simple_insert,bevy,,,,52524360.0,ns,68
simple_insert,bevy,,,,50837296.0,ns,70
simple_insert,bevy,,,,50226261.0,ns,72
simple_insert,bevy,,,,51663590.0,ns,74
simple_insert,bevy,,,,53306886.0,ns,76
simple_insert,bevy,,,,54286774.0,ns,78
simple_insert,bevy,,,,55767390.0,ns,80
simple_insert,bevy,,,,57433901.0,ns,82
simple_insert,bevy,,,,58717261.0,ns,84
simple_insert,bevy,,,,60535357.0,ns,86
simple_insert,bevy,,,,63379871.0,ns,88
simple_insert,bevy,,,,64402888.0,ns,90
simple_insert,bevy,,,,65020757.0,ns,92
simple_insert,bevy,,,,66551097.0,ns,94
simple_insert,bevy,,,,71724636.0,ns,96
simple_insert,bevy,,,,75088376.0,ns,98
simple_insert,bevy,,,,77134589.0,ns,100
simple_insert,bevy,,,,75995260.0,ns,102
simple_insert,bevy,,,,72683901.0,ns,104
simple_insert,bevy,,,,74087527.0,ns,106
simple_insert,bevy,,,,75579068.0,ns,108
simple_insert,bevy,,,,76897893.0,ns,110
simple_insert,bevy,,,,78270291.0,ns,112
simple_insert,bevy,,,,79636752.0,ns,114
simple_insert,bevy,,,,82186708.0,ns,116
simple_insert,bevy,,,,82342540.0,ns,118
simple_insert,bevy,,,,83774396.0,ns,120
simple_insert,bevy,,,,85238041.0,ns,122
simple_insert,bevy,,,,86739339.0,ns,124
simple_insert,bevy,,,,88156576.0,ns,126
simple_insert,bevy,,,,89165041.0,ns,128
simple_insert,bevy,,,,90419071.0,ns,130
simple_insert,bevy,,,,91902074.0,ns,132
simple_insert,bevy,,,,93600375.0,ns,134
simple_insert,bevy,,,,94819654.0,ns,136
simple_insert,bevy,,,,98478915.0,ns,138
simple_insert,bevy,,,,99217671.0,ns,140
simple_insert,bevy,,,,101075207.0,ns,142
simple_insert,bevy,,,,102589015.0,ns,144
simple_insert,bevy,,,,103981710.0,ns,146
simple_insert,bevy,,,,105729799.0,ns,148
simple_insert,bevy,,,,106811974.0,ns,150
simple_insert,bevy,,,,108204353.0,ns,152
simple_insert,bevy,,,,109718277.0,ns,154
simple_insert,bevy,,,,115049688.0,ns,156
simple_insert,bevy,,,,119091198.0,ns,158
simple_insert,bevy,,,,118145748.0,ns,160
simple_insert,bevy,,,,114856742.0,ns,162
simple_insert,bevy,,,,116953154.0,ns,164
simple_insert,bevy,,,,117279600.0,ns,166
simple_insert,bevy,,,,118740158.0,ns,168
simple_insert,bevy,,,,119244833.0,ns,170
simple_insert,bevy,,,,120154271.0,ns,172
simple_insert,bevy,,,,125571402.0,ns,174
simple_insert,bevy,,,,125437426.0,ns,176
simple_insert,bevy,,,,128787868.0,ns,178
simple_insert,bevy,,,,129390605.0,ns,180
simple_insert,bevy,,,,126576213.0,ns,182
simple_insert,bevy,,,,129359151.0,ns,184
simple_insert,bevy,,,,132410952.0,ns,186
simple_insert,bevy,,,,133361265.0,ns,188
simple_insert,bevy,,,,133906604.0,ns,190
simple_insert,bevy,,,,136365001.0,ns,192
simple_insert,bevy,,,,138043845.0,ns,194
simple_insert,bevy,,,,141505460.0,ns,196
simple_insert,bevy,,,,151008185.0,ns,198
simple_insert,bevy,,,,141415184.0,ns,200
