group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,ecstasy,,,,1392016.0,ns,1
simple_insert,ecstasy,,,,2305605.0,ns,2
simple_insert,ecstasy,,,,3987868.0,ns,3
simple_insert,ecstasy,,,,4084879.0,ns,4
simple_insert,ecstasy,,,,5188241.0,ns,5
simple_insert,ecstasy,,,,6650649.0,ns,6
simple_insert,ecstasy,,,,7069568.0,ns,7
simple_insert,ecstasy,,,,8466067.0,ns,8
simple_insert,ecstasy,,,,9716896.0,ns,9
simple_insert,ecstasy,,,,11222704.0,ns,10
simple_insert,ecstasy,,,,11572383.0,ns,11
simple_insert,ecstasy,,,,12483270.0,ns,12
simple_insert,ecstasy,,,,13459130.0,ns,13
simple_insert,ecstasy,,,,14498745.0,ns,14
simple_insert,ecstasy,,,,15476323.0,ns,15
simple_insert,ecstasy,,,,16507507.0,ns,16
simple_insert,ecstasy,,,,17472541.0,ns,17
simple_insert,ecstasy,,,,18659932.0,ns,18
simple_insert,ecstasy,,,,19610070.0,ns,19
simple_insert,ecstasy,,,,20727433.0,ns,20
simple_insert,ecstasy,,,,21762142.0,ns,21
simple_insert,ecstasy,,,,22829279.0,ns,22
simple_insert,ecstasy,,,,24043817.0,ns,23
simple_insert,ecstasy,,,,25054960.0,ns,24
simple_insert,ecstasy,,,,26144147.0,ns,25
simple_insert,ecstasy,,,,27143313.0,ns,26
simple_insert,ecstasy,,,,28207768.0,ns,27
simple_insert,ecstasy,,,,29066090.0,ns,28
simple_insert,ecstasy,,,,30168477.0,ns,29
simple_insert,ecstasy,,,,31516708.0,ns,30
simple_insert,ecstasy,,,,32455558.0,ns,31
simple_insert,ecstasy,,,,33647349.0,ns,32
simple_insert,ecstasy,,,,34357226.0,ns,33
simple_insert,ecstasy,,,,35483886.0,ns,34
simple_insert,ecstasy,,,,36654861.0,ns,35
simple_insert,ecstasy,,,,37555066.0,ns,36
simple_insert,ecstasy,,,,38735615.0,ns,37
simple_insert,ecstasy,,,,39602313.0,ns,38
simple_insert,ecstasy,,,,40723261.0,ns,39
simple_insert,ecstasy,,,,41628684.0,ns,40
simple_insert,ecstasy,,,,42754577.0,ns,41
simple_insert,ecstasy,,,,44896865.0,ns,42
simple_insert,ecstasy,,,,46273462.0,ns,43
simple_insert,ecstasy,,,,45905422.0,ns,44
simple_insert,ecstasy,,,,48759245.0,ns,45
simple_insert,ecstasy,,,,49180490.0,ns,46
simple_insert,ecstasy,,,,49602774.0,ns,47
simple_insert,ecstasy,,,,50390403.0,ns,48
simple_insert,ecstasy,,,,49976233.0,ns,49
simple_insert,ecstasy,,,,51756386.0,ns,50
simple_insert,ecstasy,,,,52960564.0,ns,51
simple_insert,ecstasy,,,,55035587.0,ns,52
simple_insert,ecstasy,,,,56188476.0,ns,53
simple_insert,ecstasy,,,,57629851.0,ns,54
simple_insert,ecstasy,,,,58460112.0,ns,55
simple_insert,ecstasy,,,,61239166.0,ns,56
simple_insert,ecstasy,,,,62780956.0,ns,57
simple_insert,ecstasy,,,,64085181.0,ns,58
simple_insert,ecstasy,,,,65529196.0,ns,59
simple_insert,ecstasy,,,,61227552.0,ns,60
simple_insert,ecstasy,,,,62973090.0,ns,61
simple_insert,ecstasy,,,,64788946.0,ns,62
simple_insert,ecstasy,,,,66254134.0,ns,63
simple_insert,ecstasy,,,,66877838.0,ns,64
simple_insert,ecstasy,,,,67856290.0,ns,65
simple_insert,ecstasy,,,,68876944.0,ns,66
simple_insert,ecstasy,,,,70014613.0,ns,67
simple_insert,ecstasy,,,,71214285.0,ns,68
simple_insert,ecstasy,,,,71987128.0,ns,69
simple_insert,ecstasy,,,,72138270.0,ns,70
simple_insert,ecstasy,,,,74596801.0,ns,71
simple_insert,ecstasy,,,,76340503.0,ns,72
simple_insert,ecstasy,,,,79887473.0,ns,73
simple_insert,ecstasy,,,,81824748.0,ns,74
simple_insert,ecstasy,,,,82930121.0,ns,75
simple_insert,ecstasy,,,,82469780.0,ns,76
simple_insert,ecstasy,,,,85707342.0,ns,77
simple_insert,ecstasy,,,,84462378.0,ns,78
simple_insert,ecstasy,,,,80899053.0,ns,79
simple_insert,ecstasy,,,,82510982.0,ns,80
simple_insert,ecstasy,,,,84030001.0,ns,81
simple_insert,ecstasy,,,,85861850.0,ns,82
simple_insert,ecstasy,,,,90495866.0,ns,83
simple_insert,ecstasy,,,,92669290.0,ns,84
simple_insert,ecstasy,,,,93926618.0,ns,85
simple_insert,ecstasy,,,,95192707.0,ns,86
simple_insert,ecstasy,,,,94907879.0,ns,87
simple_insert,ecstasy,,,,90035806.0,ns,88
simple_insert,ecstasy,,,,92190190.0,ns,89
simple_insert,ecstasy,,,,91305965.0,ns,90
simple_insert,ecstasy,,,,92320128.0,ns,91
simple_insert,ecstasy,,,,93313363.0,ns,92
simple_insert,ecstasy,,,,97600496.0,ns,93
simple_insert,ecstasy,,,,102933840.0,ns,94
simple_insert,ecstasy,,,,104981213.0,ns,95
simple_insert,ecstasy,,,,106142305.0,ns,96
simple_insert,ecstasy,,,,107237297.0,ns,97
simple_insert,ecstasy,,,,101633619.0,ns,98
simple_insert,ecstasy,,,,102164381.0,ns,99
simple_insert,ecstasy,,,,106837672.0,ns,100
