group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,ecstasy,,,,1541629.0,ns,2
simple_insert,ecstasy,,,,3275129.0,ns,4
simple_insert,ecstasy,,,,5519257.0,ns,6
simple_insert,ecstasy,,,,7616350.0,ns,8
simple_insert,ecstasy,,,,7273867.0,ns,10
simple_insert,ecstasy,,,,8805286.0,ns,12
simple_insert,ecstasy,,,,10190589.0,ns,14
simple_insert,ecstasy,,,,12167244.0,ns,16
simple_insert,ecstasy,,,,13444632.0,ns,18
simple_insert,ecstasy,,,,14967779.0,ns,20
simple_insert,ecstasy,,,,16410539.0,ns,22
simple_insert,ecstasy,,,,17880840.0,ns,24
simple_insert,ecstasy,,,,19403410.0,ns,26
simple_insert,ecstasy,,,,20572777.0,ns,28
simple_insert,ecstasy,,,,22323191.0,ns,30
simple_insert,ecstasy,,,,23902552.0,ns,32
simple_insert,ecstasy,,,,25771946.0,ns,34
simple_insert,ecstasy,,,,26861957.0,ns,36
simple_insert,ecstasy,,,,28566726.0,ns,38
simple_insert,ecstasy,,,,29945253.0,ns,40
simple_insert,ecstasy,,,,31518735.0,ns,42
simple_insert,ecstasy,,,,32976901.0,ns,44
simple_insert,ecstasy,,,,34674952.0,ns,46
simple_insert,ecstasy,,,,36184125.0,ns,48
simple_insert,ecstasy,,,,37501353.0,ns,50
simple_insert,ecstasy,,,,39205767.0,ns,52
simple_insert,ecstasy,,,,40567189.0,ns,54
simple_insert,ecstasy,,,,42161918.0,ns,56
simple_insert,ecstasy,,,,43693791.0,ns,58
simple_insert,ecstasy,,,,45452238.0,ns,60
simple_insert,ecstasy,,,,46910541.0,ns,62
simple_insert,ecstasy,,,,46741522.0,ns,64
simple_insert,ecstasy,,,,47927033.0,ns,66
simple_insert,ecstasy,,,,49450529.0,ns,68
simple_insert,ecstasy,,,,51090531.0,ns,70
simple_insert,ecstasy,,,,52543770.0,ns,72
simple_insert,ecstasy,,,,54365915.0,ns,74
simple_insert,ecstasy,,,,55864059.0,ns,76
simple_insert,ecstasy,,,,56930656.0,ns,78
simple_insert,ecstasy,,,,59249825.0,ns,80
simple_insert,ecstasy,,,,62852517.0,ns,82
simple_insert,ecstasy,,,,63131793.0,ns,84
simple_insert,ecstasy,,,,62917914.0,ns,86
simple_insert,ecstasy,,,,63497384.0,ns,88
simple_insert,ecstasy,,,,65204446.0,ns,90
simple_insert,ecstasy,,,,67434574.0,ns,92
simple_insert,ecstasy,,,,68433192.0,ns,94
simple_insert,ecstasy,,,,70997112.0,ns,96
simple_insert,ecstasy,,,,71163218.0,ns,98
simple_insert,ecstasy,,,,72563463.0,ns,100
simple_insert,ecstasy,,,,73604542.0,ns,102
simple_insert,ecstasy,,,,74992504.0,ns,104
simple_insert,ecstasy,,,,76266136.0,ns,106
simple_insert,ecstasy,,,,77923539.0,ns,108
simple_insert,ecstasy,,,,80344601.0,ns,110
simple_insert,ecstasy,,,,85310486.0,ns,112
simple_insert,ecstasy,,,,84162412.0,ns,114
simple_insert,ecstasy,,,,84309722.0,ns,116
simple_insert,ecstasy,,,,85685223.0,ns,118
simple_insert,ecstasy,,,,86881276.0,ns,120
simple_insert,ecstasy,,,,90117620.0,ns,122
simple_insert,ecstasy,,,,89047390.0,ns,124
simple_insert,ecstasy,,,,90677512.0,ns,126
simple_insert,ecstasy,,,,92076513.0,ns,128
simple_insert,ecstasy,,,,93949507.0,ns,130
simple_insert,ecstasy,,,,97721128.0,ns,132
simple_insert,ecstasy,,,,99983620.0,ns,134
simple_insert,ecstasy,,,,97835083.0,ns,136
simple_insert,ecstasy,,,,99223070.0,ns,138
simple_insert,ecstasy,,,,101029640.0,ns,140
simple_insert,ecstasy,,,,105207812.0,ns,142
simple_insert,ecstasy,,,,107241346.0,ns,144
simple_insert,ecstasy,,,,106109185.0,ns,146
simple_insert,ecstasy,,,,108175808.0,ns,148
simple_insert,ecstasy,,,,109247484.0,ns,150
simple_insert,ecstasy,,,,111354484.0,ns,152
simple_insert,ecstasy,,,,112321109.0,ns,154
simple_insert,ecstasy,,,,113919555.0,ns,156
simple_insert,ecstasy,,,,115168493.0,ns,158
simple_insert,ecstasy,,,,120053713.0,ns,160
simple_insert,ecstasy,,,,120775007.0,ns,162
simple_insert,ecstasy,,,,124474059.0,ns,164
simple_insert,ecstasy,,,,126321933.0,ns,166
simple_insert,ecstasy,,,,125582653.0,ns,168
simple_insert,ecstasy,,,,122990277.0,ns,170
simple_insert,ecstasy,,,,127392475.0,ns,172
simple_insert,ecstasy,,,,132660718.0,ns,174
simple_insert,ecstasy,,,,131531417.0,ns,176
simple_insert,ecstasy,,,,128119703.0,ns,178
simple_insert,ecstasy,,,,131439025.0,ns,180
simple_insert,ecstasy,,,,132380761.0,ns,182
simple_insert,ecstasy,,,,134265909.0,ns,184
simple_insert,ecstasy,,,,139960154.0,ns,186
simple_insert,ecstasy,,,,138266705.0,ns,188
simple_insert,ecstasy,,,,138716268.0,ns,190
simple_insert,ecstasy,,,,138137687.0,ns,192
simple_insert,ecstasy,,,,139509249.0,ns,194
simple_insert,ecstasy,,,,141507588.0,ns,196
simple_insert,ecstasy,,,,146847987.0,ns,198
simple_insert,ecstasy,,,,144666905.0,ns,200
