group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1098832.0,ns,2
simple_insert,hecs,,,,2196417.0,ns,4
simple_insert,hecs,,,,4023956.0,ns,6
simple_insert,hecs,,,,4380813.0,ns,8
simple_insert,hecs,,,,5481733.0,ns,10
simple_insert,hecs,,,,6894548.0,ns,12
simple_insert,hecs,,,,7939566.0,ns,14
simple_insert,hecs,,,,8703263.0,ns,16
simple_insert,hecs,,,,9716034.0,ns,18
simple_insert,hecs,,,,10895665.0,ns,20
simple_insert,hecs,,,,12156305.0,ns,22
simple_insert,hecs,,,,13268153.0,ns,24
simple_insert,hecs,,,,14288517.0,ns,26
simple_insert,hecs,,,,15267719.0,ns,28
simple_insert,hecs,,,,16532606.0,ns,30
simple_insert,hecs,,,,17575331.0,ns,32
simple_insert,hecs,,,,18789865.0,ns,34
simple_insert,hecs,,,,19940668.0,ns,36
simple_insert,hecs,,,,21000214.0,ns,38
simple_insert,hecs,,,,22254703.0,ns,40
simple_insert,hecs,,,,23267986.0,ns,42
simple_insert,hecs,,,,24390882.0,ns,44
simple_insert,hecs,,,,25523722.0,ns,46
simple_insert,hecs,,,,26502443.0,ns,48
simple_insert,hecs,,,,27847601.0,ns,50
simple_insert,hecs,,,,28867658.0,ns,52
simple_insert,hecs,,,,29945981.0,ns,54
simple_insert,hecs,,,,30611059.0,ns,56
simple_insert,hecs,,,,31311754.0,ns,58
simple_insert,hecs,,,,32867515.0,ns,60
simple_insert,hecs,,,,34080522.0,ns,62
simple_insert,hecs,,,,35533127.0,ns,64
simple_insert,hecs,,,,36899786.0,ns,66
simple_insert,hecs,,,,37777334.0,ns,68
simple_insert,hecs,,,,39112780.0,ns,70
simple_insert,hecs,,,,40263824.0,ns,72
simple_insert,hecs,,,,41329591.0,ns,74
simple_insert,hecs,,,,42474012.0,ns,76
simple_insert,hecs,,,,43679599.0,ns,78
simple_insert,hecs,,,,44739147.0,ns,80
simple_insert,hecs,,,,45964926.0,ns,82
simple_insert,hecs,,,,46951279.0,ns,84
simple_insert,hecs,,,,48392280.0,ns,86
simple_insert,hecs,,,,49923174.0,ns,88
simple_insert,hecs,,,,51403636.0,ns,90
simple_insert,hecs,,,,52321289.0,ns,92
simple_insert,hecs,,,,52488385.0,ns,94
simple_insert,hecs,,,,53741482.0,ns,96
simple_insert,hecs,,,,54900789.0,ns,98
simple_insert,hecs,,,,56300655.0,ns,100
simple_insert,hecs,,,,57113962.0,ns,102
simple_insert,hecs,,,,58265177.0,ns,104
simple_insert,hecs,,,,59298109.0,ns,106
simple_insert,hecs,,,,60435281.0,ns,108
simple_insert,hecs,,,,63015021.0,ns,110
simple_insert,hecs,,,,62367757.0,ns,112
simple_insert,hecs,,,,63628497.0,ns,114
simple_insert,hecs,,,,64471451.0,ns,116
simple_insert,hecs,,,,66266769.0,ns,118
simple_insert,hecs,,,,73217455.0,ns,120
simple_insert,hecs,,,,82746173.0,ns,122
simple_insert,hecs,,,,68092513.0,ns,124
simple_insert,hecs,,,,69115593.0,ns,126
simple_insert,hecs,,,,71014747.0,ns,128
simple_insert,hecs,,,,72274634.0,ns,130
simple_insert,hecs,,,,75172598.0,ns,132
simple_insert,hecs,,,,79361701.0,ns,134
simple_insert,hecs,,,,80084695.0,ns,136
simple_insert,hecs,,,,76780041.0,ns,138
simple_insert,hecs,,,,78143953.0,ns,140
simple_insert,hecs,,,,76792707.0,ns,142
simple_insert,hecs,,,,79083376.0,ns,144
simple_insert,hecs,,,,80844482.0,ns,146
simple_insert,hecs,,,,82932488.0,ns,148
simple_insert,hecs,,,,83938695.0,ns,150
simple_insert,hecs,,,,85092117.0,ns,152
simple_insert,hecs,,,,86308150.0,ns,154
simple_insert,hecs,,,,85433049.0,ns,156
simple_insert,hecs,,,,86693176.0,ns,158
simple_insert,hecs,,,,88342021.0,ns,160
simple_insert,hecs,,,,90528926.0,ns,162
simple_insert,hecs,,,,91490320.0,ns,164
simple_insert,hecs,,,,91738093.0,ns,166
simple_insert,hecs,,,,93836538.0,ns,168
simple_insert,hecs,,,,94970866.0,ns,170
simple_insert,hecs,,,,96635684.0,ns,172
simple_insert,hecs,,,,97774727.0,ns,174
simple_insert,hecs,,,,98886824.0,ns,176
simple_insert,hecs,,,,97894471.0,ns,178
simple_insert,hecs,,,,98748304.0,ns,180
simple_insert,hecs,,,,99815357.0,ns,182
simple_insert,hecs,,,,102439193.0,ns,184
simple_insert,hecs,,,,103508018.0,ns,186
simple_insert,hecs,,,,108641376.0,ns,188
simple_insert,hecs,,,,107015491.0,ns,190
simple_insert,hecs,,,,108123559.0,ns,192
simple_insert,hecs,,,,111720466.0,ns,194
simple_insert,hecs,,,,116352136.0,ns,196
simple_insert,hecs,,,,119622417.0,ns,198
simple_insert,hecs,,,,108228889.0,ns,200
