group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1113794.0,ns,4
simple_insert,legion,,,,2256814.0,ns,8
simple_insert,legion,,,,4537280.0,ns,12
simple_insert,legion,,,,4547165.0,ns,16
simple_insert,legion,,,,5203343.0,ns,20
simple_insert,legion,,,,6784146.0,ns,24
simple_insert,legion,,,,7538369.0,ns,28
simple_insert,legion,,,,8755772.0,ns,32
simple_insert,legion,,,,9837106.0,ns,36
simple_insert,legion,,,,10921390.0,ns,40
simple_insert,legion,,,,12012544.0,ns,44
simple_insert,legion,,,,13102301.0,ns,48
simple_insert,legion,,,,14191132.0,ns,52
simple_insert,legion,,,,15284361.0,ns,56
simple_insert,legion,,,,16373993.0,ns,60
simple_insert,legion,,,,16701181.0,ns,64
simple_insert,legion,,,,18203396.0,ns,68
simple_insert,legion,,,,19739719.0,ns,72
simple_insert,legion,,,,29741398.0,ns,76
simple_insert,legion,,,,25216543.0,ns,80
simple_insert,legion,,,,23145741.0,ns,84
simple_insert,legion,,,,24240851.0,ns,88
simple_insert,legion,,,,25020969.0,ns,92
simple_insert,legion,,,,25788696.0,ns,96
simple_insert,legion,,,,26670149.0,ns,100
simple_insert,legion,,,,27818862.0,ns,104
simple_insert,legion,,,,29004844.0,ns,108
simple_insert,legion,,,,31340860.0,ns,112
simple_insert,legion,,,,30774805.0,ns,116
simple_insert,legion,,,,32433897.0,ns,120
simple_insert,legion,,,,33701420.0,ns,124
simple_insert,legion,,,,35039963.0,ns,128
simple_insert,legion,,,,36086442.0,ns,132
simple_insert,legion,,,,37033534.0,ns,136
simple_insert,legion,,,,38236986.0,ns,140
simple_insert,legion,,,,39073331.0,ns,144
simple_insert,legion,,,,40011534.0,ns,148
simple_insert,legion,,,,41143874.0,ns,152
simple_insert,legion,,,,42216870.0,ns,156
simple_insert,legion,,,,43074720.0,ns,160
simple_insert,legion,,,,44280666.0,ns,164
simple_insert,legion,,,,45314787.0,ns,168
simple_insert,legion,,,,46687702.0,ns,172
simple_insert,legion,,,,47303261.0,ns,176
simple_insert,legion,,,,48244592.0,ns,180
simple_insert,legion,,,,49502089.0,ns,184
simple_insert,legion,,,,50625736.0,ns,188
simple_insert,legion,,,,52152027.0,ns,192
simple_insert,legion,,,,56157427.0,ns,196
simple_insert,legion,,,,57788227.0,ns,200
simple_insert,legion,,,,57083845.0,ns,204
simple_insert,legion,,,,54542243.0,ns,208
simple_insert,legion,,,,55304405.0,ns,212
simple_insert,legion,,,,56934033.0,ns,216
simple_insert,legion,,,,58063395.0,ns,220
simple_insert,legion,,,,59488347.0,ns,224
simple_insert,legion,,,,60664003.0,ns,228
simple_insert,legion,,,,61584047.0,ns,232
simple_insert,legion,,,,62507145.0,ns,236
simple_insert,legion,,,,64068425.0,ns,240
simple_insert,legion,,,,64519096.0,ns,244
simple_insert,legion,,,,65761084.0,ns,248
simple_insert,legion,,,,66827340.0,ns,252
simple_insert,legion,,,,67874118.0,ns,256
simple_insert,legion,,,,68827965.0,ns,260
simple_insert,legion,,,,69982021.0,ns,264
simple_insert,legion,,,,73008728.0,ns,268
simple_insert,legion,,,,72091187.0,ns,272
simple_insert,legion,,,,75113641.0,ns,276
simple_insert,legion,,,,76802911.0,ns,280
simple_insert,legion,,,,78163331.0,ns,284
simple_insert,legion,,,,79151929.0,ns,288
simple_insert,legion,,,,80558601.0,ns,292
simple_insert,legion,,,,80420140.0,ns,296
simple_insert,legion,,,,84564550.0,ns,300
simple_insert,legion,,,,86315253.0,ns,304
simple_insert,legion,,,,87682460.0,ns,308
simple_insert,legion,,,,88537953.0,ns,312
simple_insert,legion,,,,89519576.0,ns,316
simple_insert,legion,,,,83564639.0,ns,320
simple_insert,legion,,,,85878392.0,ns,324
simple_insert,legion,,,,89605353.0,ns,328
simple_insert,legion,,,,89881055.0,ns,332
simple_insert,legion,,,,87541497.0,ns,336
simple_insert,legion,,,,89617797.0,ns,340
simple_insert,legion,,,,94517355.0,ns,344
simple_insert,legion,,,,96280286.0,ns,348
simple_insert,legion,,,,96848795.0,ns,352
simple_insert,legion,,,,95147038.0,ns,356
simple_insert,legion,,,,97471521.0,ns,360
simple_insert,legion,,,,96055313.0,ns,364
simple_insert,legion,,,,96372226.0,ns,368
simple_insert,legion,,,,102234524.0,ns,372
simple_insert,legion,,,,103140640.0,ns,376
simple_insert,legion,,,,102727220.0,ns,380
simple_insert,legion,,,,102589886.0,ns,384
simple_insert,legion,,,,106447749.0,ns,388
simple_insert,legion,,,,117846528.0,ns,392
simple_insert,legion,,,,110881578.0,ns,396
simple_insert,legion,,,,110423974.0,ns,400
