group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1121770.0,ns,4
simple_insert,legion,,,,2179180.0,ns,8
simple_insert,legion,,,,4098638.0,ns,12
simple_insert,legion,,,,4317980.0,ns,16
simple_insert,legion,,,,5877758.0,ns,20
simple_insert,legion,,,,6333030.0,ns,24
simple_insert,legion,,,,7576634.0,ns,28
simple_insert,legion,,,,8491626.0,ns,32
simple_insert,legion,,,,9550793.0,ns,36
simple_insert,legion,,,,10607802.0,ns,40
simple_insert,legion,,,,11687377.0,ns,44
simple_insert,legion,,,,12723287.0,ns,48
simple_insert,legion,,,,13684619.0,ns,52
simple_insert,legion,,,,15076322.0,ns,56
simple_insert,legion,,,,16151182.0,ns,60
simple_insert,legion,,,,17259761.0,ns,64
simple_insert,legion,,,,18300297.0,ns,68
simple_insert,legion,,,,19464704.0,ns,72
simple_insert,legion,,,,20309273.0,ns,76
simple_insert,legion,,,,21023418.0,ns,80
simple_insert,legion,,,,22289335.0,ns,84
simple_insert,legion,,,,24492295.0,ns,88
simple_insert,legion,,,,24321469.0,ns,92
simple_insert,legion,,,,25326237.0,ns,96
simple_insert,legion,,,,26637556.0,ns,100
simple_insert,legion,,,,27803229.0,ns,104
simple_insert,legion,,,,28889819.0,ns,108
simple_insert,legion,,,,30000349.0,ns,112
simple_insert,legion,,,,31002478.0,ns,116
simple_insert,legion,,,,32166778.0,ns,120
simple_insert,legion,,,,33101434.0,ns,124
simple_insert,legion,,,,34254098.0,ns,128
simple_insert,legion,,,,35339800.0,ns,132
simple_insert,legion,,,,36260626.0,ns,136
simple_insert,legion,,,,37472821.0,ns,140
simple_insert,legion,,,,38444198.0,ns,144
simple_insert,legion,,,,39558116.0,ns,148
simple_insert,legion,,,,40850482.0,ns,152
simple_insert,legion,,,,41840474.0,ns,156
simple_insert,legion,,,,42804458.0,ns,160
simple_insert,legion,,,,43775010.0,ns,164
simple_insert,legion,,,,44885370.0,ns,168
simple_insert,legion,,,,45977682.0,ns,172
simple_insert,legion,,,,47307437.0,ns,176
simple_insert,legion,,,,49068811.0,ns,180
simple_insert,legion,,,,49381533.0,ns,184
simple_insert,legion,,,,50343458.0,ns,188
simple_insert,legion,,,,51450326.0,ns,192
simple_insert,legion,,,,54154958.0,ns,196
simple_insert,legion,,,,53499329.0,ns,200
simple_insert,legion,,,,54105928.0,ns,204
simple_insert,legion,,,,54748753.0,ns,208
simple_insert,legion,,,,56071038.0,ns,212
simple_insert,legion,,,,57562203.0,ns,216
simple_insert,legion,,,,60493823.0,ns,220
simple_insert,legion,,,,63278370.0,ns,224
simple_insert,legion,,,,63677382.0,ns,228
simple_insert,legion,,,,62053187.0,ns,232
simple_insert,legion,,,,66431436.0,ns,236
simple_insert,legion,,,,67959916.0,ns,240
simple_insert,legion,,,,68834570.0,ns,244
simple_insert,legion,,,,69800947.0,ns,248
simple_insert,legion,,,,71181220.0,ns,252
simple_insert,legion,,,,72199665.0,ns,256
simple_insert,legion,,,,69838676.0,ns,260
simple_insert,legion,,,,69161534.0,ns,264
simple_insert,legion,,,,70862960.0,ns,268
simple_insert,legion,,,,72296835.0,ns,272
simple_insert,legion,,,,73521874.0,ns,276
simple_insert,legion,,,,74533453.0,ns,280
simple_insert,legion,,,,75784825.0,ns,284
simple_insert,legion,,,,75422745.0,ns,288
simple_insert,legion,,,,76456474.0,ns,292
simple_insert,legion,,,,78252598.0,ns,296
simple_insert,legion,,,,79295923.0,ns,300
simple_insert,legion,,,,80392978.0,ns,304
simple_insert,legion,,,,81440736.0,ns,308
simple_insert,legion,,,,84044688.0,ns,312
simple_insert,legion,,,,83867741.0,ns,316
simple_insert,legion,,,,84854755.0,ns,320
simple_insert,legion,,,,85873353.0,ns,324
simple_insert,legion,,,,86815941.0,ns,328
simple_insert,legion,,,,87869906.0,ns,332
simple_insert,legion,,,,89410470.0,ns,336
simple_insert,legion,,,,90193336.0,ns,340
simple_insert,legion,,,,91115404.0,ns,344
simple_insert,legion,,,,92130850.0,ns,348
simple_insert,legion,,,,93221169.0,ns,352
simple_insert,legion,,,,95825384.0,ns,356
simple_insert,legion,,,,95187412.0,ns,360
simple_insert,legion,,,,96881142.0,ns,364
simple_insert,legion,,,,98010986.0,ns,368
simple_insert,legion,,,,99259218.0,ns,372
simple_insert,legion,,,,100305898.0,ns,376
simple_insert,legion,,,,102870478.0,ns,380
simple_insert,legion,,,,102269552.0,ns,384
simple_insert,legion,,,,103248364.0,ns,388
simple_insert,legion,,,,104252428.0,ns,392
simple_insert,legion,,,,106747509.0,ns,396
simple_insert,legion,,,,105960594.0,ns,400
