group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,1544308.0,ns,2
simple_insert,planck_ecs,,,,2998184.0,ns,4
simple_insert,planck_ecs,,,,5722281.0,ns,6
simple_insert,planck_ecs,,,,6037840.0,ns,8
simple_insert,planck_ecs,,,,7336466.0,ns,10
simple_insert,planck_ecs,,,,8728828.0,ns,12
simple_insert,planck_ecs,,,,10166424.0,ns,14
simple_insert,planck_ecs,,,,11722028.0,ns,16
simple_insert,planck_ecs,,,,13274103.0,ns,18
simple_insert,planck_ecs,,,,14946619.0,ns,20
simple_insert,planck_ecs,,,,16397537.0,ns,22
simple_insert,planck_ecs,,,,17864538.0,ns,24
simple_insert,planck_ecs,,,,19644175.0,ns,26
simple_insert,planck_ecs,,,,20833893.0,ns,28
simple_insert,planck_ecs,,,,21987602.0,ns,30
simple_insert,planck_ecs,,,,23238777.0,ns,32
simple_insert,planck_ecs,,,,24670516.0,ns,34
simple_insert,planck_ecs,,,,26227126.0,ns,36
simple_insert,planck_ecs,,,,27817838.0,ns,38
simple_insert,planck_ecs,,,,29547515.0,ns,40
simple_insert,planck_ecs,,,,30674981.0,ns,42
simple_insert,planck_ecs,,,,32097451.0,ns,44
simple_insert,planck_ecs,,,,33556750.0,ns,46
simple_insert,planck_ecs,,,,35196126.0,ns,48
simple_insert,planck_ecs,,,,36498746.0,ns,50
simple_insert,planck_ecs,,,,37953151.0,ns,52
simple_insert,planck_ecs,,,,39525181.0,ns,54
simple_insert,planck_ecs,,,,40925333.0,ns,56
simple_insert,planck_ecs,,,,43783051.0,ns,58
simple_insert,planck_ecs,,,,43666105.0,ns,60
simple_insert,planck_ecs,,,,44836791.0,ns,62
simple_insert,planck_ecs,,,,46591652.0,ns,64
simple_insert,planck_ecs,,,,48123143.0,ns,66
simple_insert,planck_ecs,,,,49746658.0,ns,68
simple_insert,planck_ecs,,,,51216520.0,ns,70
simple_insert,planck_ecs,,,,52526362.0,ns,72
simple_insert,planck_ecs,,,,54041210.0,ns,74
simple_insert,planck_ecs,,,,55362959.0,ns,76
simple_insert,planck_ecs,,,,56766604.0,ns,78
simple_insert,planck_ecs,,,,58802970.0,ns,80
simple_insert,planck_ecs,,,,60152699.0,ns,82
simple_insert,planck_ecs,,,,61848971.0,ns,84
simple_insert,planck_ecs,,,,63487256.0,ns,86
simple_insert,planck_ecs,,,,64825194.0,ns,88
simple_insert,planck_ecs,,,,66389227.0,ns,90
simple_insert,planck_ecs,,,,67599933.0,ns,92
simple_insert,planck_ecs,,,,70439337.0,ns,94
simple_insert,planck_ecs,,,,69925513.0,ns,96
simple_insert,planck_ecs,,,,72251573.0,ns,98
simple_insert,planck_ecs,,,,74040283.0,ns,100
simple_insert,planck_ecs,,,,75645262.0,ns,102
simple_insert,planck_ecs,,,,76950877.0,ns,104
simple_insert,planck_ecs,,,,78576059.0,ns,106
simple_insert,planck_ecs,,,,79325604.0,ns,108
simple_insert,planck_ecs,,,,81234233.0,ns,110
simple_insert,planck_ecs,,,,83297420.0,ns,112
simple_insert,planck_ecs,,,,85006980.0,ns,114
simple_insert,planck_ecs,,,,86353361.0,ns,116
simple_insert,planck_ecs,,,,88176385.0,ns,118
simple_insert,planck_ecs,,,,90093844.0,ns,120
simple_insert,planck_ecs,,,,93939586.0,ns,122
simple_insert,planck_ecs,,,,93087684.0,ns,124
simple_insert,planck_ecs,,,,91808883.0,ns,126
simple_insert,planck_ecs,,,,93767878.0,ns,128
simple_insert,planck_ecs,,,,96778217.0,ns,130
simple_insert,planck_ecs,,,,103033589.0,ns,132
simple_insert,planck_ecs,,,,102748781.0,ns,134
simple_insert,planck_ecs,,,,99219728.0,ns,136
simple_insert,planck_ecs,,,,101207611.0,ns,138
simple_insert,planck_ecs,,,,103371057.0,ns,140
simple_insert,planck_ecs,,,,102755309.0,ns,142
simple_insert,planck_ecs,,,,104196911.0,ns,144
simple_insert,planck_ecs,,,,110149654.0,ns,146
simple_insert,planck_ecs,,,,115923085.0,ns,148
simple_insert,planck_ecs,,,,117662338.0,ns,150
simple_insert,planck_ecs,,,,118986405.0,ns,152
simple_insert,planck_ecs,,,,120612017.0,ns,154
simple_insert,planck_ecs,,,,122051110.0,ns,156
simple_insert,planck_ecs,,,,118725299.0,ns,158
simple_insert,planck_ecs,,,,117075527.0,ns,160
simple_insert,planck_ecs,,,,118621695.0,ns,162
simple_insert,planck_ecs,,,,119992313.0,ns,164
simple_insert,planck_ecs,,,,126770346.0,ns,166
simple_insert,planck_ecs,,,,128387786.0,ns,168
simple_insert,planck_ecs,,,,123442595.0,ns,170
simple_insert,planck_ecs,,,,124598845.0,ns,172
simple_insert,planck_ecs,,,,128278946.0,ns,174
simple_insert,planck_ecs,,,,127614260.0,ns,176
simple_insert,planck_ecs,,,,129221378.0,ns,178
simple_insert,planck_ecs,,,,130382982.0,ns,180
simple_insert,planck_ecs,,,,136143117.0,ns,182
simple_insert,planck_ecs,,,,138361448.0,ns,184
simple_insert,planck_ecs,,,,136238918.0,ns,186
simple_insert,planck_ecs,,,,139367338.0,ns,188
simple_insert,planck_ecs,,,,140142715.0,ns,190
simple_insert,planck_ecs,,,,141409810.0,ns,192
simple_insert,planck_ecs,,,,143449143.0,ns,194
simple_insert,planck_ecs,,,,144634248.0,ns,196
simple_insert,planck_ecs,,,,145906608.0,ns,198
simple_insert,planck_ecs,,,,147330454.0,ns,200
