group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,1252348.0,ns,2
simple_insert,shipyard,,,,2504252.0,ns,4
simple_insert,shipyard,,,,4305750.0,ns,6
simple_insert,shipyard,,,,5237638.0,ns,8
simple_insert,shipyard,,,,7020858.0,ns,10
simple_insert,shipyard,,,,7614680.0,ns,12
simple_insert,shipyard,,,,8403045.0,ns,14
simple_insert,shipyard,,,,9354176.0,ns,16
simple_insert,shipyard,,,,10786024.0,ns,18
simple_insert,shipyard,,,,11974086.0,ns,20
simple_insert,shipyard,,,,13173648.0,ns,22
simple_insert,shipyard,,,,14358856.0,ns,24
simple_insert,shipyard,,,,16053576.0,ns,26
simple_insert,shipyard,,,,17204821.0,ns,28
simple_insert,shipyard,,,,18527987.0,ns,30
simple_insert,shipyard,,,,19278113.0,ns,32
simple_insert,shipyard,,,,20617673.0,ns,34
simple_insert,shipyard,,,,21994462.0,ns,36
simple_insert,shipyard,,,,23230140.0,ns,38
simple_insert,shipyard,,,,24487780.0,ns,40
simple_insert,shipyard,,,,26072921.0,ns,42
simple_insert,shipyard,,,,26908455.0,ns,44
simple_insert,shipyard,,,,28062043.0,ns,46
simple_insert,shipyard,,,,29357346.0,ns,48
simple_insert,shipyard,,,,30755607.0,ns,50
simple_insert,shipyard,,,,31938892.0,ns,52
simple_insert,shipyard,,,,33611050.0,ns,54
simple_insert,shipyard,,,,34509526.0,ns,56
simple_insert,shipyard,,,,35722050.0,ns,58
simple_insert,shipyard,,,,37035954.0,ns,60
simple_insert,shipyard,,,,37445329.0,ns,62
simple_insert,shipyard,,,,39470719.0,ns,64
simple_insert,shipyard,,,,40376507.0,ns,66
simple_insert,shipyard,,,,41562146.0,ns,68
simple_insert,shipyard,,,,43120556.0,ns,70
simple_insert,shipyard,,,,44152189.0,ns,72
simple_insert,shipyard,,,,45560400.0,ns,74
simple_insert,shipyard,,,,46759879.0,ns,76
simple_insert,shipyard,,,,47906573.0,ns,78
simple_insert,shipyard,,,,49142295.0,ns,80
simple_insert,shipyard,,,,50508941.0,ns,82
simple_insert,shipyard,,,,51530240.0,ns,84
simple_insert,shipyard,,,,51510220.0,ns,86
simple_insert,shipyard,,,,52008605.0,ns,88
simple_insert,shipyard,,,,53228943.0,ns,90
simple_insert,shipyard,,,,57015043.0,ns,92
simple_insert,shipyard,,,,60204950.0,ns,94
simple_insert,shipyard,,,,61258597.0,ns,96
simple_insert,shipyard,,,,60815154.0,ns,98
simple_insert,shipyard,,,,59271084.0,ns,100
simple_insert,shipyard,,,,62651848.0,ns,102
simple_insert,shipyard,,,,61493578.0,ns,104
simple_insert,shipyard,,,,63476017.0,ns,106
simple_insert,shipyard,,,,64795925.0,ns,108
simple_insert,shipyard,,,,66048778.0,ns,110
simple_insert,shipyard,,,,67395996.0,ns,112
simple_insert,shipyard,,,,68330355.0,ns,114
simple_insert,shipyard,,,,69581398.0,ns,116
simple_insert,shipyard,,,,70017837.0,ns,118
simple_insert,shipyard,,,,70692557.0,ns,120
simple_insert,shipyard,,,,74038119.0,ns,122
simple_insert,shipyard,,,,75017965.0,ns,124
simple_insert,shipyard,,,,76907666.0,ns,126
simple_insert,shipyard,,,,78647642.0,ns,128
simple_insert,shipyard,,,,80669584.0,ns,130
simple_insert,shipyard,,,,77570702.0,ns,132
simple_insert,shipyard,,,,80016141.0,ns,134
simple_insert,shipyard,,,,81507848.0,ns,136
simple_insert,shipyard,,,,82814107.0,ns,138
simple_insert,shipyard,,,,82621266.0,ns,140
simple_insert,shipyard,,,,84181686.0,ns,142
simple_insert,shipyard,,,,86213539.0,ns,144
simple_insert,shipyard,,,,87218608.0,ns,146
simple_insert,shipyard,,,,88473288.0,ns,148
simple_insert,shipyard,,,,89761462.0,ns,150
simple_insert,shipyard,,,,90923133.0,ns,152
simple_insert,shipyard,,,,93462566.0,ns,154
simple_insert,shipyard,,,,93019932.0,ns,156
simple_insert,shipyard,,,,94312098.0,ns,158
simple_insert,shipyard,,,,95613026.0,ns,160
simple_insert,shipyard,,,,96950869.0,ns,162
simple_insert,shipyard,,,,98562395.0,ns,164
simple_insert,shipyard,,,,99315142.0,ns,166
simple_insert,shipyard,,,,100297895.0,ns,168
simple_insert,shipyard,,,,105846764.0,ns,170
simple_insert,shipyard,,,,108076689.0,ns,172
simple_insert,shipyard,,,,110046022.0,ns,174
simple_insert,shipyard,,,,110624387.0,ns,176
simple_insert,shipyard,,,,112925550.0,ns,178
simple_insert,shipyard,,,,113998925.0,ns,180
simple_insert,shipyard,,,,115561987.0,ns,182
simple_insert,shipyard,,,,117174866.0,ns,184
simple_insert,shipyard,,,,114676418.0,ns,186
simple_insert,shipyard,,,,112844818.0,ns,188
simple_insert,shipyard,,,,114043847.0,ns,190
simple_insert,shipyard,,,,117075674.0,ns,192
simple_insert,shipyard,,,,116421336.0,ns,194
simple_insert,shipyard,,,,117428457.0,ns,196
simple_insert,shipyard,,,,118693616.0,ns,198
simple_insert,shipyard,,,,120351120.0,ns,200
