group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1715062.0,ns,1
simple_insert,specs,,,,3502618.0,ns,2
simple_insert,specs,,,,6046743.0,ns,3
simple_insert,specs,,,,6572773.0,ns,4
simple_insert,specs,,,,9480347.0,ns,5
simple_insert,specs,,,,10084494.0,ns,6
simple_insert,specs,,,,11516338.0,ns,7
simple_insert,specs,,,,13140825.0,ns,8
simple_insert,specs,,,,15306682.0,ns,9
simple_insert,specs,,,,16957121.0,ns,10
simple_insert,specs,,,,18639967.0,ns,11
simple_insert,specs,,,,20343151.0,ns,12
simple_insert,specs,,,,22045065.0,ns,13
simple_insert,specs,,,,22816667.0,ns,14
simple_insert,specs,,,,25882559.0,ns,15
simple_insert,specs,,,,26792179.0,ns,16
simple_insert,specs,,,,28863434.0,ns,17
simple_insert,specs,,,,30927899.0,ns,18
simple_insert,specs,,,,32848577.0,ns,19
simple_insert,specs,,,,33818480.0,ns,20
simple_insert,specs,,,,34934187.0,ns,21
simple_insert,specs,,,,37532083.0,ns,22
simple_insert,specs,,,,38881889.0,ns,23
simple_insert,specs,,,,41757780.0,ns,24
simple_insert,specs,,,,42053635.0,ns,25
simple_insert,specs,,,,42427412.0,ns,26
simple_insert,specs,,,,43774879.0,ns,27
simple_insert,specs,,,,45394165.0,ns,28
simple_insert,specs,,,,47110592.0,ns,29
simple_insert,specs,,,,48694510.0,ns,30
simple_insert,specs,,,,50933081.0,ns,31
simple_insert,specs,,,,52828563.0,ns,32
simple_insert,specs,,,,56113681.0,ns,33
simple_insert,specs,,,,58136163.0,ns,34
simple_insert,specs,,,,59214446.0,ns,35
simple_insert,specs,,,,58727118.0,ns,36
simple_insert,specs,,,,59930866.0,ns,37
simple_insert,specs,,,,61848904.0,ns,38
simple_insert,specs,,,,64677152.0,ns,39
simple_insert,specs,,,,68250376.0,ns,40
simple_insert,specs,,,,70510794.0,ns,41
simple_insert,specs,,,,72197590.0,ns,42
simple_insert,specs,,,,73470755.0,ns,43
simple_insert,specs,,,,72844436.0,ns,44
simple_insert,specs,,,,72796866.0,ns,45
simple_insert,specs,,,,75170422.0,ns,46
simple_insert,specs,,,,77081316.0,ns,47
simple_insert,specs,,,,78598495.0,ns,48
simple_insert,specs,,,,80432598.0,ns,49
simple_insert,specs,,,,81660794.0,ns,50
simple_insert,specs,,,,82710827.0,ns,51
simple_insert,specs,,,,84586147.0,ns,52
simple_insert,specs,,,,86068400.0,ns,53
simple_insert,specs,,,,87597280.0,ns,54
simple_insert,specs,,,,90269641.0,ns,55
simple_insert,specs,,,,90783315.0,ns,56
simple_insert,specs,,,,93856605.0,ns,57
simple_insert,specs,,,,96845411.0,ns,58
simple_insert,specs,,,,97660054.0,ns,59
simple_insert,specs,,,,103250461.0,ns,60
simple_insert,specs,,,,102797797.0,ns,61
simple_insert,specs,,,,106050850.0,ns,62
simple_insert,specs,,,,106088903.0,ns,63
simple_insert,specs,,,,107120240.0,ns,64
simple_insert,specs,,,,108615185.0,ns,65
simple_insert,specs,,,,106897192.0,ns,66
simple_insert,specs,,,,108429926.0,ns,67
simple_insert,specs,,,,110100577.0,ns,68
simple_insert,specs,,,,111723431.0,ns,69
simple_insert,specs,,,,113919568.0,ns,70
simple_insert,specs,,,,114949143.0,ns,71
simple_insert,specs,,,,116617765.0,ns,72
simple_insert,specs,,,,119120464.0,ns,73
simple_insert,specs,,,,121274646.0,ns,74
simple_insert,specs,,,,122001454.0,ns,75
simple_insert,specs,,,,124123035.0,ns,76
simple_insert,specs,,,,125986164.0,ns,77
simple_insert,specs,,,,127531465.0,ns,78
simple_insert,specs,,,,128603887.0,ns,79
simple_insert,specs,,,,129582036.0,ns,80
simple_insert,specs,,,,141758044.0,ns,81
simple_insert,specs,,,,136797443.0,ns,82
simple_insert,specs,,,,134742861.0,ns,83
simple_insert,specs,,,,136819980.0,ns,84
simple_insert,specs,,,,139660879.0,ns,85
simple_insert,specs,,,,145922206.0,ns,86
simple_insert,specs,,,,147365537.0,ns,87
simple_insert,specs,,,,149056614.0,ns,88
simple_insert,specs,,,,147432870.0,ns,89
simple_insert,specs,,,,145616327.0,ns,90
simple_insert,specs,,,,147799083.0,ns,91
simple_insert,specs,,,,149868273.0,ns,92
simple_insert,specs,,,,150866325.0,ns,93
simple_insert,specs,,,,153453088.0,ns,94
simple_insert,specs,,,,156324643.0,ns,95
simple_insert,specs,,,,156521882.0,ns,96
simple_insert,specs,,,,158337063.0,ns,97
simple_insert,specs,,,,159694572.0,ns,98
simple_insert,specs,,,,161882336.0,ns,99
simple_insert,specs,,,,163248842.0,ns,100
