group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,1035308.0,ns,57
simple_iter,bevy,,,,2310205.0,ns,114
simple_iter,bevy,,,,3957518.0,ns,171
simple_iter,bevy,,,,3731657.0,ns,228
simple_iter,bevy,,,,5407307.0,ns,285
simple_iter,bevy,,,,5934772.0,ns,342
simple_iter,bevy,,,,6830101.0,ns,399
simple_iter,bevy,,,,7663550.0,ns,456
simple_iter,bevy,,,,8631343.0,ns,513
simple_iter,bevy,,,,9581397.0,ns,570
simple_iter,bevy,,,,10541129.0,ns,627
simple_iter,bevy,,,,11495546.0,ns,684
simple_iter,bevy,,,,12463587.0,ns,741
simple_iter,bevy,,,,13411233.0,ns,798
simple_iter,bevy,,,,14378277.0,ns,855
simple_iter,bevy,,,,15107009.0,ns,912
simple_iter,bevy,,,,16053849.0,ns,969
simple_iter,bevy,,,,17096052.0,ns,1026
simple_iter,bevy,,,,18047611.0,ns,1083
simple_iter,bevy,,,,19020875.0,ns,1140
simple_iter,bevy,,,,20084304.0,ns,1197
simple_iter,bevy,,,,21034979.0,ns,1254
simple_iter,bevy,,,,21965008.0,ns,1311
simple_iter,bevy,,,,22863861.0,ns,1368
simple_iter,bevy,,,,23841159.0,ns,1425
simple_iter,bevy,,,,24747782.0,ns,1482
simple_iter,bevy,,,,25908213.0,ns,1539
simple_iter,bevy,,,,26765577.0,ns,1596
simple_iter,bevy,,,,27756277.0,ns,1653
simple_iter,bevy,,,,28640501.0,ns,1710
simple_iter,bevy,,,,29674840.0,ns,1767
simple_iter,bevy,,,,30721900.0,ns,1824
simple_iter,bevy,,,,31497838.0,ns,1881
simple_iter,bevy,,,,32549123.0,ns,1938
simple_iter,bevy,,,,33728524.0,ns,1995
simple_iter,bevy,,,,34188170.0,ns,2052
simple_iter,bevy,,,,37205143.0,ns,2109
simple_iter,bevy,,,,37670932.0,ns,2166
simple_iter,bevy,,,,39308119.0,ns,2223
simple_iter,bevy,,,,40293795.0,ns,2280
simple_iter,bevy,,,,40606107.0,ns,2337
simple_iter,bevy,,,,41763906.0,ns,2394
simple_iter,bevy,,,,42789966.0,ns,2451
simple_iter,bevy,,,,43742544.0,ns,2508
simple_iter,bevy,,,,44909769.0,ns,2565
simple_iter,bevy,,,,44390196.0,ns,2622
simple_iter,bevy,,,,44449218.0,ns,2679
simple_iter,bevy,,,,44836739.0,ns,2736
simple_iter,bevy,,,,46299560.0,ns,2793
simple_iter,bevy,,,,47644227.0,ns,2850
simple_iter,bevy,,,,48693596.0,ns,2907
simple_iter,bevy,,,,49763681.0,ns,2964
simple_iter,bevy,,,,50629538.0,ns,3021
simple_iter,bevy,,,,51701120.0,ns,3078
simple_iter,bevy,,,,55011983.0,ns,3135
simple_iter,bevy,,,,55900603.0,ns,3192
simple_iter,bevy,,,,55789008.0,ns,3249
simple_iter,bevy,,,,58060349.0,ns,3306
simple_iter,bevy,,,,58877389.0,ns,3363
simple_iter,bevy,,,,60336234.0,ns,3420
simple_iter,bevy,,,,61833391.0,ns,3477
simple_iter,bevy,,,,61398641.0,ns,3534
simple_iter,bevy,,,,59669116.0,ns,3591
simple_iter,bevy,,,,61487951.0,ns,3648
simple_iter,bevy,,,,61774070.0,ns,3705
simple_iter,bevy,,,,63180961.0,ns,3762
simple_iter,bevy,,,,64058730.0,ns,3819
simple_iter,bevy,,,,65313599.0,ns,3876
simple_iter,bevy,,,,66033498.0,ns,3933
simple_iter,bevy,,,,67210548.0,ns,3990
simple_iter,bevy,,,,68157361.0,ns,4047
simple_iter,bevy,,,,69042109.0,ns,4104
simple_iter,bevy,,,,69587170.0,ns,4161
simple_iter,bevy,,,,69359297.0,ns,4218
simple_iter,bevy,,,,71181571.0,ns,4275
simple_iter,bevy,,,,72447358.0,ns,4332
simple_iter,bevy,,,,73453952.0,ns,4389
simple_iter,bevy,,,,74523789.0,ns,4446
simple_iter,bevy,,,,75551229.0,ns,4503
simple_iter,bevy,,,,76257214.0,ns,4560
simple_iter,bevy,,,,77214905.0,ns,4617
simple_iter,bevy,,,,78207092.0,ns,4674
simple_iter,bevy,,,,79420886.0,ns,4731
simple_iter,bevy,,,,81695508.0,ns,4788
simple_iter,bevy,,,,86733447.0,ns,4845
simple_iter,bevy,,,,83030519.0,ns,4902
simple_iter,bevy,,,,82344327.0,ns,4959
simple_iter,bevy,,,,84018549.0,ns,5016
simple_iter,bevy,,,,85487449.0,ns,5073
simple_iter,bevy,,,,86984251.0,ns,5130
simple_iter,bevy,,,,88252779.0,ns,5187
simple_iter,bevy,,,,87556234.0,ns,5244
simple_iter,bevy,,,,89962434.0,ns,5301
simple_iter,bevy,,,,91396291.0,ns,5358
simple_iter,bevy,,,,92419194.0,ns,5415
simple_iter,bevy,,,,91564091.0,ns,5472
simple_iter,bevy,,,,94672009.0,ns,5529
simple_iter,bevy,,,,95430691.0,ns,5586
simple_iter,bevy,,,,96643743.0,ns,5643
simple_iter,bevy,,,,96233141.0,ns,5700
