group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,ecstasy,,,,1009831.0,ns,93
simple_iter,ecstasy,,,,2203216.0,ns,186
simple_iter,ecstasy,,,,3821863.0,ns,279
simple_iter,ecstasy,,,,4129415.0,ns,372
simple_iter,ecstasy,,,,5080505.0,ns,465
simple_iter,ecstasy,,,,6133732.0,ns,558
simple_iter,ecstasy,,,,7092788.0,ns,651
simple_iter,ecstasy,,,,8085752.0,ns,744
simple_iter,ecstasy,,,,9144826.0,ns,837
simple_iter,ecstasy,,,,10091587.0,ns,930
simple_iter,ecstasy,,,,11245314.0,ns,1023
simple_iter,ecstasy,,,,12155976.0,ns,1116
simple_iter,ecstasy,,,,13280295.0,ns,1209
simple_iter,ecstasy,,,,13855738.0,ns,1302
simple_iter,ecstasy,,,,14624130.0,ns,1395
simple_iter,ecstasy,,,,15541009.0,ns,1488
simple_iter,ecstasy,,,,16606277.0,ns,1581
simple_iter,ecstasy,,,,17557931.0,ns,1674
simple_iter,ecstasy,,,,18657553.0,ns,1767
simple_iter,ecstasy,,,,19498590.0,ns,1860
simple_iter,ecstasy,,,,20599181.0,ns,1953
simple_iter,ecstasy,,,,21497093.0,ns,2046
simple_iter,ecstasy,,,,22480810.0,ns,2139
simple_iter,ecstasy,,,,23222514.0,ns,2232
simple_iter,ecstasy,,,,24590773.0,ns,2325
simple_iter,ecstasy,,,,25624443.0,ns,2418
simple_iter,ecstasy,,,,26815767.0,ns,2511
simple_iter,ecstasy,,,,27421645.0,ns,2604
simple_iter,ecstasy,,,,28671334.0,ns,2697
simple_iter,ecstasy,,,,29870229.0,ns,2790
simple_iter,ecstasy,,,,30787274.0,ns,2883
simple_iter,ecstasy,,,,31774038.0,ns,2976
simple_iter,ecstasy,,,,32841115.0,ns,3069
simple_iter,ecstasy,,,,33916412.0,ns,3162
simple_iter,ecstasy,,,,35228485.0,ns,3255
simple_iter,ecstasy,,,,35658760.0,ns,3348
simple_iter,ecstasy,,,,37263401.0,ns,3441
simple_iter,ecstasy,,,,37669544.0,ns,3534
simple_iter,ecstasy,,,,38864294.0,ns,3627
simple_iter,ecstasy,,,,39657646.0,ns,3720
simple_iter,ecstasy,,,,40652314.0,ns,3813
simple_iter,ecstasy,,,,41526696.0,ns,3906
simple_iter,ecstasy,,,,42899971.0,ns,3999
simple_iter,ecstasy,,,,44047290.0,ns,4092
simple_iter,ecstasy,,,,46199910.0,ns,4185
simple_iter,ecstasy,,,,53027718.0,ns,4278
simple_iter,ecstasy,,,,54453510.0,ns,4371
simple_iter,ecstasy,,,,55316224.0,ns,4464
simple_iter,ecstasy,,,,56719402.0,ns,4557
simple_iter,ecstasy,,,,53318865.0,ns,4650
simple_iter,ecstasy,,,,49686751.0,ns,4743
simple_iter,ecstasy,,,,50196454.0,ns,4836
simple_iter,ecstasy,,,,55390724.0,ns,4929
simple_iter,ecstasy,,,,62204894.0,ns,5022
simple_iter,ecstasy,,,,63689996.0,ns,5115
simple_iter,ecstasy,,,,64509388.0,ns,5208
simple_iter,ecstasy,,,,66087597.0,ns,5301
simple_iter,ecstasy,,,,66866155.0,ns,5394
simple_iter,ecstasy,,,,68281763.0,ns,5487
simple_iter,ecstasy,,,,69211672.0,ns,5580
simple_iter,ecstasy,,,,65983927.0,ns,5673
simple_iter,ecstasy,,,,60389892.0,ns,5766
simple_iter,ecstasy,,,,61435551.0,ns,5859
simple_iter,ecstasy,,,,62462608.0,ns,5952
simple_iter,ecstasy,,,,64222999.0,ns,6045
simple_iter,ecstasy,,,,65112123.0,ns,6138
simple_iter,ecstasy,,,,69291197.0,ns,6231
simple_iter,ecstasy,,,,72267067.0,ns,6324
simple_iter,ecstasy,,,,80037892.0,ns,6417
simple_iter,ecstasy,,,,80672187.0,ns,6510
simple_iter,ecstasy,,,,82158480.0,ns,6603
simple_iter,ecstasy,,,,71670384.0,ns,6696
simple_iter,ecstasy,,,,71569266.0,ns,6789
simple_iter,ecstasy,,,,72255856.0,ns,6882
simple_iter,ecstasy,,,,81530092.0,ns,6975
simple_iter,ecstasy,,,,87641730.0,ns,7068
simple_iter,ecstasy,,,,89198923.0,ns,7161
simple_iter,ecstasy,,,,77266808.0,ns,7254
simple_iter,ecstasy,,,,77925271.0,ns,7347
simple_iter,ecstasy,,,,77382787.0,ns,7440
simple_iter,ecstasy,,,,80002409.0,ns,7533
simple_iter,ecstasy,,,,79401521.0,ns,7626
simple_iter,ecstasy,,,,81689168.0,ns,7719
simple_iter,ecstasy,,,,81296274.0,ns,7812
simple_iter,ecstasy,,,,83629631.0,ns,7905
simple_iter,ecstasy,,,,83223797.0,ns,7998
simple_iter,ecstasy,,,,90484029.0,ns,8091
simple_iter,ecstasy,,,,87116374.0,ns,8184
simple_iter,ecstasy,,,,86694119.0,ns,8277
simple_iter,ecstasy,,,,87559819.0,ns,8370
simple_iter,ecstasy,,,,88920667.0,ns,8463
simple_iter,ecstasy,,,,90040189.0,ns,8556
simple_iter,ecstasy,,,,91414583.0,ns,8649
simple_iter,ecstasy,,,,91871711.0,ns,8742
simple_iter,ecstasy,,,,93058415.0,ns,8835
simple_iter,ecstasy,,,,93764394.0,ns,8928
simple_iter,ecstasy,,,,95580166.0,ns,9021
simple_iter,ecstasy,,,,101543186.0,ns,9114
simple_iter,ecstasy,,,,103623411.0,ns,9207
simple_iter,ecstasy,,,,103818227.0,ns,9300
