group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,1360219.0,ns,92
simple_iter,hecs,,,,2304609.0,ns,184
simple_iter,hecs,,,,3855098.0,ns,276
simple_iter,hecs,,,,3909423.0,ns,368
simple_iter,hecs,,,,5445320.0,ns,460
simple_iter,hecs,,,,6144683.0,ns,552
simple_iter,hecs,,,,7131864.0,ns,644
simple_iter,hecs,,,,8917311.0,ns,736
simple_iter,hecs,,,,10039352.0,ns,828
simple_iter,hecs,,,,11210271.0,ns,920
simple_iter,hecs,,,,12288492.0,ns,1012
simple_iter,hecs,,,,13408981.0,ns,1104
simple_iter,hecs,,,,14532113.0,ns,1196
simple_iter,hecs,,,,15560727.0,ns,1288
simple_iter,hecs,,,,16385719.0,ns,1380
simple_iter,hecs,,,,17480344.0,ns,1472
simple_iter,hecs,,,,18577416.0,ns,1564
simple_iter,hecs,,,,19820115.0,ns,1656
simple_iter,hecs,,,,20762926.0,ns,1748
simple_iter,hecs,,,,21858504.0,ns,1840
simple_iter,hecs,,,,22956305.0,ns,1932
simple_iter,hecs,,,,24050757.0,ns,2024
simple_iter,hecs,,,,24115716.0,ns,2116
simple_iter,hecs,,,,23733983.0,ns,2208
simple_iter,hecs,,,,24697217.0,ns,2300
simple_iter,hecs,,,,26581340.0,ns,2392
simple_iter,hecs,,,,28748080.0,ns,2484
simple_iter,hecs,,,,31118714.0,ns,2576
simple_iter,hecs,,,,35057725.0,ns,2668
simple_iter,hecs,,,,42002374.0,ns,2760
simple_iter,hecs,,,,33284152.0,ns,2852
simple_iter,hecs,,,,32757017.0,ns,2944
simple_iter,hecs,,,,33164650.0,ns,3036
simple_iter,hecs,,,,33187202.0,ns,3128
simple_iter,hecs,,,,34267048.0,ns,3220
simple_iter,hecs,,,,35144531.0,ns,3312
simple_iter,hecs,,,,36116919.0,ns,3404
simple_iter,hecs,,,,37409981.0,ns,3496
simple_iter,hecs,,,,38168200.0,ns,3588
simple_iter,hecs,,,,39745166.0,ns,3680
simple_iter,hecs,,,,39987615.0,ns,3772
simple_iter,hecs,,,,41175993.0,ns,3864
simple_iter,hecs,,,,42011295.0,ns,3956
simple_iter,hecs,,,,43607785.0,ns,4048
simple_iter,hecs,,,,43861617.0,ns,4140
simple_iter,hecs,,,,45968181.0,ns,4232
simple_iter,hecs,,,,46348585.0,ns,4324
simple_iter,hecs,,,,47168326.0,ns,4416
simple_iter,hecs,,,,47972063.0,ns,4508
simple_iter,hecs,,,,48906701.0,ns,4600
simple_iter,hecs,,,,50025708.0,ns,4692
simple_iter,hecs,,,,51873490.0,ns,4784
simple_iter,hecs,,,,51753232.0,ns,4876
simple_iter,hecs,,,,52696373.0,ns,4968
simple_iter,hecs,,,,53738728.0,ns,5060
simple_iter,hecs,,,,54695617.0,ns,5152
simple_iter,hecs,,,,55706752.0,ns,5244
simple_iter,hecs,,,,56842446.0,ns,5336
simple_iter,hecs,,,,57682640.0,ns,5428
simple_iter,hecs,,,,58926357.0,ns,5520
simple_iter,hecs,,,,59637324.0,ns,5612
simple_iter,hecs,,,,60621850.0,ns,5704
simple_iter,hecs,,,,61556387.0,ns,5796
simple_iter,hecs,,,,62627785.0,ns,5888
simple_iter,hecs,,,,63526009.0,ns,5980
simple_iter,hecs,,,,64900560.0,ns,6072
simple_iter,hecs,,,,66533075.0,ns,6164
simple_iter,hecs,,,,69001588.0,ns,6256
simple_iter,hecs,,,,67631697.0,ns,6348
simple_iter,hecs,,,,68333140.0,ns,6440
simple_iter,hecs,,,,69366076.0,ns,6532
simple_iter,hecs,,,,70451895.0,ns,6624
simple_iter,hecs,,,,71250071.0,ns,6716
simple_iter,hecs,,,,72401626.0,ns,6808
simple_iter,hecs,,,,73751493.0,ns,6900
simple_iter,hecs,,,,74453959.0,ns,6992
simple_iter,hecs,,,,75153775.0,ns,7084
simple_iter,hecs,,,,76300211.0,ns,7176
simple_iter,hecs,,,,77208761.0,ns,7268
simple_iter,hecs,,,,78214995.0,ns,7360
simple_iter,hecs,,,,79088743.0,ns,7452
simple_iter,hecs,,,,85718923.0,ns,7544
simple_iter,hecs,,,,86813700.0,ns,7636
simple_iter,hecs,,,,82105456.0,ns,7728
simple_iter,hecs,,,,83197563.0,ns,7820
simple_iter,hecs,,,,83977530.0,ns,7912
simple_iter,hecs,,,,85038834.0,ns,8004
simple_iter,hecs,,,,86331725.0,ns,8096
simple_iter,hecs,,,,86952457.0,ns,8188
simple_iter,hecs,,,,87915806.0,ns,8280
simple_iter,hecs,,,,89804687.0,ns,8372
simple_iter,hecs,,,,89924331.0,ns,8464
simple_iter,hecs,,,,91531279.0,ns,8556
simple_iter,hecs,,,,102491428.0,ns,8648
simple_iter,hecs,,,,104473898.0,ns,8740
simple_iter,hecs,,,,105603911.0,ns,8832
simple_iter,hecs,,,,106769679.0,ns,8924
simple_iter,hecs,,,,102193835.0,ns,9016
simple_iter,hecs,,,,96660287.0,ns,9108
simple_iter,hecs,,,,98083409.0,ns,9200
