group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion,,,,1033292.0,ns,90
simple_iter,legion,,,,2346940.0,ns,180
simple_iter,legion,,,,3874280.0,ns,270
simple_iter,legion,,,,4933960.0,ns,360
simple_iter,legion,,,,4914446.0,ns,450
simple_iter,legion,,,,5823433.0,ns,540
simple_iter,legion,,,,6870522.0,ns,630
simple_iter,legion,,,,7763828.0,ns,720
simple_iter,legion,,,,8735174.0,ns,810
simple_iter,legion,,,,9702445.0,ns,900
simple_iter,legion,,,,10719369.0,ns,990
simple_iter,legion,,,,11743801.0,ns,1080
simple_iter,legion,,,,12932654.0,ns,1170
simple_iter,legion,,,,13993311.0,ns,1260
simple_iter,legion,,,,14995911.0,ns,1350
simple_iter,legion,,,,15969303.0,ns,1440
simple_iter,legion,,,,16892464.0,ns,1530
simple_iter,legion,,,,17872152.0,ns,1620
simple_iter,legion,,,,18465451.0,ns,1710
simple_iter,legion,,,,19405758.0,ns,1800
simple_iter,legion,,,,20416045.0,ns,1890
simple_iter,legion,,,,21402764.0,ns,1980
simple_iter,legion,,,,22565929.0,ns,2070
simple_iter,legion,,,,23387150.0,ns,2160
simple_iter,legion,,,,24618935.0,ns,2250
simple_iter,legion,,,,25727526.0,ns,2340
simple_iter,legion,,,,27022114.0,ns,2430
simple_iter,legion,,,,27481299.0,ns,2520
simple_iter,legion,,,,28394473.0,ns,2610
simple_iter,legion,,,,29378384.0,ns,2700
simple_iter,legion,,,,30315555.0,ns,2790
simple_iter,legion,,,,31340348.0,ns,2880
simple_iter,legion,,,,32203249.0,ns,2970
simple_iter,legion,,,,33282703.0,ns,3060
simple_iter,legion,,,,34251461.0,ns,3150
simple_iter,legion,,,,35202355.0,ns,3240
simple_iter,legion,,,,36415625.0,ns,3330
simple_iter,legion,,,,37222116.0,ns,3420
simple_iter,legion,,,,38165934.0,ns,3510
simple_iter,legion,,,,39047948.0,ns,3600
simple_iter,legion,,,,40391293.0,ns,3690
simple_iter,legion,,,,40949279.0,ns,3780
simple_iter,legion,,,,41658879.0,ns,3870
simple_iter,legion,,,,43277284.0,ns,3960
simple_iter,legion,,,,44389060.0,ns,4050
simple_iter,legion,,,,45541832.0,ns,4140
simple_iter,legion,,,,46387095.0,ns,4230
simple_iter,legion,,,,47447802.0,ns,4320
simple_iter,legion,,,,48763340.0,ns,4410
simple_iter,legion,,,,49255122.0,ns,4500
simple_iter,legion,,,,50309126.0,ns,4590
simple_iter,legion,,,,54237840.0,ns,4680
simple_iter,legion,,,,51504743.0,ns,4770
simple_iter,legion,,,,52986941.0,ns,4860
simple_iter,legion,,,,54595837.0,ns,4950
simple_iter,legion,,,,55657734.0,ns,5040
simple_iter,legion,,,,56787579.0,ns,5130
simple_iter,legion,,,,57584774.0,ns,5220
simple_iter,legion,,,,58663666.0,ns,5310
simple_iter,legion,,,,59514444.0,ns,5400
simple_iter,legion,,,,59975244.0,ns,5490
simple_iter,legion,,,,60335905.0,ns,5580
simple_iter,legion,,,,61785763.0,ns,5670
simple_iter,legion,,,,63393655.0,ns,5760
simple_iter,legion,,,,63402459.0,ns,5850
simple_iter,legion,,,,64523553.0,ns,5940
simple_iter,legion,,,,66312815.0,ns,6030
simple_iter,legion,,,,67242179.0,ns,6120
simple_iter,legion,,,,73680107.0,ns,6210
simple_iter,legion,,,,74421003.0,ns,6300
simple_iter,legion,,,,75508945.0,ns,6390
simple_iter,legion,,,,76557028.0,ns,6480
simple_iter,legion,,,,77667661.0,ns,6570
simple_iter,legion,,,,78807227.0,ns,6660
simple_iter,legion,,,,79951622.0,ns,6750
simple_iter,legion,,,,80823363.0,ns,6840
simple_iter,legion,,,,82003818.0,ns,6930
simple_iter,legion,,,,82791648.0,ns,7020
simple_iter,legion,,,,84019498.0,ns,7110
simple_iter,legion,,,,85142550.0,ns,7200
simple_iter,legion,,,,82164272.0,ns,7290
simple_iter,legion,,,,93020693.0,ns,7380
simple_iter,legion,,,,91723408.0,ns,7470
simple_iter,legion,,,,82672172.0,ns,7560
simple_iter,legion,,,,82744799.0,ns,7650
simple_iter,legion,,,,83471660.0,ns,7740
simple_iter,legion,,,,84872083.0,ns,7830
simple_iter,legion,,,,85510925.0,ns,7920
simple_iter,legion,,,,87662897.0,ns,8010
simple_iter,legion,,,,88570810.0,ns,8100
simple_iter,legion,,,,89665647.0,ns,8190
simple_iter,legion,,,,90569820.0,ns,8280
simple_iter,legion,,,,93770518.0,ns,8370
simple_iter,legion,,,,98056590.0,ns,8460
simple_iter,legion,,,,99290519.0,ns,8550
simple_iter,legion,,,,100331641.0,ns,8640
simple_iter,legion,,,,101509872.0,ns,8730
simple_iter,legion,,,,96389153.0,ns,8820
simple_iter,legion,,,,96138555.0,ns,8910
simple_iter,legion,,,,97430476.0,ns,9000
