group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,992618.0,ns,22
simple_iter,planck_ecs,,,,2063277.0,ns,44
simple_iter,planck_ecs,,,,4208633.0,ns,66
simple_iter,planck_ecs,,,,4492855.0,ns,88
simple_iter,planck_ecs,,,,4864932.0,ns,110
simple_iter,planck_ecs,,,,5929734.0,ns,132
simple_iter,planck_ecs,,,,6837409.0,ns,154
simple_iter,planck_ecs,,,,7820120.0,ns,176
simple_iter,planck_ecs,,,,9141326.0,ns,198
simple_iter,planck_ecs,,,,9965009.0,ns,220
simple_iter,planck_ecs,,,,10783275.0,ns,242
simple_iter,planck_ecs,,,,11953102.0,ns,264
simple_iter,planck_ecs,,,,12998276.0,ns,286
simple_iter,planck_ecs,,,,13961321.0,ns,308
simple_iter,planck_ecs,,,,14997831.0,ns,330
simple_iter,planck_ecs,,,,16050319.0,ns,352
simple_iter,planck_ecs,,,,17029621.0,ns,374
simple_iter,planck_ecs,,,,18012479.0,ns,396
simple_iter,planck_ecs,,,,19046730.0,ns,418
simple_iter,planck_ecs,,,,20086160.0,ns,440
simple_iter,planck_ecs,,,,21097877.0,ns,462
simple_iter,planck_ecs,,,,22008595.0,ns,484
simple_iter,planck_ecs,,,,23260913.0,ns,506
simple_iter,planck_ecs,,,,22654910.0,ns,528
simple_iter,planck_ecs,,,,25152861.0,ns,550
simple_iter,planck_ecs,,,,26358922.0,ns,572
simple_iter,planck_ecs,,,,27393048.0,ns,594
simple_iter,planck_ecs,,,,28409984.0,ns,616
simple_iter,planck_ecs,,,,29547943.0,ns,638
simple_iter,planck_ecs,,,,30476774.0,ns,660
simple_iter,planck_ecs,,,,31666282.0,ns,682
simple_iter,planck_ecs,,,,32773375.0,ns,704
simple_iter,planck_ecs,,,,33876871.0,ns,726
simple_iter,planck_ecs,,,,33867292.0,ns,748
simple_iter,planck_ecs,,,,35440910.0,ns,770
simple_iter,planck_ecs,,,,34765385.0,ns,792
simple_iter,planck_ecs,,,,37929795.0,ns,814
simple_iter,planck_ecs,,,,39330528.0,ns,836
simple_iter,planck_ecs,,,,40365250.0,ns,858
simple_iter,planck_ecs,,,,38190653.0,ns,880
simple_iter,planck_ecs,,,,39770003.0,ns,902
simple_iter,planck_ecs,,,,41226776.0,ns,924
simple_iter,planck_ecs,,,,42476932.0,ns,946
simple_iter,planck_ecs,,,,43555580.0,ns,968
simple_iter,planck_ecs,,,,44720697.0,ns,990
simple_iter,planck_ecs,,,,45484008.0,ns,1012
simple_iter,planck_ecs,,,,46459136.0,ns,1034
simple_iter,planck_ecs,,,,47689541.0,ns,1056
simple_iter,planck_ecs,,,,48562775.0,ns,1078
simple_iter,planck_ecs,,,,49142118.0,ns,1100
simple_iter,planck_ecs,,,,51273354.0,ns,1122
simple_iter,planck_ecs,,,,54553694.0,ns,1144
simple_iter,planck_ecs,,,,55649555.0,ns,1166
simple_iter,planck_ecs,,,,56712783.0,ns,1188
simple_iter,planck_ecs,,,,57929632.0,ns,1210
simple_iter,planck_ecs,,,,58809887.0,ns,1232
simple_iter,planck_ecs,,,,60045236.0,ns,1254
simple_iter,planck_ecs,,,,60932941.0,ns,1276
simple_iter,planck_ecs,,,,60501861.0,ns,1298
simple_iter,planck_ecs,,,,59025684.0,ns,1320
simple_iter,planck_ecs,,,,60988653.0,ns,1342
simple_iter,planck_ecs,,,,62109426.0,ns,1364
simple_iter,planck_ecs,,,,64623217.0,ns,1386
simple_iter,planck_ecs,,,,65394067.0,ns,1408
simple_iter,planck_ecs,,,,66284369.0,ns,1430
simple_iter,planck_ecs,,,,67039114.0,ns,1452
simple_iter,planck_ecs,,,,65829272.0,ns,1474
simple_iter,planck_ecs,,,,71745350.0,ns,1496
simple_iter,planck_ecs,,,,73069349.0,ns,1518
simple_iter,planck_ecs,,,,73984364.0,ns,1540
simple_iter,planck_ecs,,,,75060076.0,ns,1562
simple_iter,planck_ecs,,,,72160127.0,ns,1584
simple_iter,planck_ecs,,,,69252348.0,ns,1606
simple_iter,planck_ecs,,,,72506695.0,ns,1628
simple_iter,planck_ecs,,,,73239996.0,ns,1650
simple_iter,planck_ecs,,,,75185962.0,ns,1672
simple_iter,planck_ecs,,,,76126431.0,ns,1694
simple_iter,planck_ecs,,,,77010114.0,ns,1716
simple_iter,planck_ecs,,,,78112143.0,ns,1738
simple_iter,planck_ecs,,,,79336247.0,ns,1760
simple_iter,planck_ecs,,,,81063458.0,ns,1782
simple_iter,planck_ecs,,,,83142950.0,ns,1804
simple_iter,planck_ecs,,,,83841084.0,ns,1826
simple_iter,planck_ecs,,,,84455077.0,ns,1848
simple_iter,planck_ecs,,,,81703677.0,ns,1870
simple_iter,planck_ecs,,,,83151137.0,ns,1892
simple_iter,planck_ecs,,,,90429331.0,ns,1914
simple_iter,planck_ecs,,,,92476239.0,ns,1936
simple_iter,planck_ecs,,,,93647907.0,ns,1958
simple_iter,planck_ecs,,,,94580917.0,ns,1980
simple_iter,planck_ecs,,,,95624509.0,ns,2002
simple_iter,planck_ecs,,,,90496004.0,ns,2024
simple_iter,planck_ecs,,,,91815919.0,ns,2046
simple_iter,planck_ecs,,,,93214798.0,ns,2068
simple_iter,planck_ecs,,,,94419579.0,ns,2090
simple_iter,planck_ecs,,,,95622254.0,ns,2112
simple_iter,planck_ecs,,,,95878226.0,ns,2134
simple_iter,planck_ecs,,,,101051834.0,ns,2156
simple_iter,planck_ecs,,,,103828913.0,ns,2178
simple_iter,planck_ecs,,,,105199363.0,ns,2200
