group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard,,,,1061357.0,ns,31
simple_iter,shipyard,,,,2293514.0,ns,62
simple_iter,shipyard,,,,4078022.0,ns,93
simple_iter,shipyard,,,,3910093.0,ns,124
simple_iter,shipyard,,,,5032032.0,ns,155
simple_iter,shipyard,,,,6217991.0,ns,186
simple_iter,shipyard,,,,6918028.0,ns,217
simple_iter,shipyard,,,,7990475.0,ns,248
simple_iter,shipyard,,,,9051124.0,ns,279
simple_iter,shipyard,,,,10024134.0,ns,310
simple_iter,shipyard,,,,11065055.0,ns,341
simple_iter,shipyard,,,,12066680.0,ns,372
simple_iter,shipyard,,,,13066958.0,ns,403
simple_iter,shipyard,,,,14040644.0,ns,434
simple_iter,shipyard,,,,15110302.0,ns,465
simple_iter,shipyard,,,,15902827.0,ns,496
simple_iter,shipyard,,,,16615405.0,ns,527
simple_iter,shipyard,,,,17631213.0,ns,558
simple_iter,shipyard,,,,18573435.0,ns,589
simple_iter,shipyard,,,,19965445.0,ns,620
simple_iter,shipyard,,,,21261092.0,ns,651
simple_iter,shipyard,,,,22892282.0,ns,682
simple_iter,shipyard,,,,24311586.0,ns,713
simple_iter,shipyard,,,,24555713.0,ns,744
simple_iter,shipyard,,,,24634129.0,ns,775
simple_iter,shipyard,,,,25636305.0,ns,806
simple_iter,shipyard,,,,26549761.0,ns,837
simple_iter,shipyard,,,,27675460.0,ns,868
simple_iter,shipyard,,,,28570834.0,ns,899
simple_iter,shipyard,,,,29648986.0,ns,930
simple_iter,shipyard,,,,30592044.0,ns,961
simple_iter,shipyard,,,,31922588.0,ns,992
simple_iter,shipyard,,,,32520215.0,ns,1023
simple_iter,shipyard,,,,34047898.0,ns,1054
simple_iter,shipyard,,,,34421409.0,ns,1085
simple_iter,shipyard,,,,35412486.0,ns,1116
simple_iter,shipyard,,,,36685778.0,ns,1147
simple_iter,shipyard,,,,37531172.0,ns,1178
simple_iter,shipyard,,,,38706268.0,ns,1209
simple_iter,shipyard,,,,40229889.0,ns,1240
simple_iter,shipyard,,,,40527075.0,ns,1271
simple_iter,shipyard,,,,42068343.0,ns,1302
simple_iter,shipyard,,,,42117620.0,ns,1333
simple_iter,shipyard,,,,43603785.0,ns,1364
simple_iter,shipyard,,,,44806854.0,ns,1395
simple_iter,shipyard,,,,45396572.0,ns,1426
simple_iter,shipyard,,,,46235481.0,ns,1457
simple_iter,shipyard,,,,47137976.0,ns,1488
simple_iter,shipyard,,,,48508386.0,ns,1519
simple_iter,shipyard,,,,49955256.0,ns,1550
simple_iter,shipyard,,,,50323413.0,ns,1581
simple_iter,shipyard,,,,51831517.0,ns,1612
simple_iter,shipyard,,,,52056432.0,ns,1643
simple_iter,shipyard,,,,53161467.0,ns,1674
simple_iter,shipyard,,,,54679531.0,ns,1705
simple_iter,shipyard,,,,55842183.0,ns,1736
simple_iter,shipyard,,,,56803783.0,ns,1767
simple_iter,shipyard,,,,57920620.0,ns,1798
simple_iter,shipyard,,,,58473162.0,ns,1829
simple_iter,shipyard,,,,61217185.0,ns,1860
simple_iter,shipyard,,,,60018334.0,ns,1891
simple_iter,shipyard,,,,60822601.0,ns,1922
simple_iter,shipyard,,,,61633422.0,ns,1953
simple_iter,shipyard,,,,64411749.0,ns,1984
simple_iter,shipyard,,,,65252958.0,ns,2015
simple_iter,shipyard,,,,64571041.0,ns,2046
simple_iter,shipyard,,,,66572077.0,ns,2077
simple_iter,shipyard,,,,66579380.0,ns,2108
simple_iter,shipyard,,,,67472155.0,ns,2139
simple_iter,shipyard,,,,69544753.0,ns,2170
simple_iter,shipyard,,,,70259196.0,ns,2201
simple_iter,shipyard,,,,70690443.0,ns,2232
simple_iter,shipyard,,,,72054199.0,ns,2263
simple_iter,shipyard,,,,72548800.0,ns,2294
simple_iter,shipyard,,,,74540972.0,ns,2325
simple_iter,shipyard,,,,74843869.0,ns,2356
simple_iter,shipyard,,,,76187216.0,ns,2387
simple_iter,shipyard,,,,77158324.0,ns,2418
simple_iter,shipyard,,,,77356138.0,ns,2449
simple_iter,shipyard,,,,78566105.0,ns,2480
simple_iter,shipyard,,,,80086709.0,ns,2511
simple_iter,shipyard,,,,80959632.0,ns,2542
simple_iter,shipyard,,,,81918796.0,ns,2573
simple_iter,shipyard,,,,82966264.0,ns,2604
simple_iter,shipyard,,,,83957507.0,ns,2635
simple_iter,shipyard,,,,84800875.0,ns,2666
simple_iter,shipyard,,,,87266773.0,ns,2697
simple_iter,shipyard,,,,86334151.0,ns,2728
simple_iter,shipyard,,,,87404249.0,ns,2759
simple_iter,shipyard,,,,88473685.0,ns,2790
simple_iter,shipyard,,,,89230207.0,ns,2821
simple_iter,shipyard,,,,90421071.0,ns,2852
simple_iter,shipyard,,,,92141293.0,ns,2883
simple_iter,shipyard,,,,92181269.0,ns,2914
simple_iter,shipyard,,,,93314104.0,ns,2945
simple_iter,shipyard,,,,94491120.0,ns,2976
simple_iter,shipyard,,,,95184783.0,ns,3007
simple_iter,shipyard,,,,97004133.0,ns,3038
simple_iter,shipyard,,,,97640156.0,ns,3069
simple_iter,shipyard,,,,97447522.0,ns,3100
