group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,956920.0,ns,34
simple_iter,specs,,,,2813192.0,ns,68
simple_iter,specs,,,,2919202.0,ns,102
simple_iter,specs,,,,3834405.0,ns,136
simple_iter,specs,,,,5311217.0,ns,170
simple_iter,specs,,,,6143808.0,ns,204
simple_iter,specs,,,,6777141.0,ns,238
simple_iter,specs,,,,7657233.0,ns,272
simple_iter,specs,,,,8676457.0,ns,306
simple_iter,specs,,,,9444789.0,ns,340
simple_iter,specs,,,,10421322.0,ns,374
simple_iter,specs,,,,11490384.0,ns,408
simple_iter,specs,,,,12476147.0,ns,442
simple_iter,specs,,,,13562657.0,ns,476
simple_iter,specs,,,,14403714.0,ns,510
simple_iter,specs,,,,15597137.0,ns,544
simple_iter,specs,,,,16481406.0,ns,578
simple_iter,specs,,,,17403587.0,ns,612
simple_iter,specs,,,,17991953.0,ns,646
simple_iter,specs,,,,19059624.0,ns,680
simple_iter,specs,,,,20245686.0,ns,714
simple_iter,specs,,,,21908341.0,ns,748
simple_iter,specs,,,,21960851.0,ns,782
simple_iter,specs,,,,22925946.0,ns,816
simple_iter,specs,,,,24069066.0,ns,850
simple_iter,specs,,,,25372492.0,ns,884
simple_iter,specs,,,,26183102.0,ns,918
simple_iter,specs,,,,27546668.0,ns,952
simple_iter,specs,,,,28558332.0,ns,986
simple_iter,specs,,,,29818498.0,ns,1020
simple_iter,specs,,,,30494007.0,ns,1054
simple_iter,specs,,,,31668097.0,ns,1088
simple_iter,specs,,,,32705687.0,ns,1122
simple_iter,specs,,,,33731445.0,ns,1156
simple_iter,specs,,,,34682751.0,ns,1190
simple_iter,specs,,,,35831630.0,ns,1224
simple_iter,specs,,,,36735722.0,ns,1258
simple_iter,specs,,,,38121446.0,ns,1292
simple_iter,specs,,,,38695490.0,ns,1326
simple_iter,specs,,,,39834526.0,ns,1360
simple_iter,specs,,,,40724458.0,ns,1394
simple_iter,specs,,,,41924635.0,ns,1428
simple_iter,specs,,,,42774658.0,ns,1462
simple_iter,specs,,,,43915071.0,ns,1496
simple_iter,specs,,,,42588993.0,ns,1530
simple_iter,specs,,,,42610734.0,ns,1564
simple_iter,specs,,,,44790281.0,ns,1598
simple_iter,specs,,,,46047539.0,ns,1632
simple_iter,specs,,,,47448492.0,ns,1666
simple_iter,specs,,,,47843623.0,ns,1700
simple_iter,specs,,,,49237691.0,ns,1734
simple_iter,specs,,,,50771500.0,ns,1768
simple_iter,specs,,,,52529199.0,ns,1802
simple_iter,specs,,,,53708767.0,ns,1836
simple_iter,specs,,,,54556580.0,ns,1870
simple_iter,specs,,,,55657466.0,ns,1904
simple_iter,specs,,,,56604801.0,ns,1938
simple_iter,specs,,,,56937332.0,ns,1972
simple_iter,specs,,,,56245965.0,ns,2006
simple_iter,specs,,,,56177237.0,ns,2040
simple_iter,specs,,,,57447680.0,ns,2074
simple_iter,specs,,,,59269433.0,ns,2108
simple_iter,specs,,,,59751470.0,ns,2142
simple_iter,specs,,,,60965742.0,ns,2176
simple_iter,specs,,,,63538659.0,ns,2210
simple_iter,specs,,,,65200515.0,ns,2244
simple_iter,specs,,,,64733399.0,ns,2278
simple_iter,specs,,,,64468881.0,ns,2312
simple_iter,specs,,,,65109460.0,ns,2346
simple_iter,specs,,,,65916842.0,ns,2380
simple_iter,specs,,,,67847438.0,ns,2414
simple_iter,specs,,,,68471731.0,ns,2448
simple_iter,specs,,,,69285724.0,ns,2482
simple_iter,specs,,,,71157001.0,ns,2516
simple_iter,specs,,,,72834478.0,ns,2550
simple_iter,specs,,,,73154297.0,ns,2584
simple_iter,specs,,,,72202420.0,ns,2618
simple_iter,specs,,,,73766074.0,ns,2652
simple_iter,specs,,,,74437037.0,ns,2686
simple_iter,specs,,,,76342391.0,ns,2720
simple_iter,specs,,,,79482140.0,ns,2754
simple_iter,specs,,,,78794832.0,ns,2788
simple_iter,specs,,,,78764780.0,ns,2822
simple_iter,specs,,,,79664597.0,ns,2856
simple_iter,specs,,,,80746854.0,ns,2890
simple_iter,specs,,,,81714860.0,ns,2924
simple_iter,specs,,,,82969596.0,ns,2958
simple_iter,specs,,,,83182810.0,ns,2992
simple_iter,specs,,,,84242309.0,ns,3026
simple_iter,specs,,,,86164717.0,ns,3060
simple_iter,specs,,,,86810819.0,ns,3094
simple_iter,specs,,,,87513522.0,ns,3128
simple_iter,specs,,,,89082738.0,ns,3162
simple_iter,specs,,,,89190463.0,ns,3196
simple_iter,specs,,,,89772611.0,ns,3230
simple_iter,specs,,,,91496923.0,ns,3264
simple_iter,specs,,,,91646300.0,ns,3298
simple_iter,specs,,,,93654934.0,ns,3332
simple_iter,specs,,,,93671261.0,ns,3366
simple_iter,specs,,,,98008408.0,ns,3400
